name,category,status,severity,observed,expected,details
strategy has all cost scenarios: VIX hedge sleeve,empirical,pass,critical,"[""VIX hedge sleeve::full_spread"", ""VIX hedge sleeve::half_spread"", ""VIX hedge sleeve::mid""]","[""VIX hedge sleeve::full_spread"", ""VIX hedge sleeve::half_spread"", ""VIX hedge sleeve::mid""]",
required-capital returns artifact exists,empirical,pass,critical,/Users/dhruvkohli/Desktop/Github Repos/Option_Portfolio_Greek_Risk_Premia/research/papers/option_only_markowitz/artifacts/required_capital_returns.csv,,
rejected/no-fill ledger is auditable,empirical,pass,critical,"[""return_date"", ""strategy"", ""scenario"", ""asset_id"", ""reject_reason""]",,
hurdle_selection_ledger.csv schema,empirical,pass,critical,"[""hurdle"", ""asset_id"", ""expected_return"", ""expected_cost"", ""risk_estimate"", ""passed""]","[""asset_id"", ""expected_cost"", ""expected_return"", ""hurdle"", ""passed"", ""risk_estimate""]",
liquidity_tier_performance.csv schema,empirical,pass,critical,"[""Liquidity tier"", ""Strategy"", ""Ann. return"", ""Ann. vol"", ""Sharpe"", ""Calmar"", ""Omega""]","[""Liquidity tier"", ""Sharpe"", ""Strategy""]",
forecast_ablation_performance.csv schema,empirical,pass,critical,"[""Ablation"", ""Ann. return"", ""Ann. vol"", ""Sharpe"", ""Calmar"", ""Omega"", ""Active assets""]","[""Ablation"", ""Sharpe""]",
reality_check_inference.csv schema,empirical,pass,critical,"[""Variant"", ""Sharpe"", ""Probabilistic Sharpe"", ""Deflated Sharpe"", ""Bootstrap max Sharpe p95"", ""N"", ""Block size"", ""Seed""]","[""Deflated Sharpe"", ""Probabilistic Sharpe"", ""Variant""]",
capacity_market_impact_diagnostics.csv schema,empirical,pass,critical,"[""Strategy"", ""Scenario"", ""Avg contracts traded"", ""Avg quoted spread"", ""Avg monthly cost"", ""Max capacity used"", ""Rejected trades"", ""Mean margin/NAV"", ""Mean stress capital/NAV""]","[""Avg contracts traded"", ""Max capacity used"", ""Scenario"", ""Strategy""]",
simulation_summary.csv schema,empirical,pass,critical,"[""Return basis"", ""Strategy"", ""Requested method"", ""Status"", ""Simulation"", ""Reason"", ""N paths"", ""Ann. return p05"", ""Ann. return p50"", ""Ann. return p95"", ""Sortino p05"", ""Sortino p50"", ""Sortino p95"", ""Max DD p05"", ""Max DD p50"", ""Max DD p95"", ""Terminal wealth p05"", ""Terminal wealth p50"", ""Terminal wealth p95""]","[""Max DD p50"", ""N paths"", ""Requested method"", ""Return basis"", ""Simulation"", ""Strategy""]",
simulation_assumptions.csv schema,empirical,pass,critical,"[""Strategy"", ""Return basis"", ""Method"", ""Status"", ""N obs"", ""Source start"", ""Source end"", ""Periods/year"", ""Period mean"", ""Period volatility"", ""Skewness"", ""Excess kurtosis"", ""Lag1 autocorr"", ""Block length"", ""Path count"", ""Interpretation"", ""Reason""]","[""Method"", ""N obs"", ""Return basis"", ""Source end"", ""Source start"", ""Status"", ""Strategy""]",
