Strategy,Return basis,Method,Status,N obs,Source start,Source end,Periods/year,Period mean,Period volatility,Skewness,Excess kurtosis,Lag1 autocorr,Block length,Path count,Interpretation,Reason
larger Equal premium capped,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.09165143332232123,0.45673856473629854,1.3643014701858085,1.8182408275319175,-0.19141088725294694,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger Equal risk capped,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.10364458835268672,0.4392790939431647,1.2646228298403226,1.5896070183372655,-0.17732044575682676,6.0,20,tail-path diagnostic; not a trading signal,
larger Equal risk capped,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.10364458835268672,0.4392790939431647,1.2646228298403226,1.5896070183372655,-0.17732044575682676,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger+VIX E1 capped,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.14955450442575074,0.2694227577999329,0.5289895212289063,-0.38464605376396266,-0.17550812173981972,6.0,20,tail-path diagnostic; not a trading signal,
larger+VIX E1 capped,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.14955450442575074,0.2694227577999329,0.5289895212289063,-0.38464605376396266,-0.17550812173981972,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger+VIX GM paper,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.04351987089726482,0.1767210869404027,0.5270239322563094,2.0174820801046907,-0.0727583442370288,6.0,20,tail-path diagnostic; not a trading signal,
larger+VIX GM paper,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.04351987089726482,0.1767210869404027,0.5270239322563094,2.0174820801046907,-0.0727583442370288,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger+VIX Equal premium capped,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.04074768815401521,0.4366463223841537,1.5200434380470775,2.476284490793899,-0.19179235765173436,6.0,20,tail-path diagnostic; not a trading signal,
larger+VIX Equal premium capped,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.04074768815401521,0.4366463223841537,1.5200434380470775,2.476284490793899,-0.19179235765173436,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger+VIX Equal risk capped,Gross before costs,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.06534157263388969,0.4214733146385982,1.4310760431104546,2.274557987444472,-0.1682188806561889,6.0,20,tail-path diagnostic; not a trading signal,
larger+VIX Equal risk capped,Gross before costs,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.06534157263388969,0.4214733146385982,1.4310760431104546,2.274557987444472,-0.1682188806561889,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig E1 capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.053351200660941546,0.2552250660600636,1.057603091120289,0.7975710920313377,-0.19530168712750356,6.0,20,tail-path diagnostic; not a trading signal,
orig E1 capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.053351200660941546,0.2552250660600636,1.057603091120289,0.7975710920313377,-0.19530168712750356,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig GM paper,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-0.7520980904508655,1.8415021812467585,-5.004677516379482,30.224731238558114,0.13508325246846764,6.0,20,tail-path diagnostic; not a trading signal,
orig GM paper,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-0.7520980904508655,1.8415021812467585,-5.004677516379482,30.224731238558114,0.13508325246846764,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig Equal premium capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.037288622042191036,0.3597915554314698,1.146094962559114,1.2273136256625254,-0.25196723732788223,6.0,20,tail-path diagnostic; not a trading signal,
orig Equal premium capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.037288622042191036,0.3597915554314698,1.146094962559114,1.2273136256625254,-0.25196723732788223,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig Equal risk capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.034649751875051746,0.3522388720010225,1.1010957879101564,1.0252735778575421,-0.2500944184635422,6.0,20,tail-path diagnostic; not a trading signal,
orig Equal risk capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.034649751875051746,0.3522388720010225,1.1010957879101564,1.0252735778575421,-0.2500944184635422,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig+VIX E1 capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.10743543964740732,0.28904763902357755,0.649386013614129,-0.351598722349427,-0.23437252910987671,6.0,20,tail-path diagnostic; not a trading signal,
orig+VIX E1 capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.10743543964740732,0.28904763902357755,0.649386013614129,-0.351598722349427,-0.23437252910987671,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig+VIX GM paper,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-0.5897552112724378,1.6967517977092794,-4.899259758679596,28.092472869393653,0.0014173072736639932,6.0,20,tail-path diagnostic; not a trading signal,
orig+VIX GM paper,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-0.5897552112724378,1.6967517977092794,-4.899259758679596,28.092472869393653,0.0014173072736639932,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig+VIX Equal premium capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-0.11169301092999266,0.44151393425233154,1.3970520074933688,2.3746708310927622,-0.25762570101043514,6.0,20,tail-path diagnostic; not a trading signal,
orig+VIX Equal premium capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-0.11169301092999266,0.44151393425233154,1.3970520074933688,2.3746708310927622,-0.25762570101043514,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
orig+VIX Equal risk capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-0.11928867893568848,0.41113015521809526,1.3174192588635516,2.0065783431399917,-0.24856269298368003,6.0,20,tail-path diagnostic; not a trading signal,
orig+VIX Equal risk capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-0.11928867893568848,0.41113015521809526,1.3174192588635516,2.0065783431399917,-0.24856269298368003,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger E1 capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.041050668743965534,0.25270938530582765,1.1912460293006562,1.311819487292278,-0.14718141633311876,6.0,20,tail-path diagnostic; not a trading signal,
larger E1 capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.041050668743965534,0.25270938530582765,1.1912460293006562,1.311819487292278,-0.14718141633311876,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger GM paper,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-1.3159206410333018,2.0002490205109282,-3.535356384570441,14.45734243118381,0.026945642884516105,6.0,20,tail-path diagnostic; not a trading signal,
larger GM paper,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-1.3159206410333018,2.0002490205109282,-3.535356384570441,14.45734243118381,0.026945642884516105,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger Equal premium capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.06336866809963916,0.45674328761325833,1.3738977424003596,1.8329012419149113,-0.19562971413260194,6.0,20,tail-path diagnostic; not a trading signal,
larger Equal premium capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.06336866809963916,0.45674328761325833,1.3738977424003596,1.8329012419149113,-0.19562971413260194,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger Equal risk capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.07053481192892197,0.43784514917682826,1.302726732383235,1.6801432538792551,-0.17830335343011167,6.0,20,tail-path diagnostic; not a trading signal,
larger Equal risk capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.07053481192892197,0.43784514917682826,1.302726732383235,1.6801432538792551,-0.17830335343011167,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger+VIX E1 capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.11645797741881983,0.26645493966159495,0.5637148355534293,-0.3086085392878384,-0.17180212491718658,6.0,20,tail-path diagnostic; not a trading signal,
larger+VIX E1 capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.11645797741881983,0.26645493966159495,0.5637148355534293,-0.3086085392878384,-0.17180212491718658,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger+VIX GM paper,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,-0.952706691801858,1.5430606671865377,-4.16260843584945,19.5985011113288,0.11558144411271316,6.0,20,tail-path diagnostic; not a trading signal,
larger+VIX GM paper,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,-0.952706691801858,1.5430606671865377,-4.16260843584945,19.5985011113288,0.11558144411271316,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger+VIX Equal premium capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.009959892978111852,0.4364375786188616,1.530434959931776,2.4949206304712264,-0.19647838954998528,6.0,20,tail-path diagnostic; not a trading signal,
larger+VIX Equal premium capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.009959892978111852,0.4364375786188616,1.530434959931776,2.4949206304712264,-0.19647838954998528,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
larger+VIX Equal risk capped,Full-cost net,circular_block_bootstrap,ok,60,2021-01-29,2026-04-30,12,0.03299870101187966,0.42014930622157237,1.463584940797343,2.3621367524958514,-0.16915705793144556,6.0,20,tail-path diagnostic; not a trading signal,
larger+VIX Equal risk capped,Full-cost net,garch11_residual_fallback_insufficient_egarch_obs,fallback,60,2021-01-29,2026-04-30,12,0.03299870101187966,0.42014930622157237,1.463584940797343,2.3621367524958514,-0.16915705793144556,,20,tail-path diagnostic; not a trading signal,insufficient_egarch_obs
