feasible,max_breach,scenario_cvar_loss,worst_stress_return,short_margin_used,collateral_used,gross_nav,breach_base,breach_cap,breach_cvar,breach_stress,breach_margin,breach_collateral,breach_assignment,method,method_status,solver,predicted_annual_vol,breach_volatility,breach_sign,breach_positive_edge,expected_net_return,predictable_cost,net_utility,continuous_l1_distance,integer_contracts,available,selected,config,strategy,return_date,decision_date
False,0.0003865909047393,0.1003865909047393,-0.0122070454963677,0.2035062001647949,0.2087882001647949,0.049915,0.0,0.0,0.0003865909047393,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2492271760048386,0.0,0.0,0.0011439999999999,0.005608778605539,0.0027334131454638,0.0031110058997476,0.0012835800620788,432,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-01-31,2018-12-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511985800620788,0,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-01-31,2018-12-31
True,0.0,0.0996229526829281,-0.011341313881092,0.1617865,0.1677845,0.043898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2485890807273493,0.0,0.0,0.00363,0.0046943592892472,0.0021668406547248,0.0025110621771048,0.0010981406978025,361,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-01-31,2018-12-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449961406978026,0,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-01-31,2018-12-31
False,0.0062033273156697,0.1062033273156697,-0.0280407392610528,0.1831791000823975,0.1893541000823975,0.056914,0.0,0.0,0.0062033273156697,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2475297279532368,0.0,0.0,0.00072,0.0107883972764325,0.0024496414635634,0.006804890748142,0.0053327959609543,546,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-02-28,2019-01-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0622467959609543,0,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-02-28,2019-01-31
True,0.0,0.0901466082464495,-0.0081356170232259,0.1242295,0.1248815,0.038407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2490612588938343,0.0,0.0,0.0,0.0079739227887827,0.0016872122580293,0.0039979504667095,0.0012201159410797,371,True,True,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-02-28,2019-01-31
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396271159410797,0,True,False,orig+VIX,R1.1 25pct EGARCH diagnostic,2019-02-28,2019-01-31
False,0.0020664942481933,0.1020664942481933,-0.020337902154724,0.2875226999282837,0.2943946999282837,0.0570169999999999,0.0,0.0,0.0020664942481933,0.0,0.0,0.0,0.0,truncate_toward_cash,evaluated,deterministic,0.2466386903480889,0.0,0.0,0.000915,0.0078342521201001,0.0041903953813124,0.0053071113673733,0.0049613168178437,946,True,False,orig+VIX,R1.1 25pct positive-edge deployment,2019-04-30,2019-02-28
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash_abstention,available_if_direct_conversion_infeasible,deterministic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0619783168178437,0,True,True,orig+VIX,R1.1 25pct positive-edge deployment,2019-04-30,2019-02-28
