config,strategy,knobs_label,participation,aum,mode,solver_status,capacity_infeasible,sum_of_caps,deployed_gross,gross_sharpe,net_sharpe,gross_ann_ret,net_ann_ret,mean_monthly_capacity_cost,max_capacity_ratio,capacity_penalized_share,spread_proxy_fill
orig+VIX,GM combined alt,alt,0.05,25000000.0,relaxed,optimal,True,0.043724097,0.00176793656218429,2.510912074407602,2.1614336817590507,0.004968228094838717,0.0042684706140459555,1.940090459076072e-08,2.3437447111781546,0.0048575129533678756,True
orig+VIX,Equal premium capped,naive_capped,0.05,25000000.0,relaxed,reference,True,0.043724097,0.04153789215000001,-0.7090064279845083,-0.9924079712922098,-0.044271889323871966,-0.06217647621223543,0.00042400081821274556,32.637663994169095,0.20693005181347152,True
orig+VIX,Equal risk capped,naive_capped,0.05,25000000.0,relaxed,reference,True,0.043724097,0.041537892150000005,-0.823964516266053,-1.1336722413679878,-0.04818423029038302,-0.06657059107905551,0.00045506518067661543,32.637663994169095,0.20207253886010362,True
larger+VIX,GM paper,default,,1000000.0,uncapped,optimal,False,,0.9999996047636934,0.7646532722533432,-1.836542798337894,0.49689290367790506,-13.134063795414312,1.1054297560670459,539.8258468483342,0.2618998272884283,True
larger+VIX,Delta neutral,delta,,1000000.0,uncapped,reference,False,,0.9999997470656226,0.8323717368915384,-1.7410571262296453,0.5335660360790695,-14.496523158376158,1.2216060452512365,570.0072446252484,0.2678411053540587,True
larger+VIX,Equal premium,naive,,1000000.0,naive,reference,False,,1.0,0.48513564180639357,-1.2891001727792821,0.7704041686225576,-2.069083714872511,0.2065269486745072,149.81273408239701,0.4773747841105354,True
larger+VIX,Equal risk,naive,,1000000.0,naive,reference,False,,0.9999999999999999,0.5755618640569028,-1.381691190303191,0.632519986416876,-1.5876400034981502,0.15819306394162103,159.88907272755804,0.43115716753022454,True
larger+VIX,GM combined,primary,0.05,1000000.0,hard,optimal,False,1.5148233500000001,0.9999970548079141,1.7831219362333042,1.1823674523907086,1.3209282486487695,0.8706248443284362,0.010262225466120678,47.259938441693265,0.20469775474956822,True
larger+VIX,GM combined alt,alt,0.05,1000000.0,hard,optimal,False,1.5148233500000001,0.9059879252869254,1.9147266265132197,1.498568085467288,1.79823090921764,1.3909136098263728,0.009917824132751215,40.24072370668014,0.1960621761658031,True
larger+VIX,Equal premium capped,naive_capped,0.05,1000000.0,hard,reference,False,1.5148233500000001,1.0,0.31707038140823524,0.07315945121517858,0.47925714549380316,0.11052489892013798,0.005280272594564937,47.26,0.23101899827288427,True
larger+VIX,Equal risk capped,naive_capped,0.05,1000000.0,hard,reference,False,1.5148233500000001,1.0,0.5318138872348496,0.2663982516059365,0.7758521560685097,0.3873836477195506,0.008451444275008546,47.26,0.22659758203799654,True
larger+VIX,GM paper,default,,5000000.0,uncapped,optimal,False,,0.9999996047636934,0.7646532722533432,-1.9007580134334907,0.49689290367790506,-339.2972742943523,28.28569729764522,2699.1292342416714,0.4297754749568221,True
larger+VIX,Delta neutral,delta,,5000000.0,uncapped,reference,False,,0.9999997470656226,0.8323717368915384,-1.798211655546793,0.5335660360790695,-374.16337161529054,31.193843416660776,2850.036223126242,0.43316062176165804,True
larger+VIX,Equal premium,naive,,5000000.0,naive,reference,False,,1.0,0.48513564180639357,-4.2494456115089445,0.7704041686225576,-64.8683501644848,5.439799152808864,749.0636704119851,0.7843868739205527,True
larger+VIX,Equal risk,naive,,5000000.0,naive,reference,False,,0.9999999999999999,0.5755618640569028,-5.085211276139928,0.632519986416876,-50.55539353966464,4.238839191955496,799.44536363779,0.7233851468048359,True
larger+VIX,GM combined,primary,0.05,5000000.0,hard,infeasible,True,0.30296467,0.0,,,0.0,0.0,0.0,,0.0,True
larger+VIX,GM combined,primary,0.05,5000000.0,relaxed,optimal,True,0.30296467,0.0012053415743528268,1.2999352244312024,0.43791047913862835,0.0006996931440813248,0.00023583231687150858,3.9841939833948964e-10,1.6289212757260252,0.0005526770293609672,True
larger+VIX,GM combined alt,alt,0.05,5000000.0,hard,infeasible,True,0.30296467,0.0,,,0.0,0.0,0.0,,0.0,True
larger+VIX,GM combined alt,alt,0.05,5000000.0,relaxed,optimal,True,0.30296467,0.0020259635731054012,1.2846870959753425,0.8551702802235142,0.002245320306926206,0.0014925367476484245,7.46452030346161e-10,1.874862776159059,0.0003454231433506045,True
larger+VIX,Equal premium capped,naive_capped,0.05,5000000.0,relaxed,reference,True,0.30296467,0.2878164365,-0.2063178330467548,-0.5011490540402863,-0.08504049271572173,-0.2064389263023721,0.002722244644160792,47.26000000000001,0.24151986183074267,True
larger+VIX,Equal risk capped,naive_capped,0.05,5000000.0,relaxed,reference,True,0.30296467,0.2878164365,-0.2873724142902381,-0.6051579719027417,-0.1126545944250029,-0.23711870207834373,0.00290094740765543,47.26000000000001,0.23910189982728844,True
larger+VIX,GM paper,default,,10000000.0,uncapped,optimal,False,,0.9999996047636934,0.7646532722533432,-1.9061123949132137,0.49689290367790506,-1361.648385603817,113.48162324010057,5398.258468483343,0.4949913644214162,True
larger+VIX,Delta neutral,delta,,10000000.0,uncapped,reference,False,,0.9999997470656226,0.8323717368915384,-1.8029381235184825,0.5335660360790695,-1501.2282114113996,125.11591339966982,5700.072446252484,0.49526770293609673,True
larger+VIX,Equal premium,naive,,10000000.0,naive,reference,False,,1.0,0.48513564180639357,-4.254380752449241,0.7704041686225576,-262.5241144407351,21.911112842496383,1498.1273408239701,0.8653540587219344,True
larger+VIX,Equal risk,naive,,10000000.0,naive,reference,False,,0.9999999999999999,0.5755618640569028,-5.148875029372404,0.632519986416876,-205.0186069607214,17.110773643710225,1598.89072727558,0.8124352331606217,True
