underlying,quote_symbol,asset_class,moneyness_bucket,tenor_bucket,chain_timestamp,source_url,n_quotes,n_liquid_quotes,total_volume,total_open_interest,fill_relative_spread,fill_abs_spread,median_relative_spread,p25_relative_spread,p75_relative_spread,median_abs_spread,p25_abs_spread,p75_abs_spread,median_mid,fill_method
AAPL,AAPL,equity_option,put_wing,all,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,110,28,38519.0,305347.0,0.06187951229095884,0.1100000000000001,0.11125015962201512,0.06187951229095884,0.17594019288934537,0.24500000000000002,0.1100000000000001,1.25,1.9325,cboe_current_liquid_quartile_p25_relative_spread
AAPL,AAPL,equity_option,put_wing,le_45d,2026-07-04 07:24:31,https://cdn.cboe.com/api/global/delayed_quotes/options/AAPL.json,80,20,24443.0,146678.0,0.062217929416783585,0.10749999999999998,0.16871522836071934,0.062217929416783585,0.28530277813340155,0.275,0.10749999999999998,1.8125,0.7875000000000001,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,all,all,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,260,65,27473.0,131065.0,0.09208103130755065,0.4399999999999997,0.13084112149532715,0.09208103130755065,0.2115384615384614,0.7999999999999998,0.4399999999999997,1.1499999999999986,6.675,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,atm,46_120d,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,18,5,1223.0,14557.0,0.056303549571603356,0.9000000000000004,0.06143344709897614,0.056303549571603356,0.06289308176100618,0.9000000000000004,0.9000000000000004,0.9999999999999982,15.899999999999999,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,atm,all,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,60,15,8944.0,33507.0,0.08030960583419082,0.4750000000000001,0.09523809523809523,0.08030960583419082,0.12853134990539575,0.9000000000000004,0.4750000000000001,1.15,7.525,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,atm,le_45d,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,42,11,7721.0,18950.0,0.08751517003165551,0.4750000000000001,0.09523809523809532,0.08751517003165551,0.12853134990539575,0.7999999999999989,0.4750000000000001,1.15,7.525,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,call_near,46_120d,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,18,5,1370.0,13055.0,0.08730158730158727,0.9499999999999993,0.09059233449477357,0.08730158730158727,0.11483253588516758,1.0999999999999996,0.9499999999999993,1.0999999999999996,10.45,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,call_near,all,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,57,15,8758.0,31164.0,0.10303512259774689,0.30499999999999994,0.11483253588516758,0.10303512259774689,0.19288645690834472,0.6500000000000004,0.30499999999999994,0.885,3.6500000000000004,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,call_near,le_45d,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,39,10,7388.0,18109.0,0.1071317829457365,0.21999999999999997,0.12021508129560876,0.1071317829457365,0.20109439124487,0.37,0.21999999999999997,0.5875000000000002,2.225,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,put_near,46_120d,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,18,5,1298.0,13133.0,0.07220216606498195,0.75,0.13333333333333333,0.07220216606498195,0.1486486486486487,1.0,0.75,1.1000000000000005,8.975,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,put_near,all,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,64,16,5990.0,33883.0,0.09959480160102778,0.5225000000000004,0.14941548381038822,0.09959480160102778,0.23996265172735753,0.8099999999999999,0.5225000000000004,1.4124999999999992,7.3,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,put_near,le_45d,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,46,12,4692.0,20750.0,0.10307078763708884,0.4224999999999997,0.18466048876496624,0.10307078763708884,0.25748649975454097,0.8099999999999999,0.4224999999999997,1.4124999999999992,2.8724999999999996,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,put_wing,46_120d,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,24,6,1206.0,11988.0,0.1454103343465045,0.5799999999999998,0.17393159787843682,0.1454103343465045,0.19831766104863158,0.72,0.5799999999999998,1.0924999999999994,3.795,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,put_wing,all,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,79,20,3781.0,32511.0,0.18386838976278183,0.32499999999999996,0.3498238984908918,0.18386838976278183,0.4851778656126482,0.595,0.32499999999999996,1.1999999999999995,1.735,cboe_current_liquid_quartile_p25_relative_spread
ADBE,ADBE,equity_option,put_wing,le_45d,2026-07-03 20:41:03,https://cdn.cboe.com/api/global/delayed_quotes/options/ADBE.json,55,14,2575.0,20523.0,0.36629881154499155,0.26249999999999996,0.43029453015427765,0.36629881154499155,0.6913489736070381,0.49,0.26249999999999996,0.7175,0.8225,cboe_current_liquid_quartile_p25_relative_spread
