config,signal_date,execution_date,action,signal_source,asset_id,symbol,underlying,expiry,position_contracts,order_contracts,valid_quote_minutes,session_minutes,median_relative_spread,p90_relative_spread,first_valid_ts,first_valid_bid,first_valid_ask,first_valid_mid,quote_presence_fraction,quote_vwap_mid,quote_vwap_bid,quote_vwap_ask,first_valid_touch,quote_vwap_touch,evidence_only
larger,2020-04-14,2020-04-15,reenter,official_vix_close,AAPL_call_atm,AAPL  200417C00260000,AAPL,2020-04-17,7.0,7.0,389.0,390.0,0.011668611435239206,0.018090452261306646,2020-04-15 13:31:00+00:00,21.45,22.2,21.825,0.9974358974358974,23.925003564401607,23.75855028657789,24.091456842225327,22.2,24.091456842225327,True
larger,2020-04-14,2020-04-15,reenter,official_vix_close,AAPL_call_call_near,AAPL  200417C00280000,AAPL,2020-04-17,39.0,39.0,389.0,390.0,0.0162601626016261,0.02214022140221394,2020-04-15 13:31:00+00:00,5.1,5.25,5.175,0.9974358974358974,6.358279188424283,6.302260134731135,6.4142982421174315,5.25,6.4142982421174315,True
larger,2020-04-14,2020-04-15,reenter,official_vix_close,ADBE_call_atm,ADBE  200417C00320000,ADBE,2020-04-17,2.0,2.0,389.0,390.0,0.07865168539325834,0.14296216511941998,2020-04-15 13:31:00+00:00,15.05,19.9,17.475,0.9974358974358974,16.42158229991112,15.621367503280146,17.221797096542094,19.9,17.221797096542094,True
larger,2020-04-14,2020-04-15,reenter,official_vix_close,AMD_call_atm,AMD   200417C00045000,AMD,2020-04-17,36.0,36.0,389.0,390.0,0.01951219512195115,0.02865329512893983,2020-04-15 13:31:00+00:00,8.65,8.9,8.775,0.9974358974358974,9.773535072400495,9.667660627228408,9.879409517572583,8.9,9.879409517572583,True
larger,2020-04-14,2020-04-15,reenter,official_vix_close,NFLX_call_atm,NFLX  200417C00370000,NFLX,2020-04-17,16.0,16.0,389.0,390.0,0.02945736434108536,0.048345358355689975,2020-04-15 13:31:00+00:00,45.0,47.75,46.375,0.9974358974358974,58.82838611449451,57.90813641900122,59.74863580998782,47.75,59.74863580998782,True
orig,2020-04-15,2020-04-16,exit,official_vix_close,AAPL_call_atm,AAPL  200417C00260000,AAPL,2020-04-17,13.0,-13.0,389.0,390.0,0.010277492291880781,0.014685234827883246,2020-04-16 13:31:00+00:00,27.45,27.95,27.7,0.9974358974358974,25.162973806062563,25.007963172346958,25.317984439778172,27.45,25.007963172346958,True
orig,2020-04-15,2020-04-16,exit,official_vix_close,AAPL_call_call_near,AAPL  200417C00280000,AAPL,2020-04-17,71.0,-71.0,389.0,390.0,0.01929260450160765,0.028222415059074857,2020-04-16 13:31:00+00:00,8.5,8.75,8.625,0.9974358974358974,6.305106802806314,6.233079115509898,6.377134490102731,8.5,6.233079115509898,True
orig,2020-04-15,2020-04-16,exit,official_vix_close,MSFT_call_atm,MSFT  200417C00160000,MSFT,2020-04-17,8.0,-8.0,389.0,390.0,0.02834645669291345,0.052029236681485944,2020-04-16 13:31:00+00:00,14.0,14.8,14.4,0.9974358974358974,14.851670788600979,14.5929767860154,15.110364791186555,14.0,14.5929767860154,True
larger,2020-04-15,2020-04-16,exit,official_vix_close,AAPL_call_atm,AAPL  200417C00260000,AAPL,2020-04-17,7.0,-7.0,389.0,390.0,0.010277492291880781,0.014685234827883246,2020-04-16 13:31:00+00:00,27.45,27.95,27.7,0.9974358974358974,25.162973806062563,25.007963172346958,25.317984439778172,27.45,25.007963172346958,True
larger,2020-04-15,2020-04-16,exit,official_vix_close,AAPL_call_call_near,AAPL  200417C00280000,AAPL,2020-04-17,39.0,-39.0,389.0,390.0,0.01929260450160765,0.028222415059074857,2020-04-16 13:31:00+00:00,8.5,8.75,8.625,0.9974358974358974,6.305106802806314,6.233079115509898,6.377134490102731,8.5,6.233079115509898,True
larger,2020-04-15,2020-04-16,exit,official_vix_close,ADBE_call_atm,ADBE  200417C00320000,ADBE,2020-04-17,2.0,-2.0,389.0,390.0,0.06999999999999992,0.12968673419066049,2020-04-16 13:31:00+00:00,18.15,22.5,20.325,0.9974358974358974,20.804963391020213,19.925671668885393,21.68425511315503,18.15,19.925671668885393,True
larger,2020-04-15,2020-04-16,exit,official_vix_close,AMD_call_atm,AMD   200417C00045000,AMD,2020-04-17,36.0,-36.0,389.0,390.0,0.015936254980079764,0.021598272138228944,2020-04-16 13:31:00+00:00,10.85,11.1,10.975,0.9974358974358974,11.674835229544152,11.57576253606042,11.773907923027886,10.85,11.57576253606042,True
larger,2020-04-15,2020-04-16,exit,official_vix_close,NFLX_call_atm,NFLX  200417C00370000,NFLX,2020-04-17,16.0,-16.0,389.0,390.0,0.023898941618299762,0.03858509244706589,2020-04-16 13:31:00+00:00,64.55,67.8,66.175,0.9974358974358974,71.6986724519941,70.77017355982275,72.62717134416543,64.55,70.77017355982275,True
orig,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,11.0,-11.0,389.0,390.0,0.009456264775413678,0.02193929859773796,2020-06-12 13:31:00+00:00,26.2,26.85,26.525,0.9974358974358974,22.10386909064623,21.963271649559058,22.244466531733412,26.2,21.963271649559058,True
orig,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_put_atm,AAPL  200619P00320000,AAPL,2020-06-19,-4.0,4.0,389.0,390.0,0.016528925619834652,0.028571428571428494,2020-06-12 13:31:00+00:00,1.41,1.46,1.435,0.9974358974358974,2.410499546896239,2.3834696420480292,2.4375294517444495,1.46,2.4375294517444495,True
orig,2020-06-11,2020-06-12,exit,official_vix_close,AMZN_call_atm,AMZN  200619C02500000,AMZN,2020-06-19,5.0,-5.0,389.0,390.0,0.02453987730061346,0.04177698270721531,2020-06-12 13:31:00+00:00,125.3,129.05,127.17500000000001,0.9974358974358974,96.94284018400357,95.57032200623239,98.31535836177474,125.3,95.57032200623239,True
orig,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,18.0,-18.0,389.0,390.0,0.016085790884718537,0.044444444444444446,2020-06-12 13:31:00+00:00,10.9,12.2,11.55,0.9974358974358974,10.616021668650223,10.416345877621373,10.815697459679074,10.9,10.416345877621373,True
orig,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_call_near,MSFT  200619C00195000,MSFT,2020-06-19,17.0,-17.0,389.0,390.0,0.01980198019801982,0.028404516312671994,2020-06-12 13:31:00+00:00,2.05,2.14,2.0949999999999998,0.9974358974358974,1.4778547220967015,1.4625282422051515,1.493181201988251,2.05,1.4625282422051515,True
orig,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_put_atm,MSFT  200619P00180000,MSFT,2020-06-19,-15.0,15.0,389.0,390.0,0.02094240837696337,0.033975786924939494,2020-06-12 13:31:00+00:00,0.98,1.03,1.005,0.9974358974358974,1.5794471898818996,1.5607312170198508,1.5981631627439485,1.03,1.5981631627439485,True
orig,2020-06-11,2020-06-12,exit,official_vix_close,TSLA_put_atm,TSLA  200619P00820000,TSLA,2020-06-19,-5.0,5.0,389.0,390.0,0.03614457831325288,0.0516129032258065,2020-06-12 13:31:00+00:00,4.25,4.5,4.375,0.9974358974358974,7.385573723050209,7.236326146722616,7.534821299377803,4.5,7.534821299377803,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_call_atm,AAPL  200619C00320000,AAPL,2020-06-19,11.0,-11.0,389.0,390.0,0.009456264775413678,0.02193929859773796,2020-06-12 13:31:00+00:00,26.2,26.85,26.525,0.9974358974358974,22.10386909064623,21.963271649559058,22.244466531733412,26.2,21.963271649559058,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,AAPL_put_atm,AAPL  200619P00320000,AAPL,2020-06-19,-1.0,1.0,389.0,390.0,0.016528925619834652,0.028571428571428494,2020-06-12 13:31:00+00:00,1.41,1.46,1.435,0.9974358974358974,2.410499546896239,2.3834696420480292,2.4375294517444495,1.46,2.4375294517444495,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,ADBE_call_atm,ADBE  200619C00390000,ADBE,2020-06-19,2.0,-2.0,389.0,390.0,0.038461538461538415,0.07546184867836932,2020-06-12 13:31:00+00:00,20.5,22.0,21.25,0.9974358974358974,17.250859090036478,16.829852178921097,17.67186600115185,20.5,16.829852178921097,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,ADBE_call_put_near,ADBE  200619C00375000,ADBE,2020-06-19,1.0,-1.0,389.0,390.0,0.08406026962728001,0.1276595744680851,2020-06-12 13:31:00+00:00,32.35,36.75,34.55,0.9974358974358974,29.630442223172963,28.304947298821517,30.955937147524406,32.35,28.304947298821517,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,ADBE_put_atm,ADBE  200619P00380000,ADBE,2020-06-19,-1.0,1.0,387.0,390.0,0.09650582362728787,0.2441893767096263,2020-06-12 13:33:00+00:00,0.26,4.25,2.255,0.9923076923076923,2.7913644709662613,2.555237548772091,3.0274913931604317,4.25,3.0274913931604317,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,AMD_call_atm,AMD   200619C00055000,AMD,2020-06-19,36.0,-36.0,389.0,390.0,0.017291066282420765,0.028708133971291894,2020-06-12 13:31:00+00:00,1.7,1.81,1.755,0.9974358974358974,1.2715755817077758,1.2584378526519426,1.284713310763609,1.7,1.2584378526519426,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,AMZN_call_atm,AMZN  200619C02500000,AMZN,2020-06-19,4.0,-4.0,389.0,390.0,0.02453987730061346,0.04177698270721531,2020-06-12 13:31:00+00:00,125.3,129.05,127.17500000000001,0.9974358974358974,96.94284018400357,95.57032200623239,98.31535836177474,125.3,95.57032200623239,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,CHTR_call_atm,CHTR  200619C00550000,CHTR,2020-06-19,1.0,-1.0,389.0,390.0,0.7636363636363636,1.1376525821596244,2020-06-12 13:31:00+00:00,0.2,2.45,1.3250000000000002,0.9974358974358974,1.420418559520134,0.7990076302209678,2.0418294888193005,0.2,0.7990076302209678,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,COST_call_atm,COST  200619C00310000,COST,2020-06-19,5.0,-5.0,389.0,390.0,0.08970976253298149,0.13559322033898297,2020-06-12 13:31:00+00:00,2.26,2.52,2.3899999999999997,0.9974358974358974,1.6951788476411447,1.6082405259087393,1.78211716937355,2.26,1.6082405259087393,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,LLY_call_atm,LLY   200619C00155000,LLY,2020-06-19,2.0,-2.0,389.0,390.0,0.2500000000000001,0.6086956521739131,2020-06-12 13:31:00+00:00,0.3,0.69,0.495,0.9974358974358974,0.38916041584419003,0.30207724700618505,0.476243584682195,0.3,0.30207724700618505,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,MA_call_atm,MA    200619C00300000,MA,2020-06-19,4.0,-4.0,389.0,390.0,0.05405405405405406,0.07423252129134489,2020-06-12 13:31:00+00:00,5.75,6.55,6.15,0.9974358974358974,5.02687133803659,4.882751404998206,5.170991271074973,5.75,4.882751404998206,True
larger,2020-06-11,2020-06-12,exit,official_vix_close,MSFT_call_atm,MSFT  200619C00180000,MSFT,2020-06-19,14.0,-14.0,389.0,390.0,0.016085790884718537,0.044444444444444446,2020-06-12 13:31:00+00:00,10.9,12.2,11.55,0.9974358974358974,10.616021668650223,10.416345877621373,10.815697459679074,10.9,10.416345877621373,True
