arm,config,decision_date,symbol,artifact_mark,observed_mid,coverage,quote_schema,absolute_error,relative_error,regime
R1,larger,2021-04-30,PYPL  210521C00270000,7.0,6.975,covered,cbbo-1m,0.025000000000000355,0.0035842293906810548,pre_2023_03_28
R1,larger,2021-04-30,QCOM  210521C00140000,2.97,3.075,covered,cbbo-1m,0.10499999999999998,0.03414634146341463,pre_2023_03_28
R1,larger,2021-04-30,SBUX  210521C00110000,4.5,4.95,covered,cbbo-1m,0.4500000000000002,0.09090909090909094,pre_2023_03_28
R1,larger,2021-04-30,SBUX  210521C00115000,1.77,1.75,covered,cbbo-1m,0.020000000000000018,0.011428571428571439,pre_2023_03_28
R1,larger,2021-04-30,TSLA  210521P00760000,68.95,65.225,covered,cbbo-1m,3.7250000000000085,0.0571100038328863,pre_2023_03_28
R1,larger,2021-04-30,XOM   210521P00057000,1.59,1.875,covered,cbbo-1m,0.2849999999999999,0.15199999999999997,pre_2023_03_28
R1,larger,2021-06-30,AAPL  210716C00135000,3.3,3.25,covered,cbbo-1m,0.04999999999999982,0.01538461538461533,pre_2023_03_28
R1,larger,2021-06-30,AAPL  210716P00135000,1.14,1.24,covered,cbbo-1m,0.10000000000000009,0.08064516129032265,pre_2023_03_28
R1,larger,2021-06-30,ADBE  210716C00580000,13.51,13.425,covered,cbbo-1m,0.08499999999999908,0.0063314711359403406,pre_2023_03_28
R1,larger,2021-06-30,ADBE  210716C00630000,1.05,0.89,covered,cbbo-1m,0.16000000000000003,0.17977528089887643,pre_2023_03_28
R1,larger,2021-06-30,ADBE  210716P00590000,11.2,12.3,covered,cbbo-1m,1.1000000000000014,0.0894308943089432,pre_2023_03_28
R1,larger,2021-06-30,AMD   210716C00095000,2.42,2.4450000000000003,covered,cbbo-1m,0.025000000000000355,0.010224948875255768,pre_2023_03_28
R1,larger,2021-06-30,AMD   210716P00093000,2.27,2.325,covered,cbbo-1m,0.05500000000000016,0.023655913978494692,pre_2023_03_28
R1,larger,2021-06-30,AVGO  210716C00480000,5.7,7.25,covered,cbbo-1m,1.5499999999999998,0.21379310344827585,pre_2023_03_28
R1,larger,2021-06-30,COST  210716C00395000,5.4,5.325,covered,cbbo-1m,0.07500000000000018,0.014084507042253554,pre_2023_03_28
R1,larger,2021-06-30,COST  210716P00395000,4.24,4.575,covered,cbbo-1m,0.33499999999999996,0.07322404371584698,pre_2023_03_28
R1,larger,2021-06-30,FB    210716C00350000,5.85,5.9,covered,cbbo-1m,0.05000000000000071,0.00847457627118656,pre_2023_03_28
R1,larger,2021-06-30,FB    210716C00360000,2.66,2.6500000000000004,covered,cbbo-1m,0.009999999999999787,0.0037735849056602963,pre_2023_03_28
R1,larger,2021-06-30,LLY   210716C00235000,2.73,2.4299999999999997,covered,cbbo-1m,0.30000000000000027,0.12345679012345691,pre_2023_03_28
R1,larger,2021-06-30,LLY_put_atm,3.7,,missing,cbbo-1m,,,pre_2023_03_28
R1,larger,2021-06-30,LRCX  210716C00700000,4.1,4.2,covered,cbbo-1m,0.10000000000000053,0.023809523809523937,pre_2023_03_28
R1,larger,2021-06-30,MA    210716C00370000,4.06,3.9749999999999996,covered,cbbo-1m,0.08499999999999996,0.02138364779874213,pre_2023_03_28
R1,larger,2021-06-30,MSFT  210716C00260000,11.9,11.85,covered,cbbo-1m,0.05000000000000071,0.004219409282700482,pre_2023_03_28
R1,larger,2021-06-30,MSFT  210716C00270000,4.03,4.15,covered,cbbo-1m,0.1200000000000001,0.02891566265060243,pre_2023_03_28
R1,larger,2021-06-30,MSFT  210716C00280000,0.67,0.735,covered,cbbo-1m,0.06499999999999995,0.0884353741496598,pre_2023_03_28
R1,larger,2021-06-30,MSFT  210716P00265000,1.4,1.415,covered,cbbo-1m,0.015000000000000124,0.010600706713781006,pre_2023_03_28
R1,larger,2021-06-30,PG    210716C00135000,1.63,1.645,covered,cbbo-1m,0.015000000000000124,0.009118541033434726,pre_2023_03_28
R1,larger,2021-06-30,PG    210716P00135000,1.74,1.54,covered,cbbo-1m,0.19999999999999996,0.12987012987012983,pre_2023_03_28
R1,larger,2021-06-30,PYPL  210716C00300000,2.94,2.9050000000000002,covered,cbbo-1m,0.0349999999999997,0.012048192771084232,pre_2023_03_28
R1,larger,2021-06-30,PYPL  210716P00280000,2.17,2.2649999999999997,covered,cbbo-1m,0.09499999999999975,0.041942604856512036,pre_2023_03_28
R1,larger,2021-06-30,PYPL  210716P00290000,5.05,5.425,covered,cbbo-1m,0.375,0.06912442396313365,pre_2023_03_28
R1,larger,2021-06-30,QCOM  210716C00140000,4.4,4.575,covered,cbbo-1m,0.17499999999999982,0.03825136612021854,pre_2023_03_28
