config,return_date,strategy,display_strategy,train_start,train_end,status,solver_status,capacity_infeasible,deployed_gross,gross_ret,net_ret
orig,2022-02-28,orig Equal risk capped,Equal risk capped,2018-12-31,2022-01-31,ok,reference,False,0.953648,-0.1861290079803465,-0.205402688910476
orig,2022-04-29,orig E1 capped,E1 capped,2019-01-31,2022-02-28,ok,optimal,False,0.6724190000000001,-0.15931000909423831,-0.17460514318634252
orig,2022-04-29,orig GM paper,GM paper,2019-01-31,2022-02-28,ok,optimal,False,1.01305,0.041261883819580014,-0.01109962410501604
orig,2022-04-29,orig Equal premium capped,Equal premium capped,2019-01-31,2022-02-28,ok,reference,False,0.941113,-0.5473959956054686,-0.5674980798932558
orig,2022-04-29,orig Equal risk capped,Equal risk capped,2019-01-31,2022-02-28,ok,reference,False,0.950423,-0.5285149616699217,-0.5491413251937282
orig,2022-05-31,orig E1 capped,E1 capped,2019-02-28,2022-04-29,ok,optimal,False,0.683392,-0.24995504815673825,-0.2646919024148363
orig,2022-05-31,orig GM paper,GM paper,2019-02-28,2022-04-29,ok,optimal,False,0.9904759999999999,-0.2088680170898438,-0.23713496820917393
orig,2022-05-31,orig Equal premium capped,Equal premium capped,2019-02-28,2022-04-29,ok,reference,False,0.9630569999999999,0.24482397442626955,0.2248133661749972
orig,2022-05-31,orig Equal risk capped,Equal risk capped,2019-02-28,2022-04-29,ok,reference,False,0.9506249999999999,0.22423196624755853,0.20452901356916514
orig,2022-06-30,orig E1 capped,E1 capped,2019-04-30,2022-05-31,ok,optimal,False,0.6651670000000001,-0.08330903844451903,-0.09788240583425567
orig,2022-06-30,orig GM paper,GM paper,2019-04-30,2022-05-31,ok,optimal,False,1.008601,0.16415993044281016,-0.09246552410648576
orig,2022-06-30,orig Equal premium capped,Equal premium capped,2019-04-30,2022-05-31,ok,reference,False,0.9568929999999999,0.05544905760955805,0.034282221091774354
orig,2022-06-30,orig Equal risk capped,Equal risk capped,2019-04-30,2022-05-31,ok,reference,False,0.9515020000000001,0.015660064933776766,-0.003791336968391512
orig,2022-07-29,orig E1 capped,E1 capped,2019-05-31,2022-06-30,ok,optimal,True,0.5221640000000001,-0.09533106700134288,-0.10515765222674471
orig,2022-07-29,orig GM paper,GM paper,2019-05-31,2022-06-30,ok,optimal,False,0.9905919999999999,0.0011200971755984147,-0.08325456714364624
orig,2022-07-29,orig Equal premium capped,Equal premium capped,2019-05-31,2022-06-30,ok,reference,True,0.601121,-0.2247320697479249,-0.23573228745356947
orig,2022-07-29,orig Equal risk capped,Equal risk capped,2019-05-31,2022-06-30,ok,reference,True,0.602916,-0.21446707066345227,-0.2254259279274213
orig,2022-08-31,orig E1 capped,E1 capped,2019-06-28,2022-07-29,ok,optimal,True,0.59076,-0.2764819546051025,-0.28667107893910215
orig,2022-08-31,orig GM paper,GM paper,2019-06-28,2022-07-29,ok,optimal,False,0.9958549999999999,-0.040611042404174805,-0.3479471779447181
orig,2022-08-31,orig Equal premium capped,Equal premium capped,2019-06-28,2022-07-29,ok,reference,True,0.673109,-0.3642709052886963,-0.37495932216643985
orig,2022-08-31,orig Equal risk capped,Equal risk capped,2019-06-28,2022-07-29,ok,reference,True,0.673109,-0.3642709052886963,-0.37495932216643985
orig,2022-09-30,orig E1 capped,E1 capped,2019-07-31,2022-08-31,ok,infeasible,True,0.0,0.0,0.0
orig,2022-09-30,orig GM paper,GM paper,2019-07-31,2022-08-31,ok,optimal,False,0.9998370000000001,0.0014802001342767018,-0.42409373553377555
orig,2022-09-30,orig Equal premium capped,Equal premium capped,2019-07-31,2022-08-31,ok,reference,True,0.380027,-0.06754291719055182,-0.07469977742311198
orig,2022-09-30,orig Equal risk capped,Equal risk capped,2019-07-31,2022-08-31,ok,reference,True,0.379925,-0.10081593244934087,-0.10789135434619024
orig,2022-10-31,orig E1 capped,E1 capped,2019-08-30,2022-09-30,ok,optimal,True,0.517154,-0.16307597302246096,-0.17081118728008446
orig,2022-10-31,orig GM paper,GM paper,2019-08-30,2022-09-30,ok,optimal,False,0.998601,0.01560313952636716,-0.08586045759269272
orig,2022-10-31,orig Equal premium capped,Equal premium capped,2019-08-30,2022-09-30,ok,reference,True,0.5466759999999999,-0.11088000033569337,-0.11896752256785784
orig,2022-10-31,orig Equal risk capped,Equal risk capped,2019-08-30,2022-09-30,ok,reference,True,0.5476219999999998,-0.08274598324584963,-0.09098125948652117
orig,2022-11-30,orig E1 capped,E1 capped,2019-09-30,2022-10-31,ok,infeasible,True,0.0,0.0,0.0
orig,2022-11-30,orig GM paper,GM paper,2019-09-30,2022-10-31,ok,optimal,False,1.000389,-0.32940103567504864,-1.059567746104567
orig,2022-11-30,orig Equal premium capped,Equal premium capped,2019-09-30,2022-10-31,ok,reference,True,0.41656699999999997,0.12262002331542957,0.11509621865264828
orig,2022-11-30,orig Equal risk capped,Equal risk capped,2019-09-30,2022-10-31,ok,reference,True,0.416586,0.08578602697753895,0.07824277521421115
orig,2022-12-30,orig E1 capped,E1 capped,2019-10-31,2022-11-30,ok,infeasible,True,0.0,0.0,0.0
orig,2022-12-30,orig GM paper,GM paper,2019-10-31,2022-11-30,ok,optimal,False,0.997914,0.06648513534545908,-0.10048401498671622
orig,2022-12-30,orig Equal premium capped,Equal premium capped,2019-10-31,2022-11-30,ok,reference,True,0.352138,0.0013050729370116948,-0.006143228908596476
orig,2022-12-30,orig Equal risk capped,Equal risk capped,2019-10-31,2022-11-30,ok,reference,True,0.351678,0.0017650729370116969,-0.005564693313232933
orig,2023-01-31,orig E1 capped,E1 capped,2019-11-29,2022-12-30,ok,infeasible,True,0.0,0.0,0.0
orig,2023-01-31,orig GM paper,GM paper,2019-11-29,2022-12-30,ok,optimal,False,0.9988450000000001,0.01422405560302728,-1.1607903835577644
orig,2023-01-31,orig Equal premium capped,Equal premium capped,2019-11-29,2022-12-30,ok,reference,True,0.425236,0.07596892034912103,0.06750966663740918
orig,2023-01-31,orig Equal risk capped,Equal risk capped,2019-11-29,2022-12-30,ok,reference,True,0.42561899999999997,0.09225290948486323,0.08377421884156158
orig,2023-02-28,orig E1 capped,E1 capped,2019-12-31,2023-01-31,ok,optimal,True,0.48666800000000005,0.186289090637207,0.1763445224299196
orig,2023-02-28,orig GM paper,GM paper,2019-12-31,2023-01-31,ok,optimal,False,1.001323,0.22895803582763657,-0.007626660879880259
orig,2023-02-28,orig Equal premium capped,Equal premium capped,2019-12-31,2023-01-31,ok,reference,True,0.47592400000000007,0.1452830740356445,0.1364560100132843
orig,2023-02-28,orig Equal risk capped,Equal risk capped,2019-12-31,2023-01-31,ok,reference,True,0.47649700000000006,0.15756708850097653,0.14836046483169807
orig,2023-03-31,orig E1 capped,E1 capped,2020-01-31,2023-02-28,ok,infeasible,True,0.0,0.0,0.0
orig,2023-03-31,orig GM paper,GM paper,2020-01-31,2023-02-28,ok,optimal,False,0.9957509999999999,0.22421412467956536,0.1720812087210192
orig,2023-03-31,orig Equal premium capped,Equal premium capped,2020-01-31,2023-02-28,ok,reference,True,0.447558,0.23410793528747564,0.22622852739512345
orig,2023-03-31,orig Equal risk capped,Equal risk capped,2020-01-31,2023-02-28,ok,reference,True,0.44869899999999996,0.21907394212341313,0.2111856997442201
orig,2023-04-28,orig E1 capped,E1 capped,2020-02-28,2023-03-31,ok,optimal,True,0.501334,-0.12425094909667968,-0.13284656873590175
orig,2023-04-28,orig GM paper,GM paper,2020-02-28,2023-03-31,ok,optimal,False,1.002145,-0.22764387896728516,-0.2983726876556059
orig,2023-04-28,orig Equal premium capped,Equal premium capped,2020-02-28,2023-03-31,ok,reference,True,0.47768,-0.11190398220825194,-0.11977403213083214
orig,2023-04-28,orig Equal risk capped,Equal risk capped,2020-02-28,2023-03-31,ok,reference,True,0.47833099999999995,-0.12344197561645508,-0.13138644923837392
orig,2023-05-31,orig E1 capped,E1 capped,2020-03-31,2023-04-28,ok,infeasible,True,0.0,0.0,0.0
orig,2023-05-31,orig GM paper,GM paper,2020-03-31,2023-04-28,ok,optimal,False,1.000903,0.2565640683288579,0.13976038663813814
orig,2023-05-31,orig Equal premium capped,Equal premium capped,2020-03-31,2023-04-28,ok,reference,True,0.454907,0.11917205007934575,0.10990878746150917
orig,2023-05-31,orig Equal risk capped,Equal risk capped,2020-03-31,2023-04-28,ok,reference,True,0.456154,0.11191905490112311,0.10256798499715994
orig,2023-06-30,orig E1 capped,E1 capped,2020-04-30,2023-05-31,ok,optimal,True,0.49840199999999996,0.4694800093688965,0.4599299289282339
orig,2023-06-30,orig GM paper,GM paper,2020-04-30,2023-05-31,ok,optimal,False,1.000955,0.4879381546630862,0.4119973302814545
orig,2023-06-30,orig Equal premium capped,Equal premium capped,2020-04-30,2023-05-31,ok,reference,True,0.5204400000000001,0.41665598220825184,0.40642677579026526
orig,2023-06-30,orig Equal risk capped,Equal risk capped,2020-04-30,2023-05-31,ok,reference,True,0.5197970000000001,0.4542889999084472,0.44421770902702656
orig,2023-07-31,orig E1 capped,E1 capped,2020-05-29,2023-06-30,ok,optimal,True,0.538197,-0.25942806439208965,-0.26715535599886286
orig,2023-07-31,orig GM paper,GM paper,2020-05-29,2023-06-30,ok,optimal,False,1.000145,-0.12078113043212871,-0.14491914074239146
orig,2023-07-31,orig Equal premium capped,Equal premium capped,2020-05-29,2023-06-30,ok,reference,True,0.594145,-0.33888102868652326,-0.3480481348510828
orig,2023-07-31,orig Equal risk capped,Equal risk capped,2020-05-29,2023-06-30,ok,reference,True,0.592477,-0.3371950385742186,-0.34614525875022073
orig,2023-08-31,orig E1 capped,E1 capped,2020-06-30,2023-07-31,ok,optimal,True,0.527211,0.21536284298706043,0.20805415391643753
orig,2023-08-31,orig GM paper,GM paper,2020-06-30,2023-07-31,ok,optimal,False,0.9998859999999999,-0.013793064483642814,-0.10996796181998973
orig,2023-08-31,orig Equal premium capped,Equal premium capped,2020-06-30,2023-07-31,ok,reference,True,0.5871280000000001,0.2728318291625974,0.2645852431133273
orig,2023-08-31,orig Equal risk capped,Equal risk capped,2020-06-30,2023-07-31,ok,reference,True,0.587956,0.2671998283081053,0.25902387620077355
orig,2023-09-29,orig E1 capped,E1 capped,2020-07-31,2023-08-31,ok,infeasible,True,0.0,0.0,0.0
orig,2023-09-29,orig GM paper,GM paper,2020-07-31,2023-08-31,ok,optimal,False,0.993189,-0.19936687103271478,-4.346607897118152
orig,2023-09-29,orig Equal premium capped,Equal premium capped,2020-07-31,2023-08-31,ok,reference,True,0.46080400000000005,-0.0525308377685547,-0.05927511637962332
orig,2023-09-29,orig Equal risk capped,Equal risk capped,2020-07-31,2023-08-31,ok,reference,True,0.46008,-0.0676729067993164,-0.07417826935484743
orig,2023-10-31,orig E1 capped,E1 capped,2020-08-31,2023-09-29,ok,optimal,True,0.551384,-0.24275088757324226,-0.2520455250485335
orig,2023-10-31,orig GM paper,GM paper,2020-08-31,2023-09-29,ok,optimal,False,0.999702,-0.08872598236084012,-0.2738050218187104
orig,2023-10-31,orig Equal premium capped,Equal premium capped,2020-08-31,2023-09-29,ok,reference,True,0.67135,-0.21431794586181663,-0.2249463592929502
orig,2023-10-31,orig Equal risk capped,Equal risk capped,2020-08-31,2023-09-29,ok,reference,True,0.668181,-0.24129093804931662,-0.2519367073853861
orig,2023-11-30,orig E1 capped,E1 capped,2020-09-30,2023-10-31,ok,optimal,True,0.528658,0.8446602524719238,0.8353302640097863
orig,2023-11-30,orig GM paper,GM paper,2020-09-30,2023-10-31,ok,optimal,False,0.994077,0.32450894186401374,0.2273340343118201
orig,2023-11-30,orig Equal premium capped,Equal premium capped,2020-09-30,2023-10-31,ok,reference,True,0.581307,0.8311791502990723,0.8213423485191836
