config,path_id,strategy,display_strategy,basis,status,capacity_infeasible,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
larger+VIX,100,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,100,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.9271659999999999,0.5796229521939111,1.3125424415011093,0.07065831112011534,1.3779584415495678,-0.8544716262297506,1.4068716009273756,False
larger+VIX,100,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.8537669999999999,1.5063830511903373,4.770441960801743,2.213669951663315,1.1550016746791925,-0.5229662049904924,342.7728065227672,False
larger+VIX,100,larger+VIX GM paper,GM paper,full_cost_net,ok,False,1.0004520000000001,-3.276234083290147,-2.392261732658297,-1.0,3.5503990398017526,-1.0,0.0,True
larger+VIX,100,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
larger+VIX,100,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,ok,False,0.9271659999999999,0.3290290314318932,0.6777466238586439,-0.25349169944989813,1.373673740204848,-0.9452628967120457,0.23183190580403565,False
larger+VIX,101,larger+VIX Stock Markowitz,Stock Markowitz,gross,ok,False,1.0000000000000002,-0.14929741171964608,-0.24309495350987254,-0.00832679796338398,0.048386052453499966,-0.1103526866860457,0.9590536163910245,False
larger+VIX,101,larger+VIX Stock Markowitz,Stock Markowitz,full_cost_net,ok,False,1.0000000000000002,-0.14929741171964608,-0.24309495350987254,-0.00832679796338398,0.048386052453499966,-0.1103526866860457,0.9590536163910245,False
larger+VIX,101,larger+VIX E1 capped,E1 capped,gross,ok,False,0.8649089999999999,2.141725095599879,8.870745245275822,4.114660499674039,0.9925165290328393,-0.33595997634845265,3500.129051404312,False
larger+VIX,101,larger+VIX GM paper,GM paper,gross,ok,False,1.012546,0.4510589527978787,0.6662922370993254,0.058113340848979345,0.6841686122896466,-0.7513616023208365,1.3263585776728344,False
larger+VIX,101,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,101,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.934387,0.5142663259288257,1.1344311521402226,-0.027170695046103477,1.3793527740028781,-0.8957659676619364,0.871331114943639,False
larger+VIX,101,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.8649089999999999,1.8032682355045044,6.335475100131712,2.747874299685199,0.9848698981218325,-0.38726587520835776,739.477702239741,False
larger+VIX,101,larger+VIX GM paper,GM paper,full_cost_net,ok,False,1.012546,-3.300247064533464,-2.4010952961923158,-1.0,3.3483572273804523,-1.0,0.0,True
larger+VIX,101,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
larger+VIX,101,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,ok,False,0.934387,0.26261961625723945,0.5273926563962731,-0.325289292046153,1.375650800673797,-0.9611840397640644,0.13982602552866938,False
larger+VIX,102,larger+VIX Stock Markowitz,Stock Markowitz,gross,ok,False,1.0,0.15231225935522993,0.24331801333649372,0.005033072656128512,0.0374809505232561,-0.06799905435476539,1.0254199596649205,False
larger+VIX,102,larger+VIX Stock Markowitz,Stock Markowitz,full_cost_net,ok,False,1.0,0.15231225935522993,0.24331801333649372,0.005033072656128512,0.0374809505232561,-0.06799905435476539,1.0254199596649205,False
larger+VIX,102,larger+VIX E1 capped,E1 capped,gross,ok,False,0.857195,2.11969378448273,8.997255498351233,4.053279156411033,0.9964056994205067,-0.30035452944040264,3295.083711765471,False
larger+VIX,102,larger+VIX GM paper,GM paper,gross,ok,False,0.9833559999999999,0.48692823805281055,0.735164688655807,0.09131349647345544,0.6639323144035594,-0.6725434124701151,1.5479168619593775,False
larger+VIX,102,larger+VIX Equal premium capped,Equal premium capped,gross,ok,False,0.945151,0.3098122210948063,0.6529578996492573,-0.3056663292941034,1.4518029901936838,-0.9642821662886437,0.16137681182208877,False
larger+VIX,102,larger+VIX Equal risk capped,Equal risk capped,gross,ok,False,0.930366,0.47457362869474595,1.0332363981319885,-0.07089205489076678,1.361068260832083,-0.9001793816919669,0.6923582466597664,False
larger+VIX,102,larger+VIX E1 capped,E1 capped,full_cost_net,ok,False,0.857195,1.781972324748229,6.397055909061605,2.7033859903218436,0.9897801081045731,-0.3404579301783517,696.6183281519237,False
larger+VIX,102,larger+VIX GM paper,GM paper,full_cost_net,ok,False,0.9833559999999999,-1.7503782951938844,-1.5728654258625863,-1.0,9.03569420911067,-1.0,0.0,True
larger+VIX,102,larger+VIX Equal premium capped,Equal premium capped,full_cost_net,ok,False,0.945151,0.070649659543759,0.13566849259966235,-0.5264476767943455,1.4509055603196177,-0.9888898571196593,0.023814411724264236,False
larger+VIX,102,larger+VIX Equal risk capped,Equal risk capped,full_cost_net,ok,False,0.930366,0.21800737354322317,0.4318911814984409,-0.3575479441231555,1.357332476410501,-0.9629571855710076,0.10944693807085376,False
larger+VIX,103,larger+VIX Stock Markowitz,Stock Markowitz,gross,ok,False,1.0,-0.44657647185571214,-0.5253718579153737,-0.028780362251083047,0.06108859819613602,-0.16665134403791515,0.8641463015895174,False
larger+VIX,103,larger+VIX Stock Markowitz,Stock Markowitz,full_cost_net,ok,False,1.0,-0.44657647185571214,-0.5253718579153737,-0.028780362251083047,0.06108859819613602,-0.16665134403791515,0.8641463015895174,False
larger+VIX,103,larger+VIX E1 capped,E1 capped,gross,ok,False,0.863303,2.1066208720715927,6.186070260296501,2.8340371700476608,0.8092142343057832,-0.3712875419680234,828.479171984094,False
larger+VIX,103,larger+VIX GM paper,GM paper,gross,ok,False,0.995063,0.9582533811112367,1.8847728007008828,0.4563508227153541,0.5491481875377294,-0.6298432498916147,6.5513383177042455,False
