Return basis,Strategy,Requested method,Status,Simulation,Reason,N paths,Defaulted path share,Ann. return p05,Ann. return p50,Ann. return p95,Sortino p05,Sortino p50,Sortino p95,Max DD p05,Max DD p50,Max DD p95,Terminal wealth p05,Terminal wealth p50,Terminal wealth p95
Full-cost net,larger Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.6102072103594366,-0.20174475628740662,0.6250762221720021,-0.09174153689132972,1.0423820394029026,2.3722507400743202,-0.995858551128239,-0.9373678670078194,-0.7518310462140328,0.008998832963174958,0.32412236118285637,11.335040214934358
Full-cost net,larger Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.001,-0.8497991470910387,-0.5277788309656364,0.27220580089978325,-0.9712082352219562,0.07513292930652983,1.5496536555446185,-0.9999676901449984,-0.9926419698429411,-0.8586855654655456,7.644945868196832e-05,0.02348410381726291,3.332628199951704
Full-cost net,larger Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.5412917314256196,-0.07585496173718592,0.8725865224877373,0.04364837161180556,1.1920031499619888,2.614891184075387,-0.9927005328009227,-0.9077707074764056,-0.7107223783092553,0.020312013003182316,0.6740680756590145,23.02569975135331
Full-cost net,larger Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.7862933032154028,-0.4046772886691885,0.5022848131077545,-0.840423313703979,0.2721688190395103,1.7949039511119327,-0.9998237149868575,-0.9826927087809906,-0.8057977946472482,0.00044589231338474375,0.07477670595943745,7.6517608990818236
Full-cost net,larger+VIX E1 capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,0.6946825104571533,1.658972887919449,3.3467849535099297,2.2335311823154096,4.027956954933439,7.1289933688646565,-0.5998259339727334,-0.4278596271678929,-0.33896756702239494,13.977893827661438,132.9137143361122,1551.8181572846418
Full-cost net,larger+VIX E1 capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,0.3879433545719273,1.447016305131591,3.285287085774128,1.6986210304351275,4.009332865207625,7.940756271027654,-0.8030996499481731,-0.49777499596119057,-0.27811151265131545,5.150610884014314,87.73733747559072,1445.1067417926752
Full-cost net,larger+VIX GM paper,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,1.0,-1.0,-1.0,-1.0,-2.629090723650492,-1.6833075698544473,-1.5265544284892436,-1.0,-1.0,-1.0,0.0,0.0,0.0
Full-cost net,larger+VIX GM paper,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,1.0,-1.0,-1.0,-1.0,-1.3519460363414169,-0.220584308569712,1.4386467485499883,-1.0,-1.0,-1.0,0.0,0.0,0.0
Full-cost net,larger+VIX Equal premium capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.7771586605306525,-0.5595192589221224,-0.12316251829650958,-0.801963233611431,0.14128967468797837,1.1744112866845295,-0.999663021056501,-0.9916201006868479,-0.8983479957243307,0.0005495254421618179,0.016581942915305316,0.518330319164794
Full-cost net,larger+VIX Equal premium capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.927644586296698,-0.768001943608242,-0.3695377731040589,-1.5351699433516965,-0.6836173752912935,0.4643349515317474,-0.9999987962760841,-0.9995929681463123,-0.9722927553645334,1.9831481339502487e-06,0.0006720932861475605,0.09960827453730639
Full-cost net,larger+VIX Equal risk capped,circular_block_bootstrap,ok,circular_block_bootstrap,,1000,0.0,-0.6881490891837636,-0.3620868830415409,0.2509261209867967,-0.5195055862263107,0.5377848742195751,1.7228325958799144,-0.9983432684648982,-0.9690250280035078,-0.7954066326446271,0.0029494100303896435,0.10563515415606435,3.063190286228534
Full-cost net,larger+VIX Equal risk capped,egarch_or_ewma,ok,garch11_residual_fallback_insufficient_egarch_obs,insufficient_egarch_obs,1000,0.0,-0.8825336863401385,-0.6463315369227498,-0.08747964684802112,-1.2818007977875414,-0.3632870766185078,0.8622156731080234,-0.9999883365920654,-0.9976813343557112,-0.9122069062704332,2.236489159875578e-05,0.0055333956355977255,0.6327237757664199
