config,fold_id,scheme,strategy,display_strategy,basis,status,solver_status,mode,capacity_infeasible,sum_of_caps,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,kfold_09,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.773508725,0.698933,1.4722137506131001,3.7008914443909244,2.2074785807253696,1.2210750113342301,-0.44406010589376943,2.17491610868129,False
orig,kfold_10,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.7797287,0.50522,1.3636797935841596,3.559091476296696,1.3472753705909923,0.8582926273884021,-0.3213835990555848,1.6449865741941092,False
orig,kfold_10,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.7797287,0.50522,1.2169394802917723,2.991397534618055,1.0822760673358864,0.8598195294472244,-0.3393690363866182,1.5339599215471864,False
orig,kfold_10,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.894831,2.777550271440598,55.96738779953888,8.461236596535189,1.0041203585307377,-0.038060199487017554,3.7093938143080756,False
orig,kfold_10,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.894831,2.221498300954256,14.135466128442815,4.713871469138278,0.993128406242242,-0.11917863900640968,2.764030126807268,False
orig,kfold_10,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.7797287,0.712732,0.873584008885894,2.2195108662927905,0.6563034012640898,1.389419968977806,-0.45545893327967246,1.3422444121902595,False
orig,kfold_10,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.7797287,0.712732,0.7450715667276581,1.7796594975882276,0.3811110651286935,1.3915476170795178,-0.47756717239916735,1.207257798356173,False
orig,kfold_10,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.7797287,0.712732,0.873584008885894,2.2195108662927905,0.6563034012640898,1.389419968977806,-0.45545893327967246,1.3422444121902595,False
orig,kfold_10,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.7797287,0.712732,0.7450715667276581,1.7796594975882276,0.3811110651286935,1.3915476170795178,-0.47756717239916735,1.207257798356173,False
orig,kfold_11,kfold,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.7097497250000001,0.502192,-0.25587197758880464,-0.5645956385121292,-0.6390382531944879,1.401913746860831,-0.5642075576245176,0.5518897838230313,False
orig,kfold_11,kfold,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.7097497250000001,0.502192,-0.35733026299946447,-0.748194684106025,-0.6898669776560908,1.3938780692023043,-0.5917628427640538,0.5051298190230432,False
orig,kfold_11,kfold,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.994604,-0.9363481307141608,-1.4689281167938866,-0.8294271684096459,1.207473726909382,-0.6754927296819555,0.35640797868611884,False
orig,kfold_11,kfold,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.994604,-1.635346861257506,-1.932631714911936,-0.9693067375745841,1.3512009904333473,-0.7753956631563991,0.13105143496644395,False
orig,kfold_11,kfold,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.7097497250000001,0.6465140000000001,-0.10323719609013803,-0.24833530750585872,-0.7772939283277683,2.06071717075225,-0.6778338391558445,0.4163996605861165,False
orig,kfold_11,kfold,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.7097497250000001,0.6465140000000001,-0.2023465301879854,-0.46123576541147937,-0.8242385835431104,2.0514292047115674,-0.7097337698628499,0.36269263270182694,False
orig,kfold_11,kfold,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.7097497250000001,0.646514,-0.1774402512429585,-0.41907483210587093,-0.8369533186128906,2.1712038358955934,-0.7323459065498228,0.34714851528029567,False
orig,kfold_11,kfold,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.7097497250000001,0.646514,-0.27173859602225264,-0.6090697110259072,-0.8721988293350287,2.162033743056691,-0.7596876457883315,0.3011701916619404,False
orig,cpcv_00_01,cpcv,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.8274514249999999,0.526606,1.0253542571620702,2.4787492563090154,0.8973094880029377,1.4696298707338786,-0.7032742835846626,2.3488263195132686,False
orig,cpcv_00_01,cpcv,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.8274514249999999,0.526606,0.8676902285976492,1.9523796716381436,0.5007329662785247,1.441129185976756,-0.7349261881978346,1.718190170846896,False
orig,cpcv_00_01,cpcv,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.8983140000000001,-0.41372204157431935,-0.4845019539405247,-0.8002707326319501,1.0007203703172323,-0.9403888874271515,0.11674965663118363,False
orig,cpcv_00_01,cpcv,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.8983140000000001,-2.7624183724209805,-2.202257487260186,-1.0,2.1125101291240034,-1.0,0.0,True
orig,cpcv_00_01,cpcv,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.8274514249999999,0.759944,1.2570402308850883,3.1921179790365235,1.6092554403105037,1.9816039850507075,-0.641381683784752,3.592158271294105,False
orig,cpcv_00_01,cpcv,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.8274514249999999,0.759944,0.9899521441273036,2.208298416349179,0.5489702809706898,1.8912223015132135,-0.7169243493962967,1.7922177756161053,False
orig,cpcv_00_01,cpcv,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.8274514249999999,0.759944,1.2570402308850883,3.1921179790365235,1.6092554403105037,1.9816039850507075,-0.641381683784752,3.592158271294105,False
orig,cpcv_00_01,cpcv,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.8274514249999999,0.759944,0.9899521441273036,2.208298416349179,0.5489702809706898,1.8912223015132135,-0.7169243493962967,1.7922177756161053,False
orig,cpcv_00_02,cpcv,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.847050725,0.517461,1.7723940238211315,6.397686956398829,3.958204094230336,1.3160817681577097,-0.4516252787376859,8.45471941851153,False
orig,cpcv_00_02,cpcv,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.847050725,0.517461,1.6222855646451595,5.450528700256751,3.1222191412236917,1.3089090371310088,-0.4866956560032082,6.609593757187947,False
orig,cpcv_00_02,cpcv,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.922001,2.1276404248091385,9.624336165830158,5.856114191235353,1.206579337556172,-0.2508117110279592,13.024789797154243,False
orig,cpcv_00_02,cpcv,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.922001,-2.6675753296733036,-2.1616132441046148,-1.0,2.1778022964740873,-1.0,0.0,True
