config,fold_id,scheme,test_groups,test_start,test_end,n_train,n_test,n_purged,n_embargoed,status,expected_splits_per_config
orig,cpcv_01_03,cpcv,1_3,2018-10-31,2020-10-30,107,16,4,2,ok,78
orig,cpcv_01_04,cpcv,1_4,2018-10-31,2021-07-30,107,16,4,2,ok,78
orig,cpcv_01_05,cpcv,1_5,2018-10-31,2022-04-29,107,16,4,2,ok,78
orig,cpcv_01_06,cpcv,1_6,2018-10-31,2022-12-30,107,16,4,2,ok,78
orig,cpcv_01_07,cpcv,1_7,2018-10-31,2023-08-31,107,16,4,2,ok,78
orig,cpcv_01_08,cpcv,1_8,2018-10-31,2024-05-31,107,16,4,2,ok,78
orig,cpcv_01_09,cpcv,1_9,2018-10-31,2025-01-31,107,16,4,2,ok,78
orig,cpcv_01_10,cpcv,1_10,2018-10-31,2025-09-30,108,15,4,2,ok,78
orig,cpcv_01_11,cpcv,1_11,2018-10-31,2026-04-30,110,15,3,1,ok,78
orig,cpcv_02_03,cpcv,2_3,2019-07-31,2020-10-30,110,16,2,1,ok,78
orig,cpcv_02_04,cpcv,2_4,2019-07-31,2021-07-30,107,16,4,2,ok,78
orig,cpcv_02_05,cpcv,2_5,2019-07-31,2022-04-29,107,16,4,2,ok,78
orig,cpcv_02_06,cpcv,2_6,2019-07-31,2022-12-30,107,16,4,2,ok,78
orig,cpcv_02_07,cpcv,2_7,2019-07-31,2023-08-31,107,16,4,2,ok,78
orig,cpcv_02_08,cpcv,2_8,2019-07-31,2024-05-31,107,16,4,2,ok,78
orig,cpcv_02_09,cpcv,2_9,2019-07-31,2025-01-31,107,16,4,2,ok,78
orig,cpcv_02_10,cpcv,2_10,2019-07-31,2025-09-30,108,15,4,2,ok,78
orig,cpcv_02_11,cpcv,2_11,2019-07-31,2026-04-30,110,15,3,1,ok,78
orig,cpcv_03_04,cpcv,3_4,2020-03-31,2021-07-30,110,16,2,1,ok,78
orig,cpcv_03_05,cpcv,3_5,2020-03-31,2022-04-29,107,16,4,2,ok,78
orig,cpcv_03_06,cpcv,3_6,2020-03-31,2022-12-30,107,16,4,2,ok,78
orig,cpcv_03_07,cpcv,3_7,2020-03-31,2023-08-31,107,16,4,2,ok,78
orig,cpcv_03_08,cpcv,3_8,2020-03-31,2024-05-31,107,16,4,2,ok,78
orig,cpcv_03_09,cpcv,3_9,2020-03-31,2025-01-31,107,16,4,2,ok,78
orig,cpcv_03_10,cpcv,3_10,2020-03-31,2025-09-30,108,15,4,2,ok,78
orig,cpcv_03_11,cpcv,3_11,2020-03-31,2026-04-30,110,15,3,1,ok,78
orig,cpcv_04_05,cpcv,4_5,2020-11-30,2022-04-29,110,16,2,1,ok,78
orig,cpcv_04_06,cpcv,4_6,2020-11-30,2022-12-30,107,16,4,2,ok,78
orig,cpcv_04_07,cpcv,4_7,2020-11-30,2023-08-31,107,16,4,2,ok,78
orig,cpcv_04_08,cpcv,4_8,2020-11-30,2024-05-31,107,16,4,2,ok,78
orig,cpcv_04_09,cpcv,4_9,2020-11-30,2025-01-31,107,16,4,2,ok,78
orig,cpcv_04_10,cpcv,4_10,2020-11-30,2025-09-30,108,15,4,2,ok,78
orig,cpcv_04_11,cpcv,4_11,2020-11-30,2026-04-30,110,15,3,1,ok,78
orig,cpcv_05_06,cpcv,5_6,2021-08-31,2022-12-30,110,16,2,1,ok,78
orig,cpcv_05_07,cpcv,5_7,2021-08-31,2023-08-31,107,16,4,2,ok,78
orig,cpcv_05_08,cpcv,5_8,2021-08-31,2024-05-31,107,16,4,2,ok,78
orig,cpcv_05_09,cpcv,5_9,2021-08-31,2025-01-31,107,16,4,2,ok,78
orig,cpcv_05_10,cpcv,5_10,2021-08-31,2025-09-30,108,15,4,2,ok,78
orig,cpcv_05_11,cpcv,5_11,2021-08-31,2026-04-30,110,15,3,1,ok,78
orig,cpcv_06_07,cpcv,6_7,2022-05-31,2023-08-31,110,16,2,1,ok,78
orig,cpcv_06_08,cpcv,6_8,2022-05-31,2024-05-31,107,16,4,2,ok,78
orig,cpcv_06_09,cpcv,6_9,2022-05-31,2025-01-31,107,16,4,2,ok,78
orig,cpcv_06_10,cpcv,6_10,2022-05-31,2025-09-30,108,15,4,2,ok,78
orig,cpcv_06_11,cpcv,6_11,2022-05-31,2026-04-30,110,15,3,1,ok,78
orig,cpcv_07_08,cpcv,7_8,2023-01-31,2024-05-31,110,16,2,1,ok,78
orig,cpcv_07_09,cpcv,7_9,2023-01-31,2025-01-31,107,16,4,2,ok,78
orig,cpcv_07_10,cpcv,7_10,2023-01-31,2025-09-30,108,15,4,2,ok,78
orig,cpcv_07_11,cpcv,7_11,2023-01-31,2026-04-30,110,15,3,1,ok,78
orig,cpcv_08_09,cpcv,8_9,2023-09-29,2025-01-31,110,16,2,1,ok,78
orig,cpcv_08_10,cpcv,8_10,2023-09-29,2025-09-30,108,15,4,2,ok,78
orig,cpcv_08_11,cpcv,8_11,2023-09-29,2026-04-30,110,15,3,1,ok,78
orig,cpcv_09_10,cpcv,9_10,2024-06-28,2025-09-30,111,15,2,1,ok,78
orig,cpcv_09_11,cpcv,9_11,2024-06-28,2026-04-30,110,15,3,1,ok,78
orig,cpcv_10_11,cpcv,10_11,2025-02-28,2026-04-30,114,14,1,0,ok,78
orig+VIX,kfold_00,kfold,0,2018-01-31,2018-09-28,118,8,2,1,ok,78
orig+VIX,kfold_01,kfold,1,2018-10-31,2019-06-28,118,8,2,1,ok,78
orig+VIX,kfold_02,kfold,2,2019-07-31,2020-02-28,118,8,2,1,ok,78
orig+VIX,kfold_03,kfold,3,2020-03-31,2020-10-30,118,8,2,1,ok,78
orig+VIX,kfold_04,kfold,4,2020-11-30,2021-07-30,118,8,2,1,ok,78
orig+VIX,kfold_05,kfold,5,2021-08-31,2022-04-29,118,8,2,1,ok,78
orig+VIX,kfold_06,kfold,6,2022-05-31,2022-12-30,118,8,2,1,ok,78
orig+VIX,kfold_07,kfold,7,2023-01-31,2023-08-31,118,8,2,1,ok,78
orig+VIX,kfold_08,kfold,8,2023-09-29,2024-05-31,118,8,2,1,ok,78
orig+VIX,kfold_09,kfold,9,2024-06-28,2025-01-31,118,8,2,1,ok,78
orig+VIX,kfold_10,kfold,10,2025-02-28,2025-09-30,119,7,2,1,ok,78
orig+VIX,kfold_11,kfold,11,2025-10-31,2026-04-30,121,7,1,0,ok,78
orig+VIX,cpcv_00_01,cpcv,0_1,2018-01-31,2019-06-28,110,16,2,1,ok,78
orig+VIX,cpcv_00_02,cpcv,0_2,2018-01-31,2020-02-28,107,16,4,2,ok,78
orig+VIX,cpcv_00_03,cpcv,0_3,2018-01-31,2020-10-30,107,16,4,2,ok,78
orig+VIX,cpcv_00_04,cpcv,0_4,2018-01-31,2021-07-30,107,16,4,2,ok,78
orig+VIX,cpcv_00_05,cpcv,0_5,2018-01-31,2022-04-29,107,16,4,2,ok,78
orig+VIX,cpcv_00_06,cpcv,0_6,2018-01-31,2022-12-30,107,16,4,2,ok,78
orig+VIX,cpcv_00_07,cpcv,0_7,2018-01-31,2023-08-31,107,16,4,2,ok,78
orig+VIX,cpcv_00_08,cpcv,0_8,2018-01-31,2024-05-31,107,16,4,2,ok,78
orig+VIX,cpcv_00_09,cpcv,0_9,2018-01-31,2025-01-31,107,16,4,2,ok,78
orig+VIX,cpcv_00_10,cpcv,0_10,2018-01-31,2025-09-30,108,15,4,2,ok,78
orig+VIX,cpcv_00_11,cpcv,0_11,2018-01-31,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_01_02,cpcv,1_2,2018-10-31,2020-02-28,110,16,2,1,ok,78
orig+VIX,cpcv_01_03,cpcv,1_3,2018-10-31,2020-10-30,107,16,4,2,ok,78
orig+VIX,cpcv_01_04,cpcv,1_4,2018-10-31,2021-07-30,107,16,4,2,ok,78
orig+VIX,cpcv_01_05,cpcv,1_5,2018-10-31,2022-04-29,107,16,4,2,ok,78
orig+VIX,cpcv_01_06,cpcv,1_6,2018-10-31,2022-12-30,107,16,4,2,ok,78
orig+VIX,cpcv_01_07,cpcv,1_7,2018-10-31,2023-08-31,107,16,4,2,ok,78
orig+VIX,cpcv_01_08,cpcv,1_8,2018-10-31,2024-05-31,107,16,4,2,ok,78
orig+VIX,cpcv_01_09,cpcv,1_9,2018-10-31,2025-01-31,107,16,4,2,ok,78
orig+VIX,cpcv_01_10,cpcv,1_10,2018-10-31,2025-09-30,108,15,4,2,ok,78
orig+VIX,cpcv_01_11,cpcv,1_11,2018-10-31,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_02_03,cpcv,2_3,2019-07-31,2020-10-30,110,16,2,1,ok,78
orig+VIX,cpcv_02_04,cpcv,2_4,2019-07-31,2021-07-30,107,16,4,2,ok,78
orig+VIX,cpcv_02_05,cpcv,2_5,2019-07-31,2022-04-29,107,16,4,2,ok,78
orig+VIX,cpcv_02_06,cpcv,2_6,2019-07-31,2022-12-30,107,16,4,2,ok,78
orig+VIX,cpcv_02_07,cpcv,2_7,2019-07-31,2023-08-31,107,16,4,2,ok,78
orig+VIX,cpcv_02_08,cpcv,2_8,2019-07-31,2024-05-31,107,16,4,2,ok,78
orig+VIX,cpcv_02_09,cpcv,2_9,2019-07-31,2025-01-31,107,16,4,2,ok,78
orig+VIX,cpcv_02_10,cpcv,2_10,2019-07-31,2025-09-30,108,15,4,2,ok,78
orig+VIX,cpcv_02_11,cpcv,2_11,2019-07-31,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_03_04,cpcv,3_4,2020-03-31,2021-07-30,110,16,2,1,ok,78
orig+VIX,cpcv_03_05,cpcv,3_5,2020-03-31,2022-04-29,107,16,4,2,ok,78
orig+VIX,cpcv_03_06,cpcv,3_6,2020-03-31,2022-12-30,107,16,4,2,ok,78
orig+VIX,cpcv_03_07,cpcv,3_7,2020-03-31,2023-08-31,107,16,4,2,ok,78
orig+VIX,cpcv_03_08,cpcv,3_8,2020-03-31,2024-05-31,107,16,4,2,ok,78
orig+VIX,cpcv_03_09,cpcv,3_9,2020-03-31,2025-01-31,107,16,4,2,ok,78
orig+VIX,cpcv_03_10,cpcv,3_10,2020-03-31,2025-09-30,108,15,4,2,ok,78
orig+VIX,cpcv_03_11,cpcv,3_11,2020-03-31,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_04_05,cpcv,4_5,2020-11-30,2022-04-29,110,16,2,1,ok,78
orig+VIX,cpcv_04_06,cpcv,4_6,2020-11-30,2022-12-30,107,16,4,2,ok,78
orig+VIX,cpcv_04_07,cpcv,4_7,2020-11-30,2023-08-31,107,16,4,2,ok,78
orig+VIX,cpcv_04_08,cpcv,4_8,2020-11-30,2024-05-31,107,16,4,2,ok,78
orig+VIX,cpcv_04_09,cpcv,4_9,2020-11-30,2025-01-31,107,16,4,2,ok,78
orig+VIX,cpcv_04_10,cpcv,4_10,2020-11-30,2025-09-30,108,15,4,2,ok,78
orig+VIX,cpcv_04_11,cpcv,4_11,2020-11-30,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_05_06,cpcv,5_6,2021-08-31,2022-12-30,110,16,2,1,ok,78
orig+VIX,cpcv_05_07,cpcv,5_7,2021-08-31,2023-08-31,107,16,4,2,ok,78
orig+VIX,cpcv_05_08,cpcv,5_8,2021-08-31,2024-05-31,107,16,4,2,ok,78
orig+VIX,cpcv_05_09,cpcv,5_9,2021-08-31,2025-01-31,107,16,4,2,ok,78
orig+VIX,cpcv_05_10,cpcv,5_10,2021-08-31,2025-09-30,108,15,4,2,ok,78
orig+VIX,cpcv_05_11,cpcv,5_11,2021-08-31,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_06_07,cpcv,6_7,2022-05-31,2023-08-31,110,16,2,1,ok,78
orig+VIX,cpcv_06_08,cpcv,6_8,2022-05-31,2024-05-31,107,16,4,2,ok,78
orig+VIX,cpcv_06_09,cpcv,6_9,2022-05-31,2025-01-31,107,16,4,2,ok,78
orig+VIX,cpcv_06_10,cpcv,6_10,2022-05-31,2025-09-30,108,15,4,2,ok,78
orig+VIX,cpcv_06_11,cpcv,6_11,2022-05-31,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_07_08,cpcv,7_8,2023-01-31,2024-05-31,110,16,2,1,ok,78
orig+VIX,cpcv_07_09,cpcv,7_9,2023-01-31,2025-01-31,107,16,4,2,ok,78
orig+VIX,cpcv_07_10,cpcv,7_10,2023-01-31,2025-09-30,108,15,4,2,ok,78
orig+VIX,cpcv_07_11,cpcv,7_11,2023-01-31,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_08_09,cpcv,8_9,2023-09-29,2025-01-31,110,16,2,1,ok,78
orig+VIX,cpcv_08_10,cpcv,8_10,2023-09-29,2025-09-30,108,15,4,2,ok,78
orig+VIX,cpcv_08_11,cpcv,8_11,2023-09-29,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_09_10,cpcv,9_10,2024-06-28,2025-09-30,111,15,2,1,ok,78
orig+VIX,cpcv_09_11,cpcv,9_11,2024-06-28,2026-04-30,110,15,3,1,ok,78
orig+VIX,cpcv_10_11,cpcv,10_11,2025-02-28,2026-04-30,114,14,1,0,ok,78
larger,kfold_00,kfold,0,2018-01-31,2018-09-28,118,8,2,1,ok,78
larger,kfold_01,kfold,1,2018-10-31,2019-06-28,118,8,2,1,ok,78
larger,kfold_02,kfold,2,2019-07-31,2020-02-28,118,8,2,1,ok,78
larger,kfold_03,kfold,3,2020-03-31,2020-10-30,118,8,2,1,ok,78
larger,kfold_04,kfold,4,2020-11-30,2021-07-30,118,8,2,1,ok,78
larger,kfold_05,kfold,5,2021-08-31,2022-04-29,118,8,2,1,ok,78
larger,kfold_06,kfold,6,2022-05-31,2022-12-30,118,8,2,1,ok,78
larger,kfold_07,kfold,7,2023-01-31,2023-08-31,118,8,2,1,ok,78
larger,kfold_08,kfold,8,2023-09-29,2024-05-31,118,8,2,1,ok,78
larger,kfold_09,kfold,9,2024-06-28,2025-01-31,118,8,2,1,ok,78
larger,kfold_10,kfold,10,2025-02-28,2025-09-30,119,7,2,1,ok,78
larger,kfold_11,kfold,11,2025-10-31,2026-04-30,121,7,1,0,ok,78
larger,cpcv_00_01,cpcv,0_1,2018-01-31,2019-06-28,110,16,2,1,ok,78
larger,cpcv_00_02,cpcv,0_2,2018-01-31,2020-02-28,107,16,4,2,ok,78
larger,cpcv_00_03,cpcv,0_3,2018-01-31,2020-10-30,107,16,4,2,ok,78
larger,cpcv_00_04,cpcv,0_4,2018-01-31,2021-07-30,107,16,4,2,ok,78
larger,cpcv_00_05,cpcv,0_5,2018-01-31,2022-04-29,107,16,4,2,ok,78
larger,cpcv_00_06,cpcv,0_6,2018-01-31,2022-12-30,107,16,4,2,ok,78
larger,cpcv_00_07,cpcv,0_7,2018-01-31,2023-08-31,107,16,4,2,ok,78
larger,cpcv_00_08,cpcv,0_8,2018-01-31,2024-05-31,107,16,4,2,ok,78
larger,cpcv_00_09,cpcv,0_9,2018-01-31,2025-01-31,107,16,4,2,ok,78
larger,cpcv_00_10,cpcv,0_10,2018-01-31,2025-09-30,108,15,4,2,ok,78
larger,cpcv_00_11,cpcv,0_11,2018-01-31,2026-04-30,110,15,3,1,ok,78
larger,cpcv_01_02,cpcv,1_2,2018-10-31,2020-02-28,110,16,2,1,ok,78
larger,cpcv_01_03,cpcv,1_3,2018-10-31,2020-10-30,107,16,4,2,ok,78
larger,cpcv_01_04,cpcv,1_4,2018-10-31,2021-07-30,107,16,4,2,ok,78
larger,cpcv_01_05,cpcv,1_5,2018-10-31,2022-04-29,107,16,4,2,ok,78
larger,cpcv_01_06,cpcv,1_6,2018-10-31,2022-12-30,107,16,4,2,ok,78
larger,cpcv_01_07,cpcv,1_7,2018-10-31,2023-08-31,107,16,4,2,ok,78
larger,cpcv_01_08,cpcv,1_8,2018-10-31,2024-05-31,107,16,4,2,ok,78
larger,cpcv_01_09,cpcv,1_9,2018-10-31,2025-01-31,107,16,4,2,ok,78
larger,cpcv_01_10,cpcv,1_10,2018-10-31,2025-09-30,108,15,4,2,ok,78
larger,cpcv_01_11,cpcv,1_11,2018-10-31,2026-04-30,110,15,3,1,ok,78
larger,cpcv_02_03,cpcv,2_3,2019-07-31,2020-10-30,110,16,2,1,ok,78
larger,cpcv_02_04,cpcv,2_4,2019-07-31,2021-07-30,107,16,4,2,ok,78
larger,cpcv_02_05,cpcv,2_5,2019-07-31,2022-04-29,107,16,4,2,ok,78
larger,cpcv_02_06,cpcv,2_6,2019-07-31,2022-12-30,107,16,4,2,ok,78
larger,cpcv_02_07,cpcv,2_7,2019-07-31,2023-08-31,107,16,4,2,ok,78
larger,cpcv_02_08,cpcv,2_8,2019-07-31,2024-05-31,107,16,4,2,ok,78
larger,cpcv_02_09,cpcv,2_9,2019-07-31,2025-01-31,107,16,4,2,ok,78
larger,cpcv_02_10,cpcv,2_10,2019-07-31,2025-09-30,108,15,4,2,ok,78
larger,cpcv_02_11,cpcv,2_11,2019-07-31,2026-04-30,110,15,3,1,ok,78
larger,cpcv_03_04,cpcv,3_4,2020-03-31,2021-07-30,110,16,2,1,ok,78
larger,cpcv_03_05,cpcv,3_5,2020-03-31,2022-04-29,107,16,4,2,ok,78
larger,cpcv_03_06,cpcv,3_6,2020-03-31,2022-12-30,107,16,4,2,ok,78
larger,cpcv_03_07,cpcv,3_7,2020-03-31,2023-08-31,107,16,4,2,ok,78
larger,cpcv_03_08,cpcv,3_8,2020-03-31,2024-05-31,107,16,4,2,ok,78
larger,cpcv_03_09,cpcv,3_9,2020-03-31,2025-01-31,107,16,4,2,ok,78
larger,cpcv_03_10,cpcv,3_10,2020-03-31,2025-09-30,108,15,4,2,ok,78
larger,cpcv_03_11,cpcv,3_11,2020-03-31,2026-04-30,110,15,3,1,ok,78
larger,cpcv_04_05,cpcv,4_5,2020-11-30,2022-04-29,110,16,2,1,ok,78
larger,cpcv_04_06,cpcv,4_6,2020-11-30,2022-12-30,107,16,4,2,ok,78
larger,cpcv_04_07,cpcv,4_7,2020-11-30,2023-08-31,107,16,4,2,ok,78
larger,cpcv_04_08,cpcv,4_8,2020-11-30,2024-05-31,107,16,4,2,ok,78
larger,cpcv_04_09,cpcv,4_9,2020-11-30,2025-01-31,107,16,4,2,ok,78
larger,cpcv_04_10,cpcv,4_10,2020-11-30,2025-09-30,108,15,4,2,ok,78
larger,cpcv_04_11,cpcv,4_11,2020-11-30,2026-04-30,110,15,3,1,ok,78
larger,cpcv_05_06,cpcv,5_6,2021-08-31,2022-12-30,110,16,2,1,ok,78
larger,cpcv_05_07,cpcv,5_7,2021-08-31,2023-08-31,107,16,4,2,ok,78
larger,cpcv_05_08,cpcv,5_8,2021-08-31,2024-05-31,107,16,4,2,ok,78
larger,cpcv_05_09,cpcv,5_9,2021-08-31,2025-01-31,107,16,4,2,ok,78
larger,cpcv_05_10,cpcv,5_10,2021-08-31,2025-09-30,108,15,4,2,ok,78
larger,cpcv_05_11,cpcv,5_11,2021-08-31,2026-04-30,110,15,3,1,ok,78
larger,cpcv_06_07,cpcv,6_7,2022-05-31,2023-08-31,110,16,2,1,ok,78
larger,cpcv_06_08,cpcv,6_8,2022-05-31,2024-05-31,107,16,4,2,ok,78
larger,cpcv_06_09,cpcv,6_9,2022-05-31,2025-01-31,107,16,4,2,ok,78
larger,cpcv_06_10,cpcv,6_10,2022-05-31,2025-09-30,108,15,4,2,ok,78
larger,cpcv_06_11,cpcv,6_11,2022-05-31,2026-04-30,110,15,3,1,ok,78
larger,cpcv_07_08,cpcv,7_8,2023-01-31,2024-05-31,110,16,2,1,ok,78
larger,cpcv_07_09,cpcv,7_9,2023-01-31,2025-01-31,107,16,4,2,ok,78
larger,cpcv_07_10,cpcv,7_10,2023-01-31,2025-09-30,108,15,4,2,ok,78
larger,cpcv_07_11,cpcv,7_11,2023-01-31,2026-04-30,110,15,3,1,ok,78
larger,cpcv_08_09,cpcv,8_9,2023-09-29,2025-01-31,110,16,2,1,ok,78
larger,cpcv_08_10,cpcv,8_10,2023-09-29,2025-09-30,108,15,4,2,ok,78
larger,cpcv_08_11,cpcv,8_11,2023-09-29,2026-04-30,110,15,3,1,ok,78
larger,cpcv_09_10,cpcv,9_10,2024-06-28,2025-09-30,111,15,2,1,ok,78
larger,cpcv_09_11,cpcv,9_11,2024-06-28,2026-04-30,110,15,3,1,ok,78
larger,cpcv_10_11,cpcv,10_11,2025-02-28,2026-04-30,114,14,1,0,ok,78
larger+VIX,kfold_00,kfold,0,2018-01-31,2018-09-28,118,8,2,1,ok,78
larger+VIX,kfold_01,kfold,1,2018-10-31,2019-06-28,118,8,2,1,ok,78
larger+VIX,kfold_02,kfold,2,2019-07-31,2020-02-28,118,8,2,1,ok,78
larger+VIX,kfold_03,kfold,3,2020-03-31,2020-10-30,118,8,2,1,ok,78
larger+VIX,kfold_04,kfold,4,2020-11-30,2021-07-30,118,8,2,1,ok,78
larger+VIX,kfold_05,kfold,5,2021-08-31,2022-04-29,118,8,2,1,ok,78
larger+VIX,kfold_06,kfold,6,2022-05-31,2022-12-30,118,8,2,1,ok,78
larger+VIX,kfold_07,kfold,7,2023-01-31,2023-08-31,118,8,2,1,ok,78
larger+VIX,kfold_08,kfold,8,2023-09-29,2024-05-31,118,8,2,1,ok,78
larger+VIX,kfold_09,kfold,9,2024-06-28,2025-01-31,118,8,2,1,ok,78
larger+VIX,kfold_10,kfold,10,2025-02-28,2025-09-30,119,7,2,1,ok,78
larger+VIX,kfold_11,kfold,11,2025-10-31,2026-04-30,121,7,1,0,ok,78
larger+VIX,cpcv_00_01,cpcv,0_1,2018-01-31,2019-06-28,110,16,2,1,ok,78
larger+VIX,cpcv_00_02,cpcv,0_2,2018-01-31,2020-02-28,107,16,4,2,ok,78
larger+VIX,cpcv_00_03,cpcv,0_3,2018-01-31,2020-10-30,107,16,4,2,ok,78
larger+VIX,cpcv_00_04,cpcv,0_4,2018-01-31,2021-07-30,107,16,4,2,ok,78
larger+VIX,cpcv_00_05,cpcv,0_5,2018-01-31,2022-04-29,107,16,4,2,ok,78
larger+VIX,cpcv_00_06,cpcv,0_6,2018-01-31,2022-12-30,107,16,4,2,ok,78
larger+VIX,cpcv_00_07,cpcv,0_7,2018-01-31,2023-08-31,107,16,4,2,ok,78
larger+VIX,cpcv_00_08,cpcv,0_8,2018-01-31,2024-05-31,107,16,4,2,ok,78
larger+VIX,cpcv_00_09,cpcv,0_9,2018-01-31,2025-01-31,107,16,4,2,ok,78
larger+VIX,cpcv_00_10,cpcv,0_10,2018-01-31,2025-09-30,108,15,4,2,ok,78
larger+VIX,cpcv_00_11,cpcv,0_11,2018-01-31,2026-04-30,110,15,3,1,ok,78
larger+VIX,cpcv_01_02,cpcv,1_2,2018-10-31,2020-02-28,110,16,2,1,ok,78
larger+VIX,cpcv_01_03,cpcv,1_3,2018-10-31,2020-10-30,107,16,4,2,ok,78
larger+VIX,cpcv_01_04,cpcv,1_4,2018-10-31,2021-07-30,107,16,4,2,ok,78
larger+VIX,cpcv_01_05,cpcv,1_5,2018-10-31,2022-04-29,107,16,4,2,ok,78
larger+VIX,cpcv_01_06,cpcv,1_6,2018-10-31,2022-12-30,107,16,4,2,ok,78
larger+VIX,cpcv_01_07,cpcv,1_7,2018-10-31,2023-08-31,107,16,4,2,ok,78
larger+VIX,cpcv_01_08,cpcv,1_8,2018-10-31,2024-05-31,107,16,4,2,ok,78
larger+VIX,cpcv_01_09,cpcv,1_9,2018-10-31,2025-01-31,107,16,4,2,ok,78
larger+VIX,cpcv_01_10,cpcv,1_10,2018-10-31,2025-09-30,108,15,4,2,ok,78
larger+VIX,cpcv_01_11,cpcv,1_11,2018-10-31,2026-04-30,110,15,3,1,ok,78
larger+VIX,cpcv_02_03,cpcv,2_3,2019-07-31,2020-10-30,110,16,2,1,ok,78
larger+VIX,cpcv_02_04,cpcv,2_4,2019-07-31,2021-07-30,107,16,4,2,ok,78
larger+VIX,cpcv_02_05,cpcv,2_5,2019-07-31,2022-04-29,107,16,4,2,ok,78
larger+VIX,cpcv_02_06,cpcv,2_6,2019-07-31,2022-12-30,107,16,4,2,ok,78
larger+VIX,cpcv_02_07,cpcv,2_7,2019-07-31,2023-08-31,107,16,4,2,ok,78
larger+VIX,cpcv_02_08,cpcv,2_8,2019-07-31,2024-05-31,107,16,4,2,ok,78
larger+VIX,cpcv_02_09,cpcv,2_9,2019-07-31,2025-01-31,107,16,4,2,ok,78
larger+VIX,cpcv_02_10,cpcv,2_10,2019-07-31,2025-09-30,108,15,4,2,ok,78
larger+VIX,cpcv_02_11,cpcv,2_11,2019-07-31,2026-04-30,110,15,3,1,ok,78
larger+VIX,cpcv_03_04,cpcv,3_4,2020-03-31,2021-07-30,110,16,2,1,ok,78
larger+VIX,cpcv_03_05,cpcv,3_5,2020-03-31,2022-04-29,107,16,4,2,ok,78
larger+VIX,cpcv_03_06,cpcv,3_6,2020-03-31,2022-12-30,107,16,4,2,ok,78
larger+VIX,cpcv_03_07,cpcv,3_7,2020-03-31,2023-08-31,107,16,4,2,ok,78
larger+VIX,cpcv_03_08,cpcv,3_8,2020-03-31,2024-05-31,107,16,4,2,ok,78
larger+VIX,cpcv_03_09,cpcv,3_9,2020-03-31,2025-01-31,107,16,4,2,ok,78
larger+VIX,cpcv_03_10,cpcv,3_10,2020-03-31,2025-09-30,108,15,4,2,ok,78
larger+VIX,cpcv_03_11,cpcv,3_11,2020-03-31,2026-04-30,110,15,3,1,ok,78
