config,fold_id,seconds,status
larger,cpcv_01_09,24.48354308400303,ok
larger,cpcv_01_10,24.375869000097737,ok
larger,cpcv_01_11,24.649458499858156,ok
larger,cpcv_02_03,25.07937050005421,ok
larger,cpcv_02_04,24.19516958296299,ok
larger,cpcv_02_05,24.312704249983653,ok
larger,cpcv_02_06,24.396250791149214,ok
larger,cpcv_02_07,24.410771917086095,ok
larger,cpcv_02_08,24.39451124984771,ok
larger,cpcv_02_09,24.39960754197091,ok
larger,cpcv_02_10,24.44836966600269,ok
larger,cpcv_02_11,24.67675029207021,ok
larger,cpcv_03_04,24.834472582908347,ok
larger,cpcv_03_05,24.379997209180146,ok
larger,cpcv_03_06,24.256831834092736,ok
larger,cpcv_03_07,24.311923667090014,ok
larger,cpcv_03_08,24.330087082926184,ok
larger,cpcv_03_09,24.395042082993314,ok
larger,cpcv_03_10,24.341108124936,ok
larger,cpcv_03_11,24.667696540942416,ok
larger,cpcv_04_05,24.90735258278437,ok
larger,cpcv_04_06,24.320659124990925,ok
larger,cpcv_04_07,24.454740833025426,ok
larger,cpcv_04_08,24.427695125108585,ok
larger,cpcv_04_09,24.440333124948665,ok
larger,cpcv_04_10,24.42534212488681,ok
larger,cpcv_04_11,24.765092416200787,ok
larger,cpcv_05_06,24.922729542013258,ok
larger,cpcv_05_07,24.349383540917188,ok
larger,cpcv_05_08,24.442153417039663,ok
larger,cpcv_05_09,24.37433408293873,ok
larger,cpcv_05_10,24.336184457875788,ok
larger,cpcv_05_11,24.629442792152986,ok
larger,cpcv_06_07,24.803044416941702,ok
larger,cpcv_06_08,24.39541095797904,ok
larger,cpcv_06_09,24.395951749989763,ok
larger,cpcv_06_10,24.353587790858,ok
larger,cpcv_06_11,24.712594708194956,ok
larger,cpcv_07_08,24.86781287495978,ok
larger,cpcv_07_09,24.35390054085292,ok
larger,cpcv_07_10,24.175742625026032,ok
larger,cpcv_07_11,24.688187832944095,ok
larger,cpcv_08_09,24.939838375197724,ok
larger,cpcv_08_10,24.41172174992971,ok
larger,cpcv_08_11,24.623646499821916,ok
larger,cpcv_09_10,25.08553475001827,ok
larger,cpcv_09_11,24.761955083115026,ok
larger,cpcv_10_11,25.08435208303854,ok
larger+VIX,kfold_00,28.390994749963284,ok
larger+VIX,kfold_01,28.297979749972,ok
larger+VIX,kfold_02,28.253613624954596,ok
larger+VIX,kfold_03,28.4625319999177,ok
larger+VIX,kfold_04,28.23952908301726,ok
larger+VIX,kfold_05,28.34361841599457,ok
larger+VIX,kfold_06,28.217215791111812,ok
larger+VIX,kfold_07,28.189365500118583,ok
larger+VIX,kfold_08,28.144112624926493,ok
larger+VIX,kfold_09,28.046544207958505,ok
larger+VIX,kfold_10,28.25626170798205,ok
larger+VIX,kfold_11,30.06507849995978,ok
