Universe Family,Basis,Strategy,Realized Value,Path P05 Sharpe,Path P25 Sharpe,Path P50 Sharpe,Path P75 Sharpe,Path P95 Sharpe,Path P50 Max Drawdown,P Sharpe Less Than 0,P Max Drawdown Less Than -0.5,P Default
resampled,gross,larger+VIX E1 capped,2.0096858991318056,1.48061604497223,1.771977952859395,2.020798141440153,2.262667719546923,2.6822992623341064,-0.34951964180390693,0.0,0.036,0.0
resampled,gross,larger+VIX Equal premium capped,0.30906987173565,-0.22564801508831459,0.09959281002183375,0.31056340984957476,0.5032241111568017,0.7540299035877861,-0.9522604275423832,0.158,1.0,0.0
resampled,gross,larger+VIX Equal risk capped,0.5417982956679774,-0.003314552238138155,0.3250266666476888,0.538108428878016,0.7458265226195903,1.02442669795656,-0.8726084066707467,0.051,0.998,0.0
resampled,gross,larger+VIX GM paper,0.7403562851820253,0.12194990312787761,0.5022045814788546,0.7812103325595936,1.033600791939414,1.4219828889553412,-0.5911636840923069,0.026,0.711,0.0
resampled,gross,orig E1 capped,0.9745724766412075,0.3785608637965825,0.7322013408282827,0.974650670472733,1.2367214268501865,1.6327437179872968,-0.5737569343450862,0.008,0.674,0.0
resampled,gross,orig Equal premium capped,0.529832586379347,0.04514417235857388,0.3332474993137742,0.5181056122674157,0.7480965002207642,1.029421017394055,-0.8461550188430056,0.035,0.998,0.0
resampled,gross,orig Equal risk capped,0.5502969397744109,0.05704547859099706,0.3509539742335986,0.5425442177289781,0.7688225261072125,1.0666579312660496,-0.8196512300288741,0.031,0.996,0.0
resampled,gross,orig GM paper,0.8310207544837265,0.06787350723272595,0.5168255731193957,0.8533645681941691,1.189122619909875,1.6432532505190571,-0.8423730196568142,0.039,0.984,0.0
resampled,gross,orig+VIX E1 capped,1.674837279228858,1.1598300109430324,1.4384775027832517,1.6679899162432648,1.9294720708673365,2.3190627187121593,-0.41901228136324364,0.0,0.245,0.0
resampled,gross,orig+VIX Equal premium capped,-0.638498849214457,-1.2844840052525799,-0.8875284587075439,-0.6582921708414369,-0.44212817272255217,-0.15490238397979605,-0.9999683278888358,0.994,1.0,0.0
resampled,gross,orig+VIX Equal risk capped,-0.7371639059990819,-1.3704693148717912,-0.9826240994645503,-0.7520645822522557,-0.5361695160849479,-0.23701681216625148,-0.9999619950569383,0.996,1.0,0.0
resampled,gross,orig+VIX GM paper,1.3579244340264818,0.6305431301873012,1.0505956544638144,1.3730481555642957,1.7029794724469325,2.225032602752144,-0.6104080356541738,0.002,0.803,0.0
