method,basis,path_id,strategy,sharpe,sortino,max_drawdown,ann_return,terminal_wealth,defaulted,weight_coverage
joint_garch_block,gross,14,orig E1 capped,-1.5787269747267452,-1.7971362385505765,-0.9999803492986501,-0.875621622128763,2.9766271761132216e-05,False,1.0
joint_garch_block,gross,15,orig E1 capped,-3.6642850458601597,-2.6412982827600846,-0.9999999129240891,-0.9579226013371784,1.3189988399110294e-07,False,1.0
joint_garch_block,gross,16,orig E1 capped,1.699463191445862,9.305871494730376,-0.8572334588080517,8.48080314671998,76599.44911423292,False,1.0
joint_garch_block,gross,17,orig E1 capped,0.5218263411709907,1.0612867270637403,-0.9922468692777549,0.002968289425045123,1.0149298164630365,False,1.0
joint_garch_block,gross,18,orig E1 capped,-2.662577990146654,-2.337084387372326,-0.9999975789610702,-0.9181780864546799,3.6673145372050617e-06,False,1.0
joint_garch_block,gross,19,orig E1 capped,0.41286391596788247,3.3306448049072834,-1.0,-1.0,0.0,True,1.0
joint_garch_block,gross,0,orig GM paper,0.6430132726747954,1.3721612606045197,-0.8865783967549482,0.10665362134243384,1.6598106527200738,False,1.0
joint_garch_block,gross,1,orig GM paper,-0.6174659665917337,-0.8867399631789883,-0.9939346449572174,-0.5834961658024744,0.012534153779002723,False,1.0
joint_garch_block,gross,2,orig GM paper,-0.7003789108468786,-0.7035088133521328,-1.0,-1.0,0.0,True,1.0
joint_garch_block,gross,3,orig GM paper,0.04912489567617032,0.08752603242444691,-0.8690948541739002,-0.3647164754516402,0.10347560216539937,False,1.0
joint_garch_block,gross,4,orig GM paper,-1.3739802455466084,-1.5335425064697756,-0.9998808416529799,-0.7702411033566036,0.0006402678351468062,False,1.0
joint_garch_block,gross,5,orig GM paper,0.0490497474004609,0.06421300084523465,-1.0,-1.0,0.0,True,1.0
joint_garch_block,gross,6,orig GM paper,-1.001297735347089,-0.9711258813990731,-1.0,-1.0,0.0,True,1.0
joint_garch_block,gross,7,orig GM paper,-0.42743695968463896,-0.6014606389064723,-0.9983559982118538,-0.6872122629211064,0.0029939779014497995,False,1.0
joint_garch_block,gross,8,orig GM paper,-1.7138104892140833,-1.7591542403301468,-0.9999186191280298,-0.798032550543999,0.0003360523255364548,False,1.0
joint_garch_block,gross,9,orig GM paper,-0.2991184449161755,-0.4735427845009203,-0.9998836577331701,-0.6146071938763977,0.008501939662924179,False,1.0
joint_garch_block,gross,10,orig GM paper,0.5707047528879012,0.94185558215653,-0.9600859298236344,-0.13822152117065378,0.47531138977624554,False,1.0
joint_garch_block,gross,11,orig GM paper,-2.65841980260384,-2.4119833872954017,-0.9999998849142964,-0.9450850527937298,4.994049608405628e-07,False,1.0
joint_garch_block,gross,12,orig GM paper,-0.9696991479756206,-1.1856786882790316,-0.9999277242128015,-0.8538138756160539,6.676221887526106e-05,False,1.0
joint_garch_block,gross,13,orig GM paper,-2.528700775417315,-2.335217756059915,-0.9999880913448634,-0.8899533785854683,1.613925814880583e-05,False,1.0
joint_garch_block,gross,14,orig GM paper,-1.727285889668793,-1.8666264751963648,-0.9999600820638714,-0.858597219982907,5.653139981347214e-05,False,1.0
joint_garch_block,gross,15,orig GM paper,-3.366520962506951,-2.5255187031514095,-0.9999997336813585,-0.9480835909663126,3.7715791586521036e-07,False,1.0
joint_garch_block,gross,16,orig GM paper,0.9503010734855221,2.0367590913111693,-1.0,-1.0,0.0,True,1.0
joint_garch_block,gross,17,orig GM paper,-0.19239725963161391,-0.29353309845072,-0.9938922234468809,-0.4869240520651984,0.03555562204313019,False,1.0
joint_garch_block,gross,18,orig GM paper,-1.7150495435197077,-1.868746841486511,-0.9999478967428344,-0.8508589120638458,7.378813506116633e-05,False,1.0
joint_garch_block,gross,19,orig GM paper,-0.13568952624616704,-0.16500733419959043,-1.0,-1.0,0.0,True,1.0
