config,Section,Item,Value,Notes,Cost overlay
orig,State Dimension,iv:META,mu=-0.00157152; omega=0.0244162; alpha=0.205676; beta=0.547104,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:MSFT,mu=0.00613006; omega=0.0939383; alpha=0.221406; beta=1.84521e-17,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:NVDA,mu=0.000877734; omega=0.0172009; alpha=0.162236; beta=0.739677,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:TSLA,mu=-0.00981235; omega=0.0226323; alpha=0.187789; beta=0.505187,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,vix:VIX,mu=0.00114242; omega=0.0338075; alpha=0.49259; beta=0.0963354,n_obs=68; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Simulation Method,joint_garch_block,joint block rows preserve empirical cross-dependence; gaussian_copula is rank-mapped sensitivity,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Strike Rule,K_t = entry state_t * exp(train median log moneyness),"Static moneyness, repriced each month","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Original Tenor Reference,train median tenor_days / 365,Stored as tenor_years for audit only,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Pricing Tenor Rule,0.08333333333333333,Synthetic contracts are one-step (1-month) options so premium and payoff horizons match; realized-kernel tenors average ~0.6 months,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Skew Freeze,contract median IV / underlying ATM median IV,49 contracts,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Rate,0.02,Continuously-compounded annual rate used in BS and Black-76,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,IV Floors Caps,0.05 to 2.0,Applied to ATM and skew-adjusted contract IV,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,VIX Level Caps,5.0 to 150.0,Applied during state reconstruction,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Min Mark Rule,0.25,"Entry denominator uses max(model premium, min_mark) in dollars","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Spot Anchor,contract train-end spot,State spot paths are relative to 1.0 and scaled by anchor_spot at repricing,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,VIX Forward Convention,simulated spot:VX_FRONT entry forward; VIX level settlement proxy at t+1,"Premium uses the VX-front state, payoff uses simulated VIX level","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Seed,20260625,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Path Count,20,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Horizon Months,60,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Block Length,6,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Min GARCH Obs,60,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
