config,fold_id,scheme,strategy,display_strategy,basis,status,solver_status,mode,capacity_infeasible,sum_of_caps,deployed_gross,sharpe,sortino,ann_return,ann_vol,max_drawdown,terminal_wealth,defaulted
orig,cpcv_01,cpcv,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.7137532461325271,-1.8203641975832199,-1.67034936540949,-1.0,1.9639683432049675,-1.0,0.0,True
orig,cpcv_01,cpcv,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.8482452500000001,0.8058329874999999,0.916803334586616,2.602420471634419,0.60076982862287,1.991854435461787,-0.9350013517969402,5.3973244155704,False
orig,cpcv_01,cpcv,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.8482452500000001,0.8058329874999999,0.7250470155909599,1.8561858028368317,0.08663863522533033,1.9557823306150888,-0.9661949628865895,1.3468061565709206,False
orig,cpcv_01,cpcv,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.8482452500000001,0.8058329874999999,0.916803334586616,2.6024204716344195,0.6007698286228704,1.991854435461787,-0.9350013517969402,5.397324415570404,False
orig,cpcv_01,cpcv,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.8482452500000001,0.8058329874999999,0.7250470155909601,1.8561858028368323,0.08663863522533055,1.9557823306150888,-0.9661949628865895,1.3468061565709217,False
orig,cpcv_02,cpcv,orig E1 capped,E1 capped,gross,ok,optimal,hard,True,0.59441245,0.5320147811365408,1.152897046866146,3.219763412690653,1.179688679191889,1.1155094051929844,-0.6819007463840315,16.314740827202563,False
orig,cpcv_02,cpcv,orig E1 capped,E1 capped,full_cost_net,ok,optimal,hard,True,0.59441245,0.5320147811365408,1.0177891612998682,2.6634027290539124,0.8780392396432894,1.1085841325106822,-0.706496864554039,9.566983817711142,False
orig,cpcv_02,cpcv,orig GM paper,GM paper,gross,ok,optimal,uncapped,False,,0.9999991603037345,0.7586498300538025,1.2189430906534422,0.1676103626180634,1.0598080298765766,-0.8663837918238005,1.7424124046316785,False
orig,cpcv_02,cpcv,orig GM paper,GM paper,full_cost_net,ok,optimal,uncapped,False,,0.9999991603037345,-1.5100068919370928,-1.4643720544537884,-1.0,1.8500908202871045,-1.0,0.0,True
orig,cpcv_02,cpcv,orig Equal premium capped,Equal premium capped,gross,ok,reference,relaxed,True,0.59441245,0.5646918274999999,1.0593356222171912,2.6054497739041125,0.9401138347298206,1.1386899238524206,-0.7330403697230812,10.749316370334084,False
orig,cpcv_02,cpcv,orig Equal premium capped,Equal premium capped,full_cost_net,ok,reference,relaxed,True,0.59441245,0.5646918274999999,0.9189813568667828,2.134241219267523,0.6550183148982669,1.1330820863034026,-0.7669805497836231,6.081957507908711,False
orig,cpcv_02,cpcv,orig Equal risk capped,Equal risk capped,gross,ok,reference,relaxed,True,0.59441245,0.5646918274999999,1.065101025540513,2.610794126181827,0.9449852025379404,1.1281703213257719,-0.7274422818323163,10.846344989561102,False
orig,cpcv_02,cpcv,orig Equal risk capped,Equal risk capped,full_cost_net,ok,reference,relaxed,True,0.59441245,0.5646918274999999,0.9245403342484965,2.1410977415830423,0.661343001650083,1.1227680522250298,-0.7617978976391305,6.165654446586351,False
