fold_id,scheme,strategy,basis,is_sharpe,oos_sharpe,status
cpcv_01_04,cpcv,Beta/delta-neutral + VIX,gross,1.4743043135679417,-1.4116202587934004,ok
cpcv_01_04,cpcv,Equal premium,gross,0.11755548287610759,0.34906942668709584,ok
cpcv_01_04,cpcv,Equal risk,gross,0.3816272692506675,0.39608154275526536,ok
cpcv_01_04,cpcv,VIX hedge sleeve,gross,-0.34838013446965455,-0.8587786538274597,ok
cpcv_01_05,cpcv,Equity-option Greek Markowitz,gross,1.5615758996643503,1.681271117245044,ok
cpcv_01_05,cpcv,Greek Markowitz + VIX,gross,1.5946130715399205,0.44747384740570934,ok
cpcv_01_05,cpcv,Beta/delta-neutral + VIX,gross,1.7581336068916027,0.19277826777550125,ok
cpcv_01_05,cpcv,Equal premium,gross,-0.024574232392453342,1.3210799753325768,ok
cpcv_01_05,cpcv,Equal risk,gross,0.18181267448065974,1.6210616971807341,ok
cpcv_01_05,cpcv,VIX hedge sleeve,gross,-2.366065594565133,0.4673220615603131,ok
cpcv_01_06,cpcv,Equity-option Greek Markowitz,gross,1.7248384634474558,0.41289458277739494,ok
cpcv_01_06,cpcv,Greek Markowitz + VIX,gross,1.5880376693915628,-0.5042392564554915,ok
cpcv_01_06,cpcv,Beta/delta-neutral + VIX,gross,1.4953491115932425,-0.5288320260249533,ok
cpcv_01_06,cpcv,Equal premium,gross,0.31807860537248667,-0.23318075669365207,ok
cpcv_01_06,cpcv,Equal risk,gross,0.6377601408539905,-0.5228977096110357,ok
cpcv_01_06,cpcv,VIX hedge sleeve,gross,-0.3011476942216749,-1.9994889508934455,ok
cpcv_01_07,cpcv,Equity-option Greek Markowitz,gross,2.01744117447747,-0.16213476161639714,ok
cpcv_01_07,cpcv,Greek Markowitz + VIX,gross,1.7812442713521595,-1.0215855382246486,ok
cpcv_01_07,cpcv,Beta/delta-neutral + VIX,gross,1.4836400755169854,-0.3966757564015096,ok
cpcv_01_07,cpcv,Equal premium,gross,0.29678986774507365,0.17730696478009828,ok
cpcv_01_07,cpcv,Equal risk,gross,0.6229131355740319,0.0374034388300594,ok
cpcv_01_07,cpcv,VIX hedge sleeve,gross,-0.3179585994046186,-1.7835124623402805,ok
cpcv_01_08,cpcv,Equity-option Greek Markowitz,gross,1.6647931969223455,0.828673676778314,ok
cpcv_01_08,cpcv,Greek Markowitz + VIX,gross,1.5305781066240112,-0.38503137332486004,ok
cpcv_01_08,cpcv,Beta/delta-neutral + VIX,gross,1.3833696669537876,0.044144707970571115,ok
cpcv_01_08,cpcv,Equal premium,gross,0.20659003641926413,0.6364998022179623,ok
cpcv_01_08,cpcv,Equal risk,gross,0.4424502833655716,0.756485946245604,ok
cpcv_01_08,cpcv,VIX hedge sleeve,gross,-0.28565942457430127,-2.3818195426824995,ok
cpcv_01_09,cpcv,Equity-option Greek Markowitz,gross,1.56735087117495,1.0933406308556362,ok
