return_date,strategy,scenario,asset_id,reject_reason,foregone_gross_return_nav
2023-08-31,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,capacity_exceeded_no_fill,0.07152012567355394
2023-08-31,Equity-option Greek Markowitz,mid_repaired,TSLA_put_put_wing,capacity_exceeded_no_fill,-0.38114222294635014
2023-09-29,Equity-option Greek Markowitz,mid_repaired,AAPL_put_call_near,missing_cost_input,0.0
2023-09-29,Equity-option Greek Markowitz,mid_repaired,AMZN_put_put_wing,missing_cost_input,0.0
2023-09-29,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,deep_itm_low_extrinsic_short_option,-0.0003538330630992978
2023-09-29,Equity-option Greek Markowitz,mid_repaired,JPM_call_atm,capacity_exceeded_no_fill,-0.008881826750127296
2023-09-29,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,0.01964652463270578
2023-09-29,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.0696959661652781
2023-09-29,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_exceeded_no_fill,-0.038662511418043756
2023-09-29,Equity-option Greek Markowitz,mid_repaired,META_put_put_near,capacity_exceeded_no_fill,0.03317300546239375
2023-10-31,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,capacity_exceeded_no_fill,-0.012777848984210093
2023-10-31,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,-0.05826894877195389
2023-10-31,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2023-10-31,Equity-option Greek Markowitz,mid_repaired,MSFT_call_call_near,capacity_exceeded_no_fill,0.016681681565462295
2023-11-30,Equity-option Greek Markowitz,mid_repaired,AMZN_put_put_near,missing_cost_input,0.0
2023-11-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,deep_itm_low_extrinsic_short_option,-0.03281739119015445
2023-11-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,missing_cost_input,0.0
2023-11-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.0696959661652781
2023-11-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_put_near,missing_cost_input,0.0
2023-11-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2023-11-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_put_near,capacity_exceeded_no_fill,0.0887455515965745
2023-11-30,Equity-option Greek Markowitz,mid_repaired,NVDA_call_put_wing,missing_cost_input,0.0
2023-12-29,Equity-option Greek Markowitz,mid_repaired,AAPL_call_call_near,missing_cost_input,0.0
2023-12-29,Equity-option Greek Markowitz,mid_repaired,AMZN_put_put_wing,missing_cost_input,0.0
2023-12-29,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,capacity_exceeded_no_fill,0.00018884977210283555
2023-12-29,Equity-option Greek Markowitz,mid_repaired,JPM_call_call_near,missing_cost_input,0.0
2023-12-29,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,missing_cost_input,0.0
2023-12-29,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.0696959661652781
2023-12-29,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2023-12-29,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_exceeded_no_fill,-0.03380388170416035
2023-12-29,Equity-option Greek Markowitz,mid_repaired,TSLA_put_call_near,missing_cost_input,0.0
2024-01-31,Equity-option Greek Markowitz,mid_repaired,AMZN_put_put_wing,missing_cost_input,0.0
2024-01-31,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,deep_itm_low_extrinsic_short_option,-0.015757352613021747
2024-01-31,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,-0.014197780417199733
2024-01-31,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,deep_itm_low_extrinsic_short_option,-0.049100315559922274
2024-01-31,Equity-option Greek Markowitz,mid_repaired,MSFT_call_put_near,capacity_exceeded_no_fill,0.05440705330512179
2024-01-31,Equity-option Greek Markowitz,mid_repaired,TSLA_put_put_wing,capacity_exceeded_no_fill,0.024755053224238804
2024-02-29,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,0.016731523098841804
2024-02-29,Equity-option Greek Markowitz,mid_repaired,JPM_put_put_near,capacity_exceeded_no_fill,-0.003910904987481247
2024-02-29,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,deep_itm_low_extrinsic_short_option,-0.11269480981992624
2024-02-29,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_exceeded_no_fill,-0.06588883865708997
2024-02-29,Equity-option Greek Markowitz,mid_repaired,TSLA_put_call_near,deep_itm_low_extrinsic_short_option,0.004779151509885374
2024-04-30,Equity-option Greek Markowitz,mid_repaired,AMZN_put_put_wing,missing_cost_input,0.0
2024-04-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,missing_cost_input,0.0
2024-04-30,Equity-option Greek Markowitz,mid_repaired,GOOGL_put_put_near,missing_cost_input,0.0
2024-04-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_call_near,capacity_exceeded_no_fill,0.0011726104265719476
2024-04-30,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,0.05201707172740743
2024-04-30,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.0696959661652781
2024-04-30,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2024-04-30,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,capacity_exceeded_no_fill,0.007540401095537375
2024-04-30,Equity-option Greek Markowitz,mid_repaired,META_put_put_near,capacity_exceeded_no_fill,0.03317300546239375
2024-04-30,Equity-option Greek Markowitz,mid_repaired,MSFT_call_call_near,capacity_exceeded_no_fill,0.016681681565462295
2024-05-31,Equity-option Greek Markowitz,mid_repaired,AAPL_put_call_near,missing_cost_input,0.0
2024-05-31,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.0696959661652781
2024-05-31,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2024-06-28,Equity-option Greek Markowitz,mid_repaired,AAPL_put_call_near,missing_cost_input,0.0
2024-06-28,Equity-option Greek Markowitz,mid_repaired,AMZN_put_put_wing,missing_cost_input,0.0
2024-06-28,Equity-option Greek Markowitz,mid_repaired,GOOGL_call_put_near,deep_itm_low_extrinsic_short_option,-0.016665421480108165
2024-06-28,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,missing_cost_input,0.0
2024-06-28,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.020498938692851937
2024-06-28,Equity-option Greek Markowitz,mid_repaired,META_call_put_wing,missing_cost_input,0.0
2024-06-28,Equity-option Greek Markowitz,mid_repaired,META_put_call_near,missing_cost_input,0.0
2024-07-31,Equity-option Greek Markowitz,mid_repaired,AMZN_put_put_wing,missing_cost_input,0.0
2024-07-31,Equity-option Greek Markowitz,mid_repaired,JPM_call_put_near,capacity_exceeded_no_fill,0.07958337977981329
2024-07-31,Equity-option Greek Markowitz,mid_repaired,JPM_put_atm,capacity_exceeded_no_fill,-0.0696959661652781
