fold_id,scheme,strategy,basis,sharpe,sortino,max_drawdown,ann_return,ann_vol,defaulted,n_test_months,status
cpcv_00_08,cpcv,Greek Markowitz + VIX,full_spread_post_cost,-0.021904965328680415,-0.028367313875430903,-0.5951250753630231,-0.17940718506002584,0.5876492068754398,False,22,ok
cpcv_00_08,cpcv,Beta/delta-neutral + VIX,full_spread_post_cost,0.31749548375714365,0.4640735191298594,-0.44622139379367665,0.03198769225250664,0.5148172805851725,False,22,ok
cpcv_00_08,cpcv,Equal premium,full_spread_post_cost,-0.2906059362996068,-0.41122060186268894,-0.4583347144258979,-0.1822223384466355,0.4105348058128962,False,22,ok
cpcv_00_08,cpcv,Equal risk,full_spread_post_cost,-0.3341449059093593,-0.4648238291854408,-0.546543651935742,-0.23963719481959667,0.4787918572526116,False,22,ok
cpcv_00_08,cpcv,VIX hedge sleeve,full_spread_post_cost,-2.340814052344721,-1.9705085653116297,-0.9958557672757093,-0.9778213342873695,0.9974750546480645,False,22,ok
cpcv_00_09,cpcv,Equity-option Greek Markowitz,gross,1.189708676895625,3.1928579230787806,-0.36347043633055276,0.9795824095926702,0.8143507324147944,False,21,ok
cpcv_00_09,cpcv,Greek Markowitz + VIX,gross,1.059585327044492,2.0619708987805034,-0.5370365966674786,0.6634821472898391,0.7109974112550038,False,21,ok
cpcv_00_09,cpcv,Beta/delta-neutral + VIX,gross,0.8051273046143046,1.5628158564735635,-0.45634881455341425,0.4124685855979575,0.7411376702328987,False,21,ok
cpcv_00_09,cpcv,Equal premium,gross,0.2535533072761958,0.48670245335362033,-0.9272165888692623,-0.5632246578320885,1.7785107016495751,False,21,ok
cpcv_00_09,cpcv,Equal risk,gross,0.6669588812209436,1.3615859154428414,-0.7626432873532796,0.18170404329789114,1.2959046786753767,False,21,ok
cpcv_00_09,cpcv,VIX hedge sleeve,gross,-9.258161628997044,-3.253955239408442,-1.0,-1.0,1.0730531991130938,True,21,ok
cpcv_00_09,cpcv,Equity-option Greek Markowitz,full_spread_post_cost,1.1886032940839164,4.671326980548691,-0.2805828315154535,0.8398727626669353,0.673275501414035,False,21,ok
cpcv_00_09,cpcv,Greek Markowitz + VIX,full_spread_post_cost,-0.24925722583794768,-0.32901125943413256,-0.5520292580226552,-0.2831144288829145,0.5950275546488675,False,21,ok
cpcv_00_09,cpcv,Beta/delta-neutral + VIX,full_spread_post_cost,-0.17638127766478134,-0.23379848581027143,-0.433920766378051,-0.23284568496880942,0.5649564136231926,False,21,ok
cpcv_00_09,cpcv,Equal premium,full_spread_post_cost,0.505062656900078,1.1252317389026727,-0.5815928381622644,0.16526193444661663,0.7136551743148688,False,21,ok
cpcv_00_09,cpcv,Equal risk,full_spread_post_cost,0.3547016258386944,0.7392757785800299,-0.5172252066384859,0.05951454635588194,0.6249786946355331,False,21,ok
cpcv_00_09,cpcv,VIX hedge sleeve,full_spread_post_cost,-1.8682322427027584,-1.6755354510289964,-0.9841226629034504,-0.9601430666481106,0.99088432453981,False,21,ok
cpcv_00_10,cpcv,Equity-option Greek Markowitz,gross,0.5408452251032819,1.4839423210221845,-0.36572180867369086,0.20836009842020453,0.6901005976682955,False,21,ok
cpcv_00_10,cpcv,Greek Markowitz + VIX,gross,0.4264869591485167,0.8080109680974991,-0.5442038649457304,0.09466646182550265,0.6753215007482685,False,21,ok
cpcv_00_10,cpcv,Beta/delta-neutral + VIX,gross,0.3323611589800496,0.6081257914310337,-0.5006961287295535,0.009181198271741797,0.7350321343759632,False,21,ok
cpcv_00_10,cpcv,Equal premium,gross,-0.12634906308269195,-0.21777568765409017,-0.9420451137008689,-0.7596463663876346,1.6567875915902337,False,21,ok
