Strategy,Return basis,path_id,method,n_source_obs,status,n_obs,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,var_95,cvar_95,terminal_wealth,block_length
Equal risk,Full-spread post-cost,290,circular_block_bootstrap,60,ok,60,-0.3858857005610852,1.393872586207354,0.23478681831164738,0.44910471784076955,-0.9757314803460237,0.4163920151088599,0.4847517045776521,0.0873466090333976,6
Equal risk,Full-spread post-cost,291,circular_block_bootstrap,60,ok,60,-0.861572920571066,1.1704937483065767,-1.0219354505528784,-1.3426008420239701,-0.9999031974113691,0.48682622168112,0.5072111275845035,5.082826443348456e-05,6
Equal risk,Full-spread post-cost,292,circular_block_bootstrap,60,ok,60,-0.5204294825133224,1.1476250118163487,-0.12917662920378833,-0.21890868253484394,-0.9782092208627673,0.37703310616484664,0.43277694983605786,0.025366607018013177,6
Equal risk,Full-spread post-cost,293,circular_block_bootstrap,60,ok,60,0.25231897534842007,1.284306625012026,0.7166460897861678,1.5162513127508732,-0.752507277432832,0.36276062789668584,0.45489825838904974,3.0801708442420046,6
Equal risk,Full-spread post-cost,294,circular_block_bootstrap,60,ok,60,-0.7523657128772004,1.1528888729605429,-0.5994163581704216,-0.8447575384954594,-0.9986727219352814,0.4879911475669494,0.5285672374256215,0.0009312234028277981,6
Equal risk,Full-spread post-cost,295,circular_block_bootstrap,60,ok,60,-0.6267341953032155,1.3510131207105212,-0.11754872107501799,-0.1989765507806612,-0.9980536868568324,0.48682622168112,0.4995667878707346,0.007245878170528655,6
Equal risk,Full-spread post-cost,296,circular_block_bootstrap,60,ok,60,-0.4079845157291184,1.2528950995145616,0.10741382696225386,0.20014967167884667,-0.9706101540093618,0.41423874471174055,0.45635711262557715,0.07272191883173122,6
Equal risk,Full-spread post-cost,297,circular_block_bootstrap,60,ok,60,-0.322893014410515,1.2934724724690865,0.25172991945489315,0.47480166333414514,-0.9425363111956294,0.400267796592254,0.4749110149019882,0.14232673012004948,6
Equal risk,Full-spread post-cost,298,circular_block_bootstrap,60,ok,60,-0.7309110499224544,1.172209207546244,-0.5591437831779662,-0.8515942879829483,-0.9983078991559996,0.39811452619513454,0.46977712793514925,0.0014108450568348365,6
Equal risk,Full-spread post-cost,299,circular_block_bootstrap,60,ok,60,-0.6486823016051597,1.162000029352187,-0.36351362466178616,-0.5854710693115697,-0.9979710781236272,0.3972658831153132,0.4366397493454864,0.005351803316800695,6
Equal risk,Full-spread post-cost,300,circular_block_bootstrap,60,ok,60,-0.6231002649269477,1.3368655487524086,-0.10337924958386258,-0.17006651009363916,-0.9950404567003599,0.4893743349190429,0.5377884864395786,0.0076055243461097604,6
Equal risk,Full-spread post-cost,301,circular_block_bootstrap,60,ok,60,-0.48680206171297846,1.266284911157975,0.019292637329085417,0.03433254791239114,-0.981962643001493,0.39811452619513454,0.4429490166733326,0.03559791116162352,6
Equal risk,Full-spread post-cost,302,circular_block_bootstrap,60,ok,60,-0.2461391903267729,1.3991771008819167,0.3405644049811523,0.7286232021106869,-0.9103763560146837,0.377881749244668,0.4462007429403962,0.24347581765889204,6
Equal risk,Full-spread post-cost,303,circular_block_bootstrap,60,ok,60,-0.47976788074048593,1.3761083300063377,0.11115983732121754,0.20367917060368854,-0.9890404258678442,0.4178681185602095,0.5115798158394687,0.038105337337090865,6
Equal risk,Full-spread post-cost,304,circular_block_bootstrap,60,ok,60,-0.3807086037729658,1.2145882538496817,0.1502025532601192,0.2609916442601085,-0.9821367216254125,0.377881749244668,0.47961781761081307,0.09109095015196392,6
Equal risk,Full-spread post-cost,305,circular_block_bootstrap,60,ok,60,-0.5505804099965554,1.359711502862167,-0.01726892256386889,-0.03210690282858801,-0.9821605049581188,0.39811452619513454,0.47816274116905183,0.01833411689524881,6
Equal risk,Full-spread post-cost,306,circular_block_bootstrap,60,ok,60,-0.7732915912039755,1.0959190199303475,-0.7379182621267112,-0.9768633968562823,-0.9995614563473604,0.4893743349190429,0.5377884864395786,0.0005988777026404708,6
Equal risk,Full-spread post-cost,307,circular_block_bootstrap,60,ok,60,-0.9033865270290237,1.0384396821284612,-1.5331509100225198,-1.722578697159261,-0.9999873791497811,0.4879911475669494,0.5285672374256215,8.417603596624735e-06,6
Equal risk,Full-spread post-cost,308,circular_block_bootstrap,60,ok,60,-0.7722045682106622,1.2087857604424816,-0.6032408366967223,-0.8803422632092761,-0.999811770740726,0.48682622168112,0.5123073540603493,0.0006133735614476942,6
Equal risk,Full-spread post-cost,309,circular_block_bootstrap,60,ok,60,-0.3570729204204556,1.332404063025893,0.23473769118624468,0.44574412801061386,-0.9744802513958747,0.4029088259294329,0.5193459884116645,0.10985215763506564,6
Equal risk,Full-spread post-cost,310,circular_block_bootstrap,60,ok,60,-0.5719674416075854,1.1726892506880893,-0.19701883430071498,-0.33493493144742004,-0.9950570404093982,0.3657625413736266,0.4749110149019882,0.01436759326212995,6
Equal risk,Full-spread post-cost,311,circular_block_bootstrap,60,ok,60,-0.5090404215551969,1.3313810845555374,0.033757573200146496,0.06185390489581484,-0.9700571093788446,0.39811452619513454,0.470396568596856,0.028525199263599588,6
Equal risk,Full-spread post-cost,312,circular_block_bootstrap,60,ok,60,-0.4713374015351083,1.33117644471851,0.10246840174884979,0.18426329776192613,-0.9848824364482871,0.4879911475669494,0.5193459884116645,0.04129456839670277,6
Equal risk,Full-spread post-cost,313,circular_block_bootstrap,60,ok,60,-0.3371742187399842,1.3966986456908408,0.3240740693451037,0.5952456015462382,-0.9165724505080839,0.4879911475669494,0.5193459884116645,0.1279372354392167,6
Equal risk,Full-spread post-cost,314,circular_block_bootstrap,60,ok,60,-0.5199374579910303,1.159340843053538,-0.06049820821383594,-0.09448314034237323,-0.9964443053124873,0.48682622168112,0.5123073540603493,0.025497001076427328,6
Equal risk,Full-spread post-cost,315,circular_block_bootstrap,60,ok,60,-0.7137669311794178,1.1850842375389585,-0.48655652256506726,-0.7398282927942089,-0.9992114797055299,0.4163920151088599,0.4749110149019882,0.0019213170387141194,6
Equal risk,Full-spread post-cost,316,circular_block_bootstrap,60,ok,60,-0.6270241963150043,1.2579450322089747,-0.1670600556022641,-0.2615538460895404,-0.9964187348623331,0.48682622168112,0.5123073540603493,0.007217774211233846,6
Equal risk,Full-spread post-cost,317,circular_block_bootstrap,60,ok,60,-0.7659272645753803,1.1840884850238953,-0.609071149514116,-0.8642076547841053,-0.9993957845945427,0.48682622168112,0.5123073540603493,0.000702674433349241,6
Equal risk,Full-spread post-cost,318,circular_block_bootstrap,60,ok,60,-0.06557579678367165,1.2203472495806282,0.4982043605745641,0.9066676241961037,-0.9465237830035347,0.4017439000436035,0.5115798158394687,0.712394232021272,6
Equal risk,Full-spread post-cost,319,circular_block_bootstrap,60,ok,60,-0.07410427871357372,1.2005343947472953,0.4629349583854431,0.8738512422350355,-0.7646075829356487,0.400267796592254,0.4925178771498479,0.6804721977171834,6
Equal risk,Full-spread post-cost,320,circular_block_bootstrap,60,ok,60,-0.6916034275877141,1.3453107141286056,-0.24759117724210108,-0.40283504242039375,-0.9993645835189453,0.45878025610547823,0.5038136432672728,0.0027896371168261475,6
Equal risk,Full-spread post-cost,321,circular_block_bootstrap,60,ok,60,-0.09675888108252206,1.1778300172016651,0.4199424840375438,0.8113854870122527,-0.9425080043572053,0.37596822316745365,0.42174770397244976,0.6011993472601604,6
Equal risk,Full-spread post-cost,322,circular_block_bootstrap,60,ok,60,-0.5455028910916113,1.2669742686632535,-0.03964422345639782,-0.06610570177961923,-0.9950495326799367,0.45730415265412866,0.4784323873515602,0.019393474565230724,6
Equal risk,Full-spread post-cost,323,circular_block_bootstrap,60,ok,60,-0.7171903113626368,1.2437903927325142,-0.39518587137531075,-0.5979758029051244,-0.9960859113399201,0.4879911475669494,0.5285672374256215,0.0018091368437852325,6
Equal risk,Full-spread post-cost,324,circular_block_bootstrap,60,ok,60,-0.5447008467144471,1.272878208394407,-0.07247915860297627,-0.13023492927471547,-0.9939782532042611,0.37596822316745365,0.3908602685404903,0.019565196466466945,6
Equal risk,Full-spread post-cost,325,circular_block_bootstrap,60,ok,60,-0.3752362470935181,1.2863503570470254,0.2013922811813198,0.3594269986888413,-0.981112775104876,0.4599451819913076,0.5193459884116645,0.09518732562224569,6
Equal risk,Full-spread post-cost,326,circular_block_bootstrap,60,ok,60,-0.5708269045220817,1.0872303946400486,-0.24098755277500306,-0.3625056719363236,-0.9873692013508605,0.45730415265412866,0.48371444602591807,0.014560035801085001,6
Equal risk,Full-spread post-cost,327,circular_block_bootstrap,60,ok,60,-0.5645144244288283,1.331221397093343,-0.031769383094233196,-0.054911259693882275,-0.9954262892075588,0.48682622168112,0.5123073540603493,0.01566278090774216,6
Equal risk,Full-spread post-cost,328,circular_block_bootstrap,60,ok,60,-0.8484897961998481,1.423358893590009,-0.5921866574952817,-0.8719388408227956,-0.9999640535585796,0.5377884864395786,0.5377884864395786,7.983795640461376e-05,6
Equal risk,Full-spread post-cost,329,circular_block_bootstrap,60,ok,60,-0.4119404581603415,1.3182375832531992,0.15749707388645376,0.2940730685173492,-0.9320491302687156,0.4163920151088599,0.4749110149019882,0.07032447620137569,6
Equal risk,Full-spread post-cost,330,circular_block_bootstrap,60,ok,60,-0.6933365096790156,1.0943263446817784,-0.5065685490866617,-0.7185335412476425,-0.9993959141941898,0.48682622168112,0.5053914172998815,0.0027121291820237942,6
Equal risk,Full-spread post-cost,331,circular_block_bootstrap,60,ok,60,-0.62517218060854,1.2029119615779067,-0.2828668788273545,-0.47529960738056254,-0.9958038224948518,0.3972658831153132,0.42876497609945174,0.0073987624169570675,6
Equal risk,Full-spread post-cost,332,circular_block_bootstrap,60,ok,60,-0.5430812546258059,1.283599790880192,-0.03829714748955788,-0.06586843978000692,-0.9960234647121399,0.4599451819913076,0.5101247393977074,0.019915668011783818,6
Equal risk,Full-spread post-cost,333,circular_block_bootstrap,60,ok,60,-0.55937538982239,1.2950383281826925,-0.027183897940463296,-0.044298892456654346,-0.9944056487326138,0.4893743349190429,0.5377884864395786,0.016609010152566914,6
Equal risk,Full-spread post-cost,334,circular_block_bootstrap,60,ok,60,-0.7102005381508679,1.2625707348396085,-0.3673820273260635,-0.5695223798533432,-0.9991010697158874,0.4879911475669494,0.5285672374256215,0.0020440328601962114,6
Equal risk,Full-spread post-cost,335,circular_block_bootstrap,60,ok,60,-0.8549359068638788,1.1199224104971957,-1.0827521706157304,-1.3959265138429438,-0.9999260221532228,0.48682622168112,0.5123073540603493,6.423912797015463e-05,6
Equal risk,Full-spread post-cost,336,circular_block_bootstrap,60,ok,60,-0.6390008865227768,1.2660055234780312,-0.19767184775285462,-0.31353248541804496,-0.9966532387564908,0.4042920132815264,0.5377884864395786,0.006130990976593413,6
Equal risk,Full-spread post-cost,337,circular_block_bootstrap,60,ok,60,-0.4003450629067471,1.1008383514944504,0.03161237782337947,0.053869146414171794,-0.9764698166830399,0.377881749244668,0.4429490166733326,0.07753665627632522,6
Equal risk,Full-spread post-cost,338,circular_block_bootstrap,60,ok,60,-0.23267170732289266,1.1748496422892187,0.25311788292867704,0.5036962065467072,-0.9629298577246808,0.3616957448992929,0.3958242836648358,0.266014958389696,6
Equal risk,Full-spread post-cost,339,circular_block_bootstrap,60,ok,60,-0.6962916641885024,1.4385038984479277,-0.15849682349939695,-0.25914117148400145,-0.9990888168928883,0.5101247393977074,0.5239566129186429,0.0025839467549569114,6
Equal risk,Full-spread post-cost,340,circular_block_bootstrap,60,ok,60,-0.5640805908382223,1.4159024434810696,0.016190413324952326,0.029550390589741363,-0.9894968748157407,0.4163920151088599,0.4939729535916091,0.015740953330479188,6
Equal risk,Full-spread post-cost,341,circular_block_bootstrap,60,ok,60,-0.7392751215169733,1.2999373233965907,-0.3799200197753116,-0.5737806933267094,-0.9993167067381775,0.5377884864395786,0.5377884864395786,0.0012047928142051758,6
Equal risk,Full-spread post-cost,342,circular_block_bootstrap,60,ok,60,-0.6050469753911114,1.3722513937021918,-0.07265389426720488,-0.12580270892562653,-0.9933775485813854,0.4879911475669494,0.5193459884116645,0.0096100848089144,6
Equal risk,Full-spread post-cost,343,circular_block_bootstrap,60,ok,60,-0.7658586620900106,1.067547134370029,-0.8035192656622564,-1.1180098011724153,-0.9995964450807677,0.41423874471174055,0.46327304938604497,0.000703704742942557,6
Equal risk,Full-spread post-cost,344,circular_block_bootstrap,60,ok,60,-0.8079038053858576,1.418074438085927,-0.48547290626991324,-0.7592243187764779,-0.9996796879980916,0.5101247393977074,0.523956612918643,0.0002615735390226853,6
Equal risk,Full-spread post-cost,345,circular_block_bootstrap,60,ok,60,-0.551854315588844,1.1332241101793834,-0.19226734655280378,-0.3113327161726333,-0.9873686656805175,0.37703310616484664,0.4229362601603941,0.01807574029267027,6
Equal risk,Full-spread post-cost,346,circular_block_bootstrap,60,ok,60,-0.4739128356160638,1.1571588542208142,-0.04437047491705245,-0.0770020508045498,-0.981266101573179,0.4163920151088599,0.4925178771498478,0.040298467377693596,6
Equal risk,Full-spread post-cost,347,circular_block_bootstrap,60,ok,60,-0.6033574862789192,1.2506578911025992,-0.187552362425498,-0.32048529617912574,-0.9828447134507751,0.45878025610547823,0.5038136432672728,0.00981739599027952,6
Equal risk,Full-spread post-cost,348,circular_block_bootstrap,60,ok,60,-0.784854214292599,1.3843232946565678,-0.4963873193701548,-0.8293784514096216,-0.9997520924359025,0.4178681185602095,0.48682622168112005,0.0004609610365645873,6
Equal risk,Full-spread post-cost,349,circular_block_bootstrap,60,ok,60,-0.2810725398060213,1.336212822215879,0.3284450983249627,0.6245053073758012,-0.9725929009127798,0.4178681185602095,0.5115798158394687,0.19205488642089302,6
Equal risk,Full-spread post-cost,350,circular_block_bootstrap,60,ok,60,-0.42092973662768607,1.5169113631689208,0.2599428534806599,0.5149306680342939,-0.9859459833431785,0.4879911475669494,0.5193459884116645,0.06511129262521766,6
Equal risk,Full-spread post-cost,351,circular_block_bootstrap,60,ok,60,-0.3258492798460839,1.3197061734788194,0.23804930786572523,0.47158215209212956,-0.9629710160491206,0.39811452619513454,0.4462007429403962,0.1392467327962281,6
Equal risk,Full-spread post-cost,352,circular_block_bootstrap,60,ok,60,-0.45227712558835487,1.2967675185680534,0.08181630392303516,0.15153814900642576,-0.9833414985314954,0.41423874471174055,0.45635711262557715,0.0492951727835456,6
Equal risk,Full-spread post-cost,353,circular_block_bootstrap,60,ok,60,-0.7081163488015441,1.2160419305630148,-0.41369881993048674,-0.6324527925864785,-0.9968234990184818,0.4879911475669494,0.5285672374256215,0.0021185994305469528,6
Equal risk,Full-spread post-cost,354,circular_block_bootstrap,60,ok,60,-0.2463951067949387,1.2921359555509826,0.3453896554893753,0.6413426630678101,-0.9619287323065216,0.4178681185602095,0.5038136432672728,0.24306282908093027,6
