hurdle,asset_id,expected_return,expected_cost,risk_estimate,passed
0.25,NVDA_put_atm,-0.12004421900240746,0.022712622555130624,2.5139629493094664,False
0.25,NVDA_put_call_near,-0.10501612119510835,0.01835369840023768,1.8539564785346487,False
0.25,NVDA_put_put_near,-0.15277503918551913,0.02939475698645174,2.865858401752539,False
0.25,NVDA_put_put_wing,-0.15650519751733935,0.0374441814584191,34.26139759364935,False
0.25,TSLA_call_atm,0.1412681764937385,0.01659610127490221,2.595755392201306,False
0.25,TSLA_call_call_near,0.16364219190338716,0.02430609320458936,6.335289050983417,False
0.25,TSLA_call_put_near,0.09039217160629431,0.016123788075508686,1.672125197798312,False
0.25,TSLA_put_atm,-0.07059806706377841,0.016403720031726226,1.6758881615170809,False
0.25,TSLA_put_call_near,-0.0668788895118702,0.014983415970708803,3.6484389942789406,False
0.25,TSLA_put_put_near,-0.1039650817510685,0.021818981108954368,2.6609979011394116,False
0.25,TSLA_put_put_wing,-0.15778383765979928,0.033256779635988706,3.149685999814521,False
0.25,VIX_call_vix_atm,-0.24947140991241157,0.15,3.673695190965707,False
0.25,VIX_call_vix_call_near,-0.35,0.15,4.588067098798144,False
0.25,VIX_call_vix_call_wing,-0.35,0.14999999999999997,6.848905374744775,False
0.25,VIX_put_vix_atm,-0.17475020326252017,0.15,1.731269088658402,False
0.25,VIX_put_vix_put_near,-0.35,0.15,7.8200495218797395,False
