return_date,decision_date,state_snapshot_date,expiry,payoff_date,asset_id,symbol,underlying,underlying_or_forward,kind,right,moneyness_bucket,mark,entry_price,strike,start_spot,payoff_raw_close,terminal_spot_proxy,expiry_spot_proxy,vix_close_proxy_settlement,exact_minus_vix_close_proxy,terminal_forward_proxy,expiry_weight,payoff_proxy,exit_price,option_return,delta,gamma,vega,theta,iv_proxy,expiry_days,settlement_source,greek_model,vx_contract,train_end_date,asset_class
2015-10-30,2015-09-30,2015-09-30,2015-10-21,2015-10-21,VIX_put_vix_put_near,VIX   151021P00020000,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.85,0.85,20.0,23.925,14.91,14.91,14.91,16.700000762939453,-1.790000762939453,17.275,1.0,5.09,5.09,4.988235294117647,-0.20850652959519028,0.04541795324696512,1.6461953886277687,-15.834092197438455,1.1005847700050366,21,vro_soq_exact,black76_vx_forward,VXV15,2020-12-31,vix_option
2015-11-30,2015-10-30,2015-10-30,2015-11-18,2015-11-18,VIX_call_vix_atm,VIX   151118C00015000,VX_FRONT,VX_FRONT,call,call,vix_atm,2.2,2.2,15.0,15.575,19.16,19.16,19.16,16.850000381469727,2.3099996185302736,17.65,1.0,4.16,4.16,0.8909090909090909,0.6083542045177917,0.07867870609515087,1.3629912832637536,-18.16266447988698,1.3718891523026382,19,vro_soq_exact,black76_vx_forward,VXX15,2020-12-31,vix_option
2015-11-30,2015-10-30,2015-10-30,2015-11-18,2015-11-18,VIX_call_vix_call_near,VIX   151118C00018000,VX_FRONT,VX_FRONT,call,call,vix_call_near,1.05,1.05,18.0,15.575,19.16,19.16,19.16,16.850000381469727,2.3099996185302736,17.65,1.0,1.1600000000000001,1.1600000000000001,0.10476190476190483,0.3741799525473833,0.07943700050894467,1.3455871282951355,-17.503774915261303,1.3414427413129373,19,vro_soq_exact,black76_vx_forward,VXX15,2020-12-31,vix_option
2015-11-30,2015-10-30,2015-10-30,2015-11-18,2015-11-18,VIX_call_vix_call_wing,VIX   151118C00025000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.25,0.25,25.0,15.575,19.16,19.16,19.16,16.850000381469727,2.3099996185302736,17.65,1.0,0.0,0.0,-1.0,0.11145784352054262,0.035752187912852125,0.6743219059596972,-9.549818284345413,1.4936464014561395,19,vro_soq_exact,black76_vx_forward,VXX15,2020-12-31,vix_option
2015-11-30,2015-10-30,2015-10-30,2015-11-18,2015-11-18,VIX_put_vix_atm,VIX   151118P00015000,VX_FRONT,VX_FRONT,put,put,vix_atm,0.5,0.5,15.0,15.575,19.16,19.16,19.16,16.850000381469727,2.3099996185302736,17.65,1.0,0.0,0.0,-1.0,-0.3567714704089516,0.19357026612667852,1.3243761940450556,-6.967533787242646,0.5418210471839773,19,vro_soq_exact,black76_vx_forward,VXX15,2020-12-31,vix_option
2015-11-30,2015-10-30,2015-10-30,2015-11-18,2015-11-18,VIX_put_vix_put_near,VIX   151118P00014500,VX_FRONT,VX_FRONT,put,put,vix_put_near,0.35,0.35,14.5,15.575,19.16,19.16,19.16,16.850000381469727,2.3099996185302736,17.65,1.0,0.0,0.0,-1.0,-0.26742766390649597,0.16398059056312075,1.1687138412131692,-6.388293427168465,0.5644154510012528,19,vro_soq_exact,black76_vx_forward,VXX15,2020-12-31,vix_option
2016-01-29,2015-12-31,2015-12-31,2016-01-20,2016-01-20,VIX_call_vix_atm,VIX   160120C00019000,VX_FRONT,VX_FRONT,call,call,vix_atm,1.5,1.5,19.0,18.475,27.4,27.4,27.4,27.59000015258789,-0.19000015258789205,24.8,1.0,8.399999999999999,8.399999999999999,4.599999999999999,0.4987127951803391,0.09183336515891809,1.7234012017597442,-15.952739106625737,1.0034133321977365,20,vro_soq_exact,black76_vx_forward,VXF16,2020-12-31,vix_option
2016-01-29,2015-12-31,2015-12-31,2016-01-20,2016-01-20,VIX_call_vix_call_near,VIX   160120C00022000,VX_FRONT,VX_FRONT,call,call,vix_call_near,1.05,1.05,22.0,18.475,27.4,27.4,27.4,27.59000015258789,-0.19000015258789205,24.8,1.0,5.399999999999999,5.399999999999999,4.1428571428571415,0.33342689809284815,0.06533181992280292,1.5715800119510728,-18.5852718204887,1.2861917363426836,20,vro_soq_exact,black76_vx_forward,VXF16,2020-12-31,vix_option
2016-01-29,2015-12-31,2015-12-31,2016-01-20,2016-01-20,VIX_call_vix_call_wing,VIX   160120C00030000,VX_FRONT,VX_FRONT,call,call,vix_call_wing,0.39,0.39,30.0,18.475,27.4,27.4,27.4,27.59000015258789,-0.19000015258789205,24.8,1.0,0.0,0.0,-1.0,0.13161952697295692,0.031053717365149162,0.922411924751767,-13.24328821160439,1.588200350349825,20,vro_soq_exact,black76_vx_forward,VXF16,2020-12-31,vix_option
2016-01-29,2015-12-31,2015-12-31,2016-01-20,2016-01-20,VIX_put_vix_atm,VIX   160120P00018000,VX_FRONT,VX_FRONT,put,put,vix_atm,1.4,1.4,18.0,18.475,27.4,27.4,27.4,27.59000015258789,-0.19000015258789205,24.8,1.0,0.0,0.0,-1.0,-0.40926729473707263,0.09371657208760839,1.6790810700700625,-14.838316631270827,0.9579641246740613,20,vro_soq_exact,black76_vx_forward,VXF16,2020-12-31,vix_option
