return_date,strategy,asset_id,estimated_contracts,capacity_contracts,capacity_ratio,capacity_status
2021-02-26,Equity-option Greek Markowitz,TSLA_call_call_near,0.4044184124837504,26.900000000000002,0.015034141728020459,pass
2021-02-26,Equity-option Greek Markowitz,TSLA_call_put_near,6.633285351080571,11.200000000000001,0.5922576206321938,pass
2021-02-26,Equity-option Greek Markowitz,TSLA_put_atm,4.554002107054742,43.900000000000006,0.10373581109464103,pass
2021-02-26,Equity-option Greek Markowitz,TSLA_put_call_near,0.5605841954867052,46.5,0.012055574096488286,pass
2021-02-26,Equity-option Greek Markowitz,TSLA_put_put_near,1.2975677604268958,31.8,0.04080401762348729,pass
2021-02-26,Equity-option Greek Markowitz,TSLA_put_put_wing,11.487263677140977,22.3,0.5151239317103576,pass
2021-03-31,Equity-option Greek Markowitz,AAPL_call_atm,5.623893942087478,79.30000000000001,0.07091921742859365,pass
2021-03-31,Equity-option Greek Markowitz,AAPL_call_call_near,32.770983871957114,402.40000000000003,0.08143882671957532,pass
2021-03-31,Equity-option Greek Markowitz,AAPL_call_put_near,21.734290412538336,55.0,0.3951689165916061,pass
2021-03-31,Equity-option Greek Markowitz,AAPL_put_atm,38.196272503220115,270.5,0.141206183006359,pass
2021-03-31,Equity-option Greek Markowitz,AAPL_put_call_near,10.732505440271607,230.8,0.04650132339805722,pass
2021-03-31,Equity-option Greek Markowitz,AAPL_put_put_near,59.044091256298344,131.9,0.4476428450060526,pass
2021-03-31,Equity-option Greek Markowitz,AMZN_call_atm,0.12675032639323064,21.6,0.00586807066635327,pass
2021-03-31,Equity-option Greek Markowitz,AMZN_put_put_near,0.2709179522804991,19.700000000000003,0.013752180318807058,pass
2021-03-31,Equity-option Greek Markowitz,AMZN_put_put_wing,0.3767872555287905,3.0,0.12559575184293018,pass
2021-03-31,Equity-option Greek Markowitz,GOOGL_call_atm,1.6487268154382893,11.200000000000001,0.14720775137841866,pass
2021-03-31,Equity-option Greek Markowitz,GOOGL_put_atm,1.259955691969306,23.700000000000003,0.053162687424865226,pass
2021-03-31,Equity-option Greek Markowitz,GOOGL_put_put_near,1.46148722753541,3.2,0.45671475860481564,pass
2021-03-31,Equity-option Greek Markowitz,JPM_call_atm,25.376647857506562,28.8,0.8811336061634223,pass
2021-03-31,Equity-option Greek Markowitz,JPM_call_call_near,7.328815166074672,17.1,0.42858568222658894,pass
2021-03-31,Equity-option Greek Markowitz,JPM_call_put_near,92.86912182080744,4.1000000000000005,22.65100532214815,penalized
2021-03-31,Equity-option Greek Markowitz,JPM_put_atm,145.19992951099601,30.900000000000002,4.699026845016052,penalized
2021-03-31,Equity-option Greek Markowitz,JPM_put_put_near,27.93503562486605,26.200000000000003,1.0662227337735133,penalized
2021-03-31,Equity-option Greek Markowitz,META_call_call_near,37.328508600099276,31.0,1.2041454387128798,penalized
2021-03-31,Equity-option Greek Markowitz,META_call_put_near,29.39429587192277,24.400000000000002,1.204684257046015,penalized
2021-03-31,Equity-option Greek Markowitz,META_call_put_wing,28.392275581696573,1.7000000000000002,16.701338577468572,penalized
2021-03-31,Equity-option Greek Markowitz,META_put_call_near,52.501066659035835,3.6,14.583629627509954,penalized
2021-03-31,Equity-option Greek Markowitz,META_put_put_near,60.31455538617045,33.6,1.7950760531598347,penalized
2021-03-31,Equity-option Greek Markowitz,MSFT_call_atm,2.825073185408938,61.7,0.04578724773758409,pass
2021-03-31,Equity-option Greek Markowitz,MSFT_call_call_near,92.67600869701275,66.60000000000001,1.3915316621173084,penalized
2021-03-31,Equity-option Greek Markowitz,MSFT_call_put_near,36.727695477223115,7.5,4.897026063629749,penalized
2021-03-31,Equity-option Greek Markowitz,MSFT_put_atm,1.707243325718212,45.6,0.037439546616627455,pass
2021-03-31,Equity-option Greek Markowitz,MSFT_put_put_near,25.858190486075717,29.0,0.8916617408991626,pass
2021-03-31,Equity-option Greek Markowitz,NVDA_call_atm,0.6543823459257891,22.200000000000003,0.029476682248909418,pass
2021-03-31,Equity-option Greek Markowitz,NVDA_call_call_near,1.6620736268071685,38.400000000000006,0.04328316736477001,pass
2021-03-31,Equity-option Greek Markowitz,NVDA_call_put_near,30.273786321129364,9.700000000000001,3.121008899085501,penalized
2021-03-31,Equity-option Greek Markowitz,NVDA_put_atm,3.839960338750113,37.0,0.10378271185811117,pass
2021-03-31,Equity-option Greek Markowitz,NVDA_put_call_near,2.7438968879007306,15.5,0.17702560567101489,pass
2021-03-31,Equity-option Greek Markowitz,NVDA_put_put_near,8.29436520335356,30.900000000000002,0.2684260583609566,pass
2021-03-31,Equity-option Greek Markowitz,NVDA_put_put_wing,3.5947630647431916,20.8,0.17282514734342266,pass
2021-03-31,Equity-option Greek Markowitz,TSLA_call_atm,7.131199390534746,26.3,0.2711482657998002,pass
