config,strategy,return_date,decision_date,train_start,train_end,gross_return,predicted_cost,net_return,gross_nav,predicted_annual_vol,scenario_cvar_loss,short_margin_used,collateral_used,integer_repair_failed,information_set_valid,evidence_status,segment
larger+VIX,R1 repaired net utility,2018-09-28,2018-08-31,2015-08-31,2018-08-31,0.00633700199890137,0.0014017230620406362,0.0049352789368607335,0.029798,0.14999455630295216,0.0517034134933494,0.08140846697726861,0.09774546697726862,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2018-10-31,2018-09-28,2015-09-30,2018-09-28,-0.018953000549316406,0.004753079417009335,-0.02370607996632574,0.062304,0.14999575589897135,0.09766423504492966,0.2785590157353337,0.2858880157353337,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2018-11-30,2018-10-31,2015-10-30,2018-10-31,0.03672700024414063,0.0024630518811107685,0.03426394836302986,0.04171,0.14999795247683098,0.08956835731509313,0.2035551997070313,0.20473519970703127,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2018-12-31,2018-11-30,2015-11-30,2018-11-30,-0.09317700022125242,0.0025087279851746113,-0.09568572820642703,0.043688000000000005,0.14998610583758637,0.09562800524735862,0.15368760008239749,0.1566586000823975,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-01-31,2018-12-31,2015-12-31,2018-12-31,-0.03529900068664551,0.0017367611275106302,-0.03703576181415614,0.031949000000000005,0.14999610179011155,0.09579497367082998,0.126943,0.129197,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-02-28,2019-01-31,2016-01-29,2019-01-31,0.014726002258300777,0.001432292400650686,0.01329370985765009,0.032825999999999994,0.14999026296948306,0.06732214431144429,0.10290400000000002,0.10675500000000002,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-04-30,2019-02-28,2016-02-29,2019-02-28,-0.009750996795654304,0.002235363704299284,-0.011986360499953589,0.038100999999999996,0.14998586068398675,0.08881418346059047,0.17209820011138918,0.1768842001113892,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-05-31,2019-04-30,2016-03-31,2019-04-30,0.028497003479003906,0.0027069238518819916,0.025790079627121914,0.044520000000000004,0.1499991977563511,0.08165208512291805,0.20255680014038085,0.20930680014038086,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-06-28,2019-05-31,2016-04-29,2019-05-31,-0.0012499981079101448,0.002260336007606222,-0.003510334115516367,0.046557,0.14999375038483187,0.07200568100561483,0.14379750000000002,0.1475325,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-07-31,2019-06-28,2016-05-31,2019-06-28,0.0028219967346191366,0.0023688602427310358,0.0004531364918881008,0.044157999999999996,0.14999892605523288,0.09887843466377054,0.14932800000000002,0.15436100000000003,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-08-30,2019-07-31,2016-06-30,2019-07-31,0.03829199871826172,0.0029572128302242594,0.035334785888037464,0.044117,0.149993793492408,0.09674901943041585,0.15816390008544923,0.16262590008544922,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-09-30,2019-08-30,2016-07-29,2019-08-30,-0.02733000074768067,0.0027824894054222465,-0.030112490153102918,0.05818699999999999,0.1499989422619959,0.08528069721065853,0.148995,0.157569,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-10-31,2019-09-30,2016-08-31,2019-09-30,0.0,0.0,0.0,0.0,0.1499977277770725,0.0,0.0,0.0,True,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-11-29,2019-10-31,2016-09-30,2019-10-31,0.0,0.0,0.0,0.0,0.14999351414282483,0.0,0.0,0.0,True,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2019-12-31,2019-11-29,2016-10-31,2019-11-29,0.02489100134277344,0.003084167170152375,0.021806834172621067,0.043328,0.1499954631413991,0.09814840186700305,0.18341510009765627,0.19482410009765627,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-01-31,2019-12-31,2016-11-30,2019-12-31,0.026464003509521456,0.002946784445422083,0.023517219064099374,0.061745,0.14999839315737837,0.0539831117776438,0.2157765997192383,0.22678259971923828,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-02-28,2020-01-31,2016-12-30,2020-01-31,-0.00212800151062012,0.0028271138241912266,-0.004955115334811347,0.062809,0.14999021256366138,0.0656202928916752,0.1820788001251221,0.1869678001251221,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-03-31,2020-02-28,2017-01-31,2020-02-28,0.0,0.0,0.0,0.0,0.14999702258154624,0.0,0.0,0.0,True,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-04-30,2020-03-31,2017-02-28,2020-03-31,0.0,0.0,0.0,0.0,0.14998960552028914,0.0,0.0,0.0,True,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-05-29,2020-04-30,2017-03-31,2020-04-30,-0.003106999694824222,0.0010611274320313031,-0.004168127126855525,0.035683999999999994,0.14999439949888865,0.0726124747583024,0.10011020056152344,0.10284420056152344,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-06-30,2020-05-29,2017-04-28,2020-05-29,0.022832996459960956,0.0009332907205097769,0.02189970573945118,0.028427,0.14998808609455724,0.06564522886287416,0.07660800000000001,0.08057600000000001,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-07-31,2020-06-30,2017-05-31,2020-06-30,0.008242000610351557,0.001295300122677161,0.006946700487674396,0.042094,0.14998970617831642,0.0721735534923851,0.12937589947509767,0.13329689947509768,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-08-31,2020-07-31,2017-06-30,2020-07-31,-0.004196996093749971,0.001077519168705996,-0.005274515262455967,0.035489999999999994,0.14999304923344975,0.08546396087281329,0.07429860015869141,0.08326160015869141,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-09-30,2020-08-31,2017-07-31,2020-08-31,0.012278000633239753,0.0010875831125686756,0.011190417520671077,0.03875700000000001,0.14999252474402933,0.08368513962557808,0.06352080017089844,0.07442780017089844,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-10-30,2020-09-30,2017-08-31,2020-09-30,0.022550001281738282,0.0009660895480261145,0.021583911733712168,0.031226999999999998,0.1499941201142534,0.07288954436711274,0.09618419940185548,0.10192419940185547,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-11-30,2020-10-30,2017-09-29,2020-10-30,-0.044573001167297364,0.001479461222314111,-0.04605246238961148,0.05474100000000001,0.1499910292523006,0.07037345030439018,0.09918800000000003,0.10555700000000003,False,True,retrospective_development_extension,new_pre_2021_R1_run
larger+VIX,R1 repaired net utility,2020-12-31,2020-11-30,2017-10-31,2020-11-30,0.027474999633789063,0.0011337101170164055,0.026341289516772656,0.039779,0.14999881336537996,0.057269427839771625,0.0898047998046875,0.0960637998046875,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-02-28,2018-01-31,2015-02-27,2018-01-31,-0.02505199433898926,0.000859291897416779,-0.02591128623640604,0.046365,0.14999996336086135,0.047841972735669105,0.03180939987182617,0.07101239987182617,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-04-30,2018-02-28,2015-03-31,2018-02-28,0.00921999710083013,0.0007721605532790968,0.008447836547551033,0.0267,0.14999812106981233,0.040860928019672615,0.08469799880981443,0.10228299880981444,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-05-31,2018-04-30,2015-04-30,2018-04-30,0.012647984024047813,0.0007558562720932688,0.011892127751954544,0.046541,0.14998651077510036,0.0362761229155276,0.03148599967956543,0.07322099967956544,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-06-29,2018-05-31,2015-05-29,2018-05-31,0.021381002136230412,0.0008102699040895484,0.020570732232140863,0.028381999999999998,0.14999738600989188,0.03893017493402387,0.15305080032348634,0.17054380032348634,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-07-31,2018-06-29,2015-06-30,2018-06-29,0.03301900497436523,0.0007117048760686433,0.03230730009829659,0.039092,0.14999449087651323,0.03221489664148732,0.037904000854492186,0.07253300085449219,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-08-31,2018-07-31,2015-07-31,2018-07-31,-0.001473992767334024,0.0008093087975925671,-0.002283301564926591,0.032912,0.14998992777740872,0.03276246920226837,0.05876640014648438,0.08339240014648439,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-09-28,2018-08-31,2015-08-31,2018-08-31,-0.02855000529479981,0.0006435605952198948,-0.029193565890019705,0.034617,0.14999577093645886,0.03125966392219238,0.028068000793457032,0.06008500079345703,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-10-31,2018-09-28,2015-09-30,2018-09-28,-0.06423000006103516,0.000716400140644384,-0.06494640020167955,0.033359,0.1499925228280177,0.03299954602553895,0.06659539909362794,0.09190939909362794,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-11-30,2018-10-31,2015-10-30,2018-10-31,-0.04323698889160156,0.0008497198994350651,-0.04408670879103663,0.047924,0.14999259957488587,0.06027706506737519,0.034696400146484375,0.07229040014648438,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2018-12-31,2018-11-30,2015-11-30,2018-11-30,-0.05895600287628174,0.000849027118605942,-0.05980502999488768,0.036765000000000006,0.1499944215899937,0.0733513284162785,0.04249180107116699,0.071322801071167,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-01-31,2018-12-31,2015-12-31,2018-12-31,0.03631996754455566,0.0005743655802035174,0.03574560196435214,0.019486,0.14999828512539162,0.04071735179740886,0.019611600494384766,0.036433600494384766,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-02-28,2019-01-31,2016-01-29,2019-01-31,-0.0008389998168945311,0.0005422505049972332,-0.0013812503218917642,0.024173,0.14999802716147811,0.0805711596755584,0.08430500068664551,0.09467400068664551,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-04-30,2019-02-28,2016-02-29,2019-02-28,0.04111498954772948,0.0004626586297957559,0.04065233091793372,0.020391,0.149995489297364,0.027949773938956157,0.009255599784851073,0.027673599784851073,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-05-31,2019-04-30,2016-03-31,2019-04-30,-0.029054999267578076,0.0007441811492346099,-0.029799180416812687,0.036515,0.14999013972729983,0.05346294861186067,0.09278640090942383,0.12087740090942384,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-06-28,2019-05-31,2016-04-29,2019-05-31,0.060093016296386706,0.0006105637856699392,0.059482452510716766,0.027312,0.1499892359272356,0.06423346341774162,0.08454880104064941,0.10345180104064941,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-07-31,2019-06-28,2016-05-31,2019-06-28,0.00032297135925293645,0.0007245067770043795,-0.0004015354177514431,0.039565,0.1499938189912373,0.05561339769337192,0.04055180145263672,0.07508880145263672,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-08-30,2019-07-31,2016-06-30,2019-07-31,-0.016128995918273926,0.0005581329294981005,-0.016687128847772025,0.0284,0.14999015780801758,0.05247517080088325,0.07871160087585449,0.09839860087585449,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-09-30,2019-08-30,2016-07-29,2019-08-30,0.0021979869842528926,0.0006810445615836266,0.001516942422669266,0.039678,0.14999790096966595,0.041908026662809544,0.035843600158691404,0.07288260015869141,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-10-31,2019-09-30,2016-08-31,2019-09-30,-0.0002609715576172003,0.0006350902179478127,-0.000896061775565013,0.040191,0.14998841307871785,0.03879967442119674,0.005561199951171875,0.04548219995117187,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-11-29,2019-10-31,2016-09-30,2019-10-31,0.04503702630615235,0.000713608990348993,0.04432341731580335,0.032809,0.14999301978169044,0.04584888014177316,0.09709679809570312,0.12101579809570312,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2019-12-31,2019-11-29,2016-10-31,2019-11-29,0.034384022323608404,0.000798293389906965,0.03358572893370144,0.036664,0.1499921265219729,0.046597247353981665,0.09238880081176759,0.1160648008117676,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-01-31,2019-12-31,2016-11-30,2019-12-31,0.07071403707885741,0.0008144362459404429,0.06989960083291698,0.044916,0.14999735954702959,0.053954997746473415,0.13499939785003662,0.16567039785003662,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-02-28,2020-01-31,2016-12-30,2020-01-31,0.025889972778320308,0.0008579433522040194,0.02503202942611629,0.040712,0.1499910682910552,0.05133317251592392,0.06902059967041016,0.10155359967041017,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-03-31,2020-02-28,2017-01-31,2020-02-28,-0.018383,0.0003293685595828623,-0.018712368559582863,0.018383,0.1499872508649677,0.018712368559582863,0.0,0.018383,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-04-30,2020-03-31,2017-02-28,2020-03-31,0.01944294201660156,0.0003439876697041752,0.019098954346897387,0.017857,0.1499844478341501,0.018200987669704176,0.0,0.017857,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-05-29,2020-04-30,2017-03-31,2020-04-30,0.010496007080078059,0.0009359849338347823,0.009560022146243276,0.038068000000000005,0.14999982585238314,0.07095741032093124,0.13949080383300783,0.16183980383300783,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-06-30,2020-05-29,2017-04-28,2020-05-29,0.067196998413086,0.0008519740170646823,0.06634502439602132,0.035574,0.14998990298119358,0.056020498680599315,0.11218520133972168,0.13049320133972167,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-07-31,2020-06-30,2017-05-31,2020-06-30,0.032891998046874996,0.0008040007633243335,0.03208799728355066,0.041812,0.14999267725421053,0.06893344668986114,0.1734387976074219,0.19202279760742189,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-08-31,2020-07-31,2017-06-30,2020-07-31,0.017466020568847777,0.0006324334006417862,0.01683358716820599,0.029016,0.14999525073039646,0.056604129966023424,0.04250400085449219,0.0657700008544922,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-09-30,2020-08-31,2017-07-31,2020-08-31,-0.01046,0.0005040702039535185,-0.010964070203953518,0.024125,0.14998789471306032,0.05239132851848806,0.08500800170898438,0.09763300170898438,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-10-30,2020-09-30,2017-08-31,2020-09-30,0.016452997833251954,0.000576255639303458,0.015876742193948495,0.032549,0.14998702274441159,0.05056722033849557,0.06674759765625,0.08070659765625,False,True,retrospective_development_extension,new_pre_2021_R1_run
orig,R1 repaired net utility,2020-11-30,2020-10-30,2017-09-29,2020-10-30,-0.00875300030517578,0.0005235212812180286,-0.00927652158639381,0.03281,0.14999926768692964,0.043017352685221236,0.041691599121093756,0.06732159912109376,False,True,retrospective_development_extension,new_pre_2021_R1_run
