path_id,sortino_improvement,net_log_growth_improvement
124,-1.1395901220396205,-0.008848119563359269
125,-1.6004766582200953,-0.012271032675668488
126,-0.3626809199044373,-0.005455240302640428
127,-0.5056185409644407,-0.007823485273163877
128,-0.5459908288493487,-0.006319288367223866
129,-0.7167058735644277,-0.008878649020435302
130,-0.704009713549624,-0.007554708240425896
131,-0.4078940476828272,-0.006020212220147616
132,-0.5488662579953599,-0.004976922281529909
133,-0.7431953108595566,-0.005138415938983552
134,-0.5515982901666995,-0.006565825464552535
135,-0.8857197548670188,-0.007870483288650797
136,-0.010130818915414674,-0.004511178244298152
137,-0.8674684766054734,-0.007803806152112126
138,-1.150571177607345,-0.011619551805786443
139,-0.43699410986078213,-0.011073782148712377
140,-1.1508232328312282,-0.009931128026769692
141,-1.1799979611685352,-0.010317346241443636
142,-0.8012445808130197,-0.00784009436042922
143,-0.3954400857517527,-0.004241311437804268
144,-1.3256134488050892,-0.009725540018756834
145,-0.6467239791190547,-0.009826020170229738
146,-1.4177050466572703,-0.01170831950937843
147,-0.6115258552026979,-0.008893462787706868
148,-0.2477211407395583,-0.004297337451518451
149,-1.1879164209948827,-0.008706897764611062
150,-0.8412731099992649,-0.008248985297568179
151,-0.6883163035619324,-0.01014010283406842
152,-0.6673722823821538,-0.005513170469902149
153,-0.2628798378291286,-0.008369811135577068
154,-1.8014582432902075,-0.01307098988470007
155,-1.0778171706259196,-0.010718566891685682
156,-1.1912219290924524,-0.011046885843771954
157,-1.3833926887550254,-0.010781465188568205
158,-1.1430645038135727,-0.009417366587785036
159,-0.5460173412430629,-0.005841359071811309
160,-1.174843042161787,-0.008950309374269966
161,-1.2372781465008749,-0.01071141650286997
162,-0.08714161944799326,-0.007899348816095195
163,-1.2572840254056803,-0.009190034717369573
164,-1.2167660833383975,-0.010087693987890464
165,-0.7840682823593714,-0.00853076522147764
166,-1.0307197936426624,-0.00912678232770359
167,-0.6384868348202775,-0.008781937226755007
168,-0.6520273027334609,-0.006279742557432719
169,-0.5762029561882192,-0.005183925231012628
170,-0.8407457054682472,-0.008417338778373053
171,-1.4188071804383857,-0.012243051005422426
172,-0.6899649895709532,-0.009756489330995658
173,-0.2716326419575821,-0.007852024336304015
174,-1.141647802391647,-0.01001038606917478
175,-0.6752911137318023,-0.007563584652268248
176,-1.4958324927573567,-0.01332154948486522
177,-1.3039569050880038,-0.01001631415091905
178,-1.0780897549090558,-0.008484873179185835
179,-0.5114064774701121,-0.005434627880569292
180,-1.4514549594710826,-0.01144783480849394
181,-1.100314119964728,-0.011774942158721088
182,-1.3415060737549511,-0.010161485707105412
183,-0.7371408009499516,-0.007128893520956638
184,-0.3728593749769038,-0.012096798595801022
185,-0.17693390170991605,-0.0018176748172095004
186,-1.4931162621354828,-0.012357831427900283
187,-0.32526772007435656,-0.006015276169449343
188,-0.9888201052332757,-0.011500064063096279
189,-1.2466055512256338,-0.009810012044431497
190,0.048540714040310684,-0.006183071722972401
191,-0.9902210198562797,-0.00997447029574819
192,-0.5993530197102945,-0.009060529984379749
193,-1.1413368253510983,-0.008688293412236123
194,-0.8298881937474262,-0.00753070709562511
195,-1.064569661628074,-0.008491486217011613
196,-0.0382596513085276,-0.007147237342770598
197,-0.8708270334879328,-0.010867003112902061
198,-0.8739003308239418,-0.007922501557673602
199,-0.30449158018754213,-0.0049995327271157766
200,-0.46153474068231115,-0.006580577553912203
201,-1.4183644275635083,-0.010314954975356326
202,-0.6421137821321391,-0.008742347578965928
203,-1.283409292730003,-0.010132440226627612
204,-0.47037448607935617,-0.005245668083308694
205,-2.210689261903635,-0.01345165333773366
206,-0.7521762083773743,-0.007316879870472795
207,-0.14689246842735848,-0.00639238901854112
208,-0.9630235264080214,-0.008595347249306771
209,-0.5200139944360413,-0.009976396975941347
210,-1.1017437412131947,-0.01196139485412685
211,-0.6401842435853853,-0.008098357292611167
212,-1.1167432269696946,-0.010775290624677521
213,-1.4022139185338744,-0.013487735921903539
214,-0.6005989711404125,-0.00755723960269738
215,-0.3683436115389698,-0.00797661087610492
216,-2.36987832770299,-0.016077881835877605
217,-0.8147447970075006,-0.007392368759342675
218,-1.5709483942269915,-0.012578735465861454
219,-1.5781358208720597,-0.011931819879959862
220,-1.2270837782156345,-0.01135984168405633
221,-1.04042469988859,-0.01011346490253571
222,-0.9261014989782288,-0.00823863274772022
223,-1.1036613395882746,-0.00999018107211098
224,-0.7732421382058098,-0.007392348322008474
225,-0.5858876587419934,-0.007081249491440184
226,-1.5899220550744229,-0.01232375927983939
227,-1.2001802842452625,-0.009953363176472746
228,-0.9478591687591338,-0.010788527972216027
229,-0.7915850794306675,-0.006258443175407061
230,-0.06204000404222221,-0.005735911903027366
231,-0.76997664041272,-0.007769378316156034
232,-0.9207227798062676,-0.007768887100540356
233,-1.1544512027333846,-0.008992273968073613
234,-0.6980368904411371,-0.009019083830807493
235,-0.5530147984960971,-0.00910897051906323
236,-1.514144477975482,-0.01230448018695456
237,-0.7950386044864622,-0.009075963065714027
238,-1.5862345452258044,-0.013311188203904718
239,-0.9901732409267127,-0.007265098336000156
240,-0.994948071017702,-0.009226405933588332
241,-0.6047161559422899,-0.005132697574506314
242,-0.6070816345629572,-0.0073236167037684175
243,-1.8398666837837068,-0.01268089033766768
244,-1.284849264974822,-0.011143083801770594
245,-0.5216659652668947,-0.008027475867884472
246,-0.7470089959144227,-0.00962576734423868
247,0.9523072939009657,-0.0037006277136659407
248,-0.921537900832895,-0.00786931764970824
249,-1.1262416348788244,-0.01099427646387794
250,-0.530299844211962,-0.0068374678057580175
251,-0.9097344789877198,-0.009334326488138844
252,-0.5971510620320669,-0.00743325784188242
253,-0.0797115386215993,-0.004742899311804518
254,-1.04134529103082,-0.007806049243836713
255,-0.7602183986919846,-0.008443868824276406
256,-0.5371406319066052,-0.005189598827719145
257,-0.37781197655081433,-0.00967924666069307
258,-1.1738119311163988,-0.012232418855821187
259,-1.244572169786357,-0.009682782755777337
260,-0.8806791828002497,-0.007786956667513371
261,-1.3757051943820167,-0.010695356025529828
262,-0.8637321412746167,-0.008103227531986815
263,-0.9034507001149936,-0.008935550831843716
264,-1.3302242147379535,-0.009825758274884583
265,-0.9953770086063527,-0.010015019227948625
266,-0.912842640488338,-0.009796974359830003
267,-0.24276059697272712,-0.009024884201754999
268,-1.0149108923604127,-0.009814632872613693
269,-1.917597972653752,-0.013681299336882845
270,-0.8689072817796353,-0.006729899843560845
271,-0.9478059643375232,-0.008848204073817872
272,-1.4263342365053018,-0.012535840461075165
273,-0.49897936872357385,-0.006458658733309071
274,-1.3075717355965155,-0.00980241919694807
275,-0.8861453560776934,-0.008735164073115217
276,-0.6385398128113231,-0.006841782110363934
277,0.03974104740856155,-0.006082128429846438
278,-1.2256781603766769,-0.008315547152079546
279,-0.9073846600169337,-0.007512754506847481
280,-0.8151365307768007,-0.007804257431753497
281,-0.40306904199698557,-0.007881489209033792
282,-0.9009517846990931,-0.009415468500921856
283,-1.8127686328533879,-0.013001830578427374
284,-1.0515345034807888,-0.008417477933541891
285,-0.9020363175018642,-0.008155468047330265
286,-0.9435927550979863,-0.007115764304125396
287,-0.5637441746228453,-0.009124271681641576
288,-0.9515609331993622,-0.010750054130850317
289,-0.6603303972444645,-0.009088846657472692
290,-1.5991601920847605,-0.012366701490822068
291,-0.8714864544599761,-0.010678690542610687
292,-1.1699375042946873,-0.009726111862497866
293,-0.836424553739085,-0.008702354223715125
294,-0.9344028038872735,-0.007795778540795165
295,-1.6146781162347352,-0.012057146896897332
296,-1.6723921121173349,-0.012912231878114959
297,-0.8990168546463705,-0.00763624908923367
298,-0.3081234827697307,-0.003720355006422298
299,-1.212799209857292,-0.010070783376210667
300,-1.3331489519460646,-0.01022392746155471
301,-1.1028517717591138,-0.008464308020285808
302,-0.8347844269857713,-0.006811019390077373
303,-0.9911967886690177,-0.00894299610764447
304,-1.505884696689904,-0.010923323373792709
305,-0.8075264014740017,-0.006587805785389474
306,-0.6552800526748963,-0.006763547222956885
307,-1.5209156817189138,-0.011502079964911743
308,-0.3795505082727906,-0.007651012444635541
309,-1.5422758249919357,-0.012055444361498163
310,-0.7335328574690931,-0.009873403029837816
311,-0.7615086798813271,-0.007989354191468678
312,-0.5317290709174092,-0.009349874052216916
313,-0.16068678561723693,-0.007373358826415807
314,-0.7245409707707691,-0.0064731232524157765
315,-0.3911142730634015,-0.007497142335340654
316,-0.3870055048545613,-0.005925929050267845
317,-0.3857011538911783,-0.0080303177099529
318,-0.809315973031209,-0.008133120901251059
319,-0.6191144496355505,-0.0063633933582028296
