config,return_date,family,observations,annual_downside
orig+VIX,2019-11-29,recent,36,1.7352059499804096
orig+VIX,2019-11-29,expanding_bootstrap,500,1.810198068543345
orig+VIX,2019-11-29,imputation_1,55,1.784463357967369
orig+VIX,2019-11-29,imputation_2,55,1.8077464540421895
orig+VIX,2019-11-29,imputation_3,55,1.8101972006837308
orig+VIX,2019-11-29,imputation_4,55,1.8101982637533083
orig+VIX,2019-11-29,imputation_5,55,1.7826026687273744
orig+VIX,2019-12-31,recent,36,1.688420500313413
orig+VIX,2019-12-31,expanding_bootstrap,500,1.6555289881476674
orig+VIX,2019-12-31,imputation_1,56,1.6884204650071986
orig+VIX,2019-12-31,imputation_2,56,1.683397298390174
orig+VIX,2019-12-31,imputation_3,56,1.6266238090191765
orig+VIX,2019-12-31,imputation_4,56,1.688420475794729
orig+VIX,2019-12-31,imputation_5,56,1.6884204858016698
orig+VIX,2020-01-31,recent,36,0.38878332540865546
orig+VIX,2020-01-31,expanding_bootstrap,500,0.3808437238428032
orig+VIX,2020-01-31,imputation_1,57,0.5849240498683645
orig+VIX,2020-01-31,imputation_2,57,0.5849240422181687
orig+VIX,2020-01-31,imputation_3,57,0.5849241553996858
orig+VIX,2020-01-31,imputation_4,57,0.5849241583426024
orig+VIX,2020-01-31,imputation_5,57,0.5849241522218102
orig+VIX,2020-02-28,recent,36,0.000753491891595655
orig+VIX,2020-02-28,expanding_bootstrap,500,0.000659755014665326
orig+VIX,2020-02-28,imputation_1,58,0.0011026832625771281
orig+VIX,2020-02-28,imputation_2,58,0.001102680960568053
orig+VIX,2020-02-28,imputation_3,58,0.0011026521903439476
orig+VIX,2020-02-28,imputation_4,58,0.0011026791312106817
orig+VIX,2020-02-28,imputation_5,58,0.0011026375137439853
orig+VIX,2020-03-31,recent,36,0.0003153657901361477
orig+VIX,2020-03-31,expanding_bootstrap,500,0.0007981577164329784
orig+VIX,2020-03-31,imputation_1,59,0.0014983418737308852
orig+VIX,2020-03-31,imputation_2,59,0.0014983340120278885
orig+VIX,2020-03-31,imputation_3,59,0.0014983477309164922
orig+VIX,2020-03-31,imputation_4,59,0.001498326906636214
orig+VIX,2020-03-31,imputation_5,59,0.001498349318819039
orig+VIX,2020-04-30,recent,36,0.06552355745564051
orig+VIX,2020-04-30,expanding_bootstrap,500,0.09132559836134638
orig+VIX,2020-04-30,imputation_1,60,0.11913849827059116
orig+VIX,2020-04-30,imputation_2,60,0.148038404685762
orig+VIX,2020-04-30,imputation_3,60,0.14803840625285855
orig+VIX,2020-04-30,imputation_4,60,0.148038406445902
orig+VIX,2020-04-30,imputation_5,60,0.14803840548586947
orig+VIX,2020-05-29,recent,36,0.2672626409913014
orig+VIX,2020-05-29,expanding_bootstrap,500,0.3953733046278846
orig+VIX,2020-05-29,imputation_1,61,0.4819712876666985
orig+VIX,2020-05-29,imputation_2,61,0.48197128828942254
orig+VIX,2020-05-29,imputation_3,61,0.48197128459512095
orig+VIX,2020-05-29,imputation_4,61,0.4450877504355612
orig+VIX,2020-05-29,imputation_5,61,0.4819712825613219
orig+VIX,2020-06-30,recent,36,0.16425069532081826
orig+VIX,2020-06-30,expanding_bootstrap,500,0.18364208904113938
orig+VIX,2020-06-30,imputation_1,62,0.21056033939134403
orig+VIX,2020-06-30,imputation_2,62,0.28603603070687034
orig+VIX,2020-06-30,imputation_3,62,0.2860360300871654
orig+VIX,2020-06-30,imputation_4,62,0.27509026516073626
orig+VIX,2020-06-30,imputation_5,62,0.2860357966003433
orig+VIX,2020-07-31,recent,36,0.02416753403751484
orig+VIX,2020-07-31,expanding_bootstrap,500,0.021164767258712632
orig+VIX,2020-07-31,imputation_1,63,0.03209027401821258
orig+VIX,2020-07-31,imputation_2,63,0.03700551100910183
orig+VIX,2020-07-31,imputation_3,63,0.0370055104131406
orig+VIX,2020-07-31,imputation_4,63,0.03700551098084429
orig+VIX,2020-07-31,imputation_5,63,0.020954727522460168
orig+VIX,2020-08-31,recent,36,0.578989767953341
orig+VIX,2020-08-31,expanding_bootstrap,500,0.5735816856670836
orig+VIX,2020-08-31,imputation_1,64,0.672765645751071
orig+VIX,2020-08-31,imputation_2,64,0.6727656423486509
orig+VIX,2020-08-31,imputation_3,64,0.6727656486831133
orig+VIX,2020-08-31,imputation_4,64,0.6727656559054286
orig+VIX,2020-08-31,imputation_5,64,0.6727656135616757
orig+VIX,2020-09-30,recent,36,0.44001659366171003
orig+VIX,2020-09-30,expanding_bootstrap,500,0.5041649472603227
orig+VIX,2020-09-30,imputation_1,65,0.7092352861222105
orig+VIX,2020-09-30,imputation_2,65,0.59050776986022
orig+VIX,2020-09-30,imputation_3,65,0.7092352786233319
orig+VIX,2020-09-30,imputation_4,65,0.7092352851475878
orig+VIX,2020-09-30,imputation_5,65,0.4939533143220438
orig+VIX,2020-10-30,recent,36,0.4623255603045547
orig+VIX,2020-10-30,expanding_bootstrap,500,0.46273139573219696
orig+VIX,2020-10-30,imputation_1,66,0.5378494988361112
orig+VIX,2020-10-30,imputation_2,66,0.5003802424982083
orig+VIX,2020-10-30,imputation_3,66,0.4865796677595611
orig+VIX,2020-10-30,imputation_4,66,0.5378495063852727
orig+VIX,2020-10-30,imputation_5,66,0.5378495106733636
orig+VIX,2020-11-30,recent,36,0.10991658729619477
orig+VIX,2020-11-30,expanding_bootstrap,500,0.10437756552913995
orig+VIX,2020-11-30,imputation_1,67,0.16458701050515576
orig+VIX,2020-11-30,imputation_2,67,0.1645870110674062
orig+VIX,2020-11-30,imputation_3,67,0.1645870108747939
orig+VIX,2020-11-30,imputation_4,67,0.13922208032686217
orig+VIX,2020-11-30,imputation_5,67,0.16458700856309394
orig+VIX,2020-12-31,recent,36,0.14724087410172185
orig+VIX,2020-12-31,expanding_bootstrap,500,0.12983140119166364
orig+VIX,2020-12-31,imputation_1,68,0.13322993620060333
orig+VIX,2020-12-31,imputation_2,68,0.1705509435474493
orig+VIX,2020-12-31,imputation_3,68,0.1705509425066815
orig+VIX,2020-12-31,imputation_4,68,0.17055094331358275
orig+VIX,2020-12-31,imputation_5,68,0.1705509426987892
orig+VIX,2021-01-29,recent,36,0.12227760399912782
orig+VIX,2021-01-29,expanding_bootstrap,500,0.10319688909241388
orig+VIX,2021-01-29,imputation_1,69,0.1820697186977994
orig+VIX,2021-01-29,imputation_2,69,0.18206971823829063
orig+VIX,2021-01-29,imputation_3,69,0.18206971879945588
orig+VIX,2021-01-29,imputation_4,69,0.18206971696423735
orig+VIX,2021-01-29,imputation_5,69,0.1820697188064654
orig+VIX,2021-02-26,recent,36,0.15278425428341783
orig+VIX,2021-02-26,expanding_bootstrap,500,0.16165772718956758
orig+VIX,2021-02-26,imputation_1,70,0.21089648830266822
orig+VIX,2021-02-26,imputation_2,70,0.21089646137964607
orig+VIX,2021-02-26,imputation_3,70,0.21089648639914496
orig+VIX,2021-02-26,imputation_4,70,0.21089648323139107
orig+VIX,2021-02-26,imputation_5,70,0.21089648676910575
orig+VIX,2021-03-31,recent,36,0.35669403044491776
orig+VIX,2021-03-31,expanding_bootstrap,500,0.3467284899269877
orig+VIX,2021-03-31,imputation_1,71,0.48380160039829817
orig+VIX,2021-03-31,imputation_2,71,0.4838015896578408
orig+VIX,2021-03-31,imputation_3,71,0.4761518883863368
orig+VIX,2021-03-31,imputation_4,71,0.48380133718555535
orig+VIX,2021-03-31,imputation_5,71,0.4838015952406291
orig+VIX,2021-04-30,recent,36,0.2575807723700408
orig+VIX,2021-04-30,expanding_bootstrap,500,0.20367798627084835
orig+VIX,2021-04-30,imputation_1,72,0.257580796286065
orig+VIX,2021-04-30,imputation_2,72,0.2575807959593156
orig+VIX,2021-04-30,imputation_3,72,0.2575807922204342
orig+VIX,2021-04-30,imputation_4,72,0.2567311245833035
orig+VIX,2021-04-30,imputation_5,72,0.25084134768615973
orig+VIX,2021-06-30,recent,36,0.6870037193119218
orig+VIX,2021-06-30,expanding_bootstrap,500,0.5891401154841222
orig+VIX,2021-06-30,imputation_1,73,0.6870038023694673
orig+VIX,2021-06-30,imputation_2,73,0.6855497007384549
orig+VIX,2021-06-30,imputation_3,73,0.6593963444903321
orig+VIX,2021-06-30,imputation_4,73,0.6870038047865917
orig+VIX,2021-06-30,imputation_5,73,0.6734533024440732
orig+VIX,2021-07-30,recent,36,0.5663872204406115
orig+VIX,2021-07-30,expanding_bootstrap,500,0.4219898352262237
orig+VIX,2021-07-30,imputation_1,74,0.5446577023845546
orig+VIX,2021-07-30,imputation_2,74,0.5168605599896703
orig+VIX,2021-07-30,imputation_3,74,0.5663872801397407
orig+VIX,2021-07-30,imputation_4,74,0.5663872905512043
orig+VIX,2021-07-30,imputation_5,74,0.5663872968469419
orig+VIX,2021-08-31,recent,36,0.5655791217295253
orig+VIX,2021-08-31,expanding_bootstrap,500,0.46296651752875523
orig+VIX,2021-08-31,imputation_1,75,0.7323155514435412
orig+VIX,2021-08-31,imputation_2,75,0.6525288947801277
orig+VIX,2021-08-31,imputation_3,75,0.7681729600953612
orig+VIX,2021-08-31,imputation_4,75,0.7681729637916388
orig+VIX,2021-08-31,imputation_5,75,0.7681729622036144
orig+VIX,2021-09-30,recent,36,1.454515587087341
orig+VIX,2021-09-30,expanding_bootstrap,500,1.2656671484335362
orig+VIX,2021-09-30,imputation_1,76,1.354421288766941
orig+VIX,2021-09-30,imputation_2,76,1.454515260865729
orig+VIX,2021-09-30,imputation_3,76,1.2653574673950845
orig+VIX,2021-09-30,imputation_4,76,1.4545156006239461
orig+VIX,2021-09-30,imputation_5,76,1.267374352476092
orig+VIX,2021-10-29,recent,36,0.447300029029276
orig+VIX,2021-10-29,expanding_bootstrap,500,0.4293579556640021
orig+VIX,2021-10-29,imputation_1,77,0.587456550623046
orig+VIX,2021-10-29,imputation_2,77,0.5095740496732493
orig+VIX,2021-10-29,imputation_3,77,0.587456551510969
orig+VIX,2021-10-29,imputation_4,77,0.587456551249192
orig+VIX,2021-10-29,imputation_5,77,0.4966149512695359
orig+VIX,2021-11-30,recent,36,0.4639066609716507
orig+VIX,2021-11-30,expanding_bootstrap,500,0.39579126138210546
orig+VIX,2021-11-30,imputation_1,78,0.4655297995185567
orig+VIX,2021-11-30,imputation_2,78,0.4655297558501825
orig+VIX,2021-11-30,imputation_3,78,0.44097170167300015
orig+VIX,2021-11-30,imputation_4,78,0.4655297996560742
orig+VIX,2021-11-30,imputation_5,78,0.46552979812811307
orig+VIX,2021-12-31,recent,36,0.03836082214937146
orig+VIX,2021-12-31,expanding_bootstrap,500,0.0307892516824055
orig+VIX,2021-12-31,imputation_1,79,0.050539216456896636
orig+VIX,2021-12-31,imputation_2,79,0.050539216857226045
orig+VIX,2021-12-31,imputation_3,79,0.050539191189554876
orig+VIX,2021-12-31,imputation_4,79,0.05053921690308131
orig+VIX,2021-12-31,imputation_5,79,0.050539216683771135
orig+VIX,2022-01-31,recent,36,0.5312942626477488
orig+VIX,2022-01-31,expanding_bootstrap,500,0.45557286574451333
orig+VIX,2022-01-31,imputation_1,80,0.6014504833557122
orig+VIX,2022-01-31,imputation_2,80,0.5639066448454029
orig+VIX,2022-01-31,imputation_3,80,0.5654803482572645
orig+VIX,2022-01-31,imputation_4,80,0.6014504869432334
orig+VIX,2022-01-31,imputation_5,80,0.6014504721005898
orig+VIX,2022-02-28,recent,36,0.5168040002334295
orig+VIX,2022-02-28,expanding_bootstrap,500,0.42319696447998556
orig+VIX,2022-02-28,imputation_1,81,0.4646216941319088
orig+VIX,2022-02-28,imputation_2,81,0.5102041118769832
orig+VIX,2022-02-28,imputation_3,81,0.5147545948403962
orig+VIX,2022-02-28,imputation_4,81,0.551827421177455
orig+VIX,2022-02-28,imputation_5,81,0.551827423255309
orig+VIX,2022-04-29,recent,36,0.35942512722136233
orig+VIX,2022-04-29,expanding_bootstrap,500,0.31647103199055626
orig+VIX,2022-04-29,imputation_1,82,0.4115803952382453
orig+VIX,2022-04-29,imputation_2,82,0.45398817728440255
orig+VIX,2022-04-29,imputation_3,82,0.38624016185545035
orig+VIX,2022-04-29,imputation_4,82,0.4539881771081034
orig+VIX,2022-04-29,imputation_5,82,0.4539881764906191
orig+VIX,2022-05-31,recent,36,0.32924232047448604
orig+VIX,2022-05-31,expanding_bootstrap,500,0.32924231644555585
orig+VIX,2022-05-31,imputation_1,83,0.3292423169471699
orig+VIX,2022-05-31,imputation_2,83,0.32924232160114414
orig+VIX,2022-05-31,imputation_3,83,0.31196714139186627
orig+VIX,2022-05-31,imputation_4,83,0.32924231992140396
orig+VIX,2022-05-31,imputation_5,83,0.3292423213997667
orig+VIX,2022-06-30,recent,36,0.7109828266840534
orig+VIX,2022-06-30,expanding_bootstrap,500,0.5721971514811495
orig+VIX,2022-06-30,imputation_1,84,0.6636756532241415
orig+VIX,2022-06-30,imputation_2,84,0.7515498737341622
orig+VIX,2022-06-30,imputation_3,84,0.751549855048427
orig+VIX,2022-06-30,imputation_4,84,0.751549838602367
orig+VIX,2022-06-30,imputation_5,84,0.7515498679327408
orig+VIX,2022-07-29,recent,36,0.9353726261276041
orig+VIX,2022-07-29,expanding_bootstrap,500,0.7528078006418089
orig+VIX,2022-07-29,imputation_1,85,0.9820118967809586
orig+VIX,2022-07-29,imputation_2,85,0.9820119292276561
