config,strategy,evidence_status,return_date,decision_date,train_start,train_end,march_2020_in_training_window,march_2020_observation_policy,gross_return,predicted_cost,net_return,gross_nav,predicted_annual_vol,risk_aversion,stage1_gross_nav,deployment_target,deployment_target_feasible,deployment_target_applied,deployment_target_met_after_integer_repair,deployment_shortfall_after_integer_repair,positive_edge_contracts,scenario_cvar_loss,short_margin_used,collateral_used,integer_repair_failed,integer_execution_abstained,integer_conversion_feasible,integer_abstention_reason,integer_repair_method,pre_repair_feasible,pre_repair_max_breach,best_failed_method,failed_max_breach,failed_breach_base,failed_breach_cap,failed_breach_cvar,failed_breach_stress,failed_breach_margin,failed_breach_collateral,failed_breach_assignment,failed_breach_volatility,failed_scenario_cvar_loss,failed_worst_stress_return,failed_short_margin_used,failed_collateral_used,failed_predicted_annual_vol,information_set_valid,continuous_predicted_annual_vol,direct_truncation_max_breach,direct_truncation_scenario_cvar_loss,direct_truncation_worst_stress_return,direct_truncation_short_margin_used,direct_truncation_collateral_used,direct_truncation_predicted_annual_vol,direct_truncation_breach_base,direct_truncation_breach_cap,direct_truncation_breach_cvar,direct_truncation_breach_stress,direct_truncation_breach_margin,direct_truncation_breach_collateral,direct_truncation_breach_assignment,direct_truncation_breach_volatility,direct_truncation_breach_positive_edge
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2022-01-31,2021-12-31,2018-11-30,2021-12-31,True,retained_if_in_window,-0.0814829991455078,0.0010393351747218,-0.0825223343202296,0.059446,0.2244832168890285,0.3011868868859254,0.0675400777693537,0.5,False,False,False,0.440554,14,0.0884681399736884,0.1639662048339843,0.1930952048339844,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499930798835594,0.0,0.0884681399736884,-0.0792182446233271,0.1639662048339843,0.1930952048339844,0.2244832168890285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2022-01-31,2021-12-31,2018-11-30,2021-12-31,True,retained_if_in_window,-0.0756139992675781,0.0011422016870311,-0.0767562009546093,0.063287,0.2133296662358497,0.2931685031196274,0.0753033795623682,0.5,False,False,False,0.436713,16,0.0848635535446535,0.1119972033691406,0.1514012033691406,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499993062024674,0.0,0.0848635535446535,-0.0646632549365716,0.1119972033691406,0.1514012033691406,0.2133296662358497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2022-02-28,2022-01-31,2018-12-31,2022-01-31,True,retained_if_in_window,-0.0370439898376464,0.0011702973861775,-0.038214287223824,0.063828,0.2090598130804352,0.2546864613910825,0.0764421470034225,0.5,False,False,False,0.436172,27,0.0832526391495406,0.178130396118164,0.219638396118164,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.249987867334521,0.0,0.0832526391495406,-0.0719608765381828,0.178130396118164,0.219638396118164,0.2090598130804352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2022-02-28,2022-01-31,2018-12-31,2022-01-31,True,retained_if_in_window,-0.0449989886169433,0.0013373695379995,-0.0463363581549429,0.073143,0.2221789986813033,0.2616523317549968,0.0819998494949661,0.5,False,False,False,0.426857,24,0.0885127315351731,0.1641479962158203,0.2167509962158202,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499956484201892,0.0,0.0885127315351731,-0.0727369864495854,0.1641479962158203,0.2167509962158202,0.2221789986813033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2022-04-29,2022-02-28,2019-01-31,2022-02-28,True,retained_if_in_window,0.0333059946899414,0.0014701824556875,0.0318358122342538,0.070227,0.2250927635011043,0.3314020759765476,0.0805745168316742,0.5,False,False,False,0.429773,23,0.0870096280567347,0.3032081939697266,0.3444651939697266,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499881243138202,0.0,0.0870096280567347,-0.0898549080651696,0.3032081939697266,0.3444651939697266,0.2250927635011043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2022-04-29,2022-02-28,2019-01-31,2022-02-28,True,retained_if_in_window,0.0237289807128906,0.0012706171137267,0.0224583635991638,0.065881,0.2263287653657648,0.329729617649539,0.0845066506597789,0.5,False,False,False,0.434119,13,0.0918144886307814,0.2659851940917969,0.3075731940917969,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499879381769804,0.0,0.0918144886307814,-0.0666078525592779,0.2659851940917969,0.3075731940917969,0.2263287653657648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2022-05-31,2022-04-29,2019-02-28,2022-04-29,True,retained_if_in_window,-0.1109370162963867,0.0010233025192008,-0.1119603188155875,0.056015,0.2062827743362183,0.1540467669071064,0.0682621790384614,0.5,False,False,False,0.443985,20,0.0838096676700414,0.2162015924072265,0.2408165924072265,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.24999567828483,0.0,0.0838096676700414,-0.0772505905555729,0.2162015924072265,0.2408165924072265,0.2062827743362183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2022-05-31,2022-04-29,2019-02-28,2022-04-29,True,retained_if_in_window,-0.1117500133666992,0.0010933846778365,-0.1128433980445357,0.0616359999999999,0.2196583655560848,0.1427284330987121,0.0710250278456938,0.5,False,False,False,0.438364,20,0.0867958978186645,0.190977593383789,0.223773593383789,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499942782390244,0.0,0.0867958978186645,-0.0755092332821306,0.190977593383789,0.223773593383789,0.2196583655560848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct positive-edge deployment,retrospective_development_sample,2022-06-30,2022-05-31,2019-04-30,2022-05-31,True,retained_if_in_window,-0.0736350114898681,0.000899525074405,-0.0745345365642732,0.051713,0.2192903538972177,0.1991844226345433,0.0598635097354195,0.5,False,False,False,0.448287,21,0.0872895493414823,0.1306423971557617,0.1577653971557617,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499993806403023,0.0,0.0872895493414823,-0.0521800917585758,0.1306423971557617,0.1577653971557617,0.2192903538972177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orig,R1.1 25pct EGARCH diagnostic,retrospective_development_sample,2022-06-30,2022-05-31,2019-04-30,2022-05-31,True,retained_if_in_window,-0.0754030110015869,0.0009836595544817,-0.0763866705560686,0.055309,0.2173395694911792,0.204093753042042,0.063646585250943,0.5,False,False,False,0.444691,13,0.0889452797602649,0.1246887973022461,0.1565877973022461,False,False,True,,truncate_toward_cash,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.2499870111326383,0.0,0.0889452797602649,-0.0564759688227057,0.1246887973022461,0.1565877973022461,0.2173395694911792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
